date,variant,net_return_difference
2018-06-27,monthly_control,-8.599737260116432e-05
2018-06-28,monthly_control,-4.8988585374287914e-05
2018-06-29,monthly_control,9.084341926948042e-07
2018-07-02,monthly_control,-8.68410731431242e-05
2018-07-03,monthly_control,-0.00014584287898635915
2018-07-04,monthly_control,9.503917352679178e-06
2018-07-05,monthly_control,0.0001278179337611744
2018-07-06,monthly_control,0.00013470276948442626
2018-07-09,monthly_control,0.0001568451037175806
2018-07-10,monthly_control,1.1639313817190253e-05
2018-07-11,monthly_control,0.00012657591830630196
2018-07-12,monthly_control,-6.475932266056857e-05
2018-07-13,monthly_control,3.204114462315526e-05
2018-07-16,monthly_control,8.972891835541067e-06
2018-07-17,monthly_control,-0.00019167486853407167
2018-07-18,monthly_control,0.00011738954286322662
2018-07-19,monthly_control,0.00016253253986432356
2018-07-20,monthly_control,-1.747760354873758e-05
2018-07-23,monthly_control,-0.00020257165922010051
2018-07-24,monthly_control,0.00014781025012540732
2018-07-25,monthly_control,3.763890598169081e-05
2018-07-26,monthly_control,3.747472246210399e-05
2018-07-27,monthly_control,0.00013754401486099543
2018-07-30,monthly_control,-5.144530276623895e-05
2018-07-31,monthly_control,-5.229894367489804e-05
2018-08-01,monthly_control,0.0001019340424266474
2018-08-02,monthly_control,3.646219932435142e-05
2018-08-03,monthly_control,8.527655685114876e-05
2018-08-06,monthly_control,4.698483593671733e-05
2018-08-07,monthly_control,-2.7139890769142284e-05
2018-08-08,monthly_control,4.719306906148489e-05
2018-08-09,monthly_control,-7.867091619777593e-05
2018-08-10,monthly_control,-4.5264026950054105e-05
2018-08-13,monthly_control,-0.00013143387588070133
2018-08-14,monthly_control,3.7437721676848897e-06
2018-08-15,monthly_control,2.9390419967250878e-06
2018-08-16,monthly_control,-1.8275451014491267e-05
2018-08-17,monthly_control,5.634385064849515e-05
2018-08-20,monthly_control,8.288578589198147e-05
2018-08-21,monthly_control,1.993689159741777e-05
2018-08-22,monthly_control,7.930321739234921e-05
2018-08-23,monthly_control,-5.202259540412844e-05
2018-08-24,monthly_control,4.905360517459009e-05
2018-08-27,monthly_control,-2.5859416764327514e-05
2018-08-28,monthly_control,3.069228130701991e-05
2018-08-29,monthly_control,3.46611121615362e-08
2018-08-30,monthly_control,0.00010107734674950919
2018-08-31,monthly_control,7.437888113039602e-06
2018-09-03,monthly_control,-0.00010058465225051957
