model,gross_annual_return,net_annual_return,transaction_cost_drag,annualized_volatility,sharpe_ratio,turnover_adjusted_sharpe,sortino_ratio,max_drawdown,calmar_ratio,total_return,avg_monthly_turnover,annualized_turnover,cvar_95_daily_loss,variant,status,target_met,observations,sample_start,sample_end,scenario_cvar_95_daily_loss,mean_hhi,max_single_asset_weight,total_transaction_cost,rebalance_count,mean_cash_weight,max_cash_weight,mean_bond_weight,max_bond_weight,mean_defensive_weight,max_defensive_weight,mean_commodity_gold_weight,max_commodity_gold_weight,mean_equity_weight,max_equity_weight,risk_free_rate,sharpe_with_published_risk_free,group_bounds_relaxed_count,max_constraint_violation,relative_cvar_max_weight_difference,relative_cvar_numerically_redundant,elapsed_seconds,max_weight_difference_vs_weekly,mean_l1_weight_difference_vs_weekly,delta_vs_weekly_net_annual_return,delta_vs_weekly_annualized_volatility,delta_vs_weekly_sharpe_ratio,delta_vs_weekly_sortino_ratio,delta_vs_weekly_max_drawdown,delta_vs_weekly_avg_monthly_turnover
monthly_control,0.057815152625328325,0.05776036804134588,5.47845839824479e-05,0.06606759695164623,0.8835225139008338,0.874261676016758,1.2314920832256715,-0.08913472208715623,0.648011983308453,0.6253806472550532,0.014358994024121932,0.1724441185584242,0.010220681937717413,monthly_control,passed,False,2102,2018-01-02,2026-08-31,0.010253932211349636,0.12566230381547877,0.32646606467293665,0.0004480006135526042,104,0.29936603224038666,0.32646606467293665,0.23231061139905612,0.3066006832955712,0.027962328025935634,0.047190372962986823,0.1274004426700948,0.17872106518278824,0.3129605856645269,0.386131708044994,0.0,0.5705418882406086,0,2.170941149071126e-09,,,20.906000000002678,0.0922448625947069,0.10979959231619338,0.00020133529445276466,0.0007819374705985288,-0.0068768630110842555,-0.00895161425872959,-0.0015284885389179603,-0.008207483989884716
weekly_baseline,0.05764512357136686,0.05755903274689311,8.609082447375016e-05,0.0652856594810477,0.8903993769119181,0.881648944108505,1.240443697484401,-0.08760623354823827,0.6570198308457083,0.6227064221258545,0.022566478014006647,0.2710117716851269,0.010085423375177946,weekly_baseline,passed,False,2102,2018-01-02,2026-08-31,0.010117623488449702,0.12487501289177956,0.3124930449441584,0.0007040741140370072,444,0.2999431395669984,0.3124930449441584,0.23980836134558334,0.32374143750927525,0.025308941066094902,0.04249719557502312,0.13140240118130136,0.16239639289791646,0.3035371568400219,0.38882426444896573,0.0,0.5736701289551508,0,2.3891873479620074e-09,,,67.42199999999139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_concentration_caps,0.029349444933565394,0.02918778276157319,0.00016166217199220512,0.015550983593887279,1.8588056556783625,1.8769091090190726,2.647626445979965,-0.026300378866750296,1.109785638809684,0.28256992709546935,0.04355934492681172,0.5231252849794088,0.0023544842558703735,no_concentration_caps,passed,True,2102,2018-01-02,2026-08-31,0.002362342298232806,0.519002515095606,0.8660713698652996,0.0013590515617165255,444,0.7023437737603111,0.8660713698652996,0.1812629919429688,0.33212463500014433,0.007097530608252062,0.00907077585444007,0.036078164113696326,0.12394923545452985,0.07321753957477169,0.15201067773360052,0.0,0.5291226999377485,0,3.3306690738754696e-16,,,65.81200000000536,0.5665704008505006,0.8289194406126954,-0.028371249985319924,-0.04973467588716042,0.9684062787664445,1.4071827484955641,0.06130585468148797,0.02099286691280507
