asset,eligible_weeks,held_eligible_weeks,max_eligible_weight,ever_used
可转债ETF,316,88,0.010140734618655714,True
5年国债ETF,444,277,0.22520105284421632,True
10年国债ETF,444,283,0.14833294197429547,True
信用债ETF,369,194,0.16359628468764087,True
日利ETF,444,444,0.8996907045304489,True
沪深300ETF,444,157,0.027634374883139187,True
中证500ETF,444,141,0.014688107538559285,True
中证1000ETF,444,136,0.04742801162251574,True
中证2000ETF,140,30,0.13298408670475795,True
创业板ETF,444,265,0.09604719428465515,True
红利ETF,444,180,0.0736333284827877,True
半导体ETF,359,208,0.1388641320235443,True
人工智能ETF,292,160,0.15370260060445848,True
新能源ETF,272,131,0.13037123169144996,True
科创50ETF,285,130,0.05910848519968627,True
证券ETF,444,212,0.1630062062762288,True
军工ETF,444,161,0.08455237037693462,True
消费ETF,444,256,0.21713090786609296,True
恒生ETF,444,198,0.1289645717841573,True
白银LOF,444,251,0.1585789455249739,True
纳指ETF,444,300,0.14159493258299838,True
标普500ETF,444,256,0.18310577452965024,True
日经225ETF,357,164,0.07233587680204531,True
欧洲ETF,444,253,0.1194287073657261,True
黄金ETF,444,325,0.16605662894468542,True
有色金属期货ETF,331,138,0.07484215850975552,True
能源化工期货ETF,327,167,0.09923508920659736,True
豆粕ETF,333,168,0.07023942101842676,True
煤炭ETF,321,136,0.13686022945392962,True
原油ETF,444,216,0.11249402440734518,True
