date,weight_可转债ETF,weight_5年国债ETF,weight_10年国债ETF,weight_信用债ETF,weight_日利ETF,weight_沪深300ETF,weight_中证500ETF,weight_中证1000ETF,weight_中证2000ETF,weight_创业板ETF,weight_红利ETF,weight_半导体ETF,weight_人工智能ETF,weight_新能源ETF,weight_科创50ETF,weight_证券ETF,weight_军工ETF,weight_消费ETF,weight_恒生ETF,weight_白银LOF,weight_纳指ETF,weight_标普500ETF,weight_日经225ETF,weight_欧洲ETF,weight_黄金ETF,weight_有色金属期货ETF,weight_能源化工期货ETF,weight_豆粕ETF,weight_煤炭ETF,weight_原油ETF
2018-01-02,0.0,0.08949793987825395,0.044223138601186734,0.0,0.2998792267758981,0.037951150284592325,0.03797574339462912,0.008444002089798562,0.0,0.03042586150819318,0.04029344179100081,0.0,0.0,0.0,0.0,0.00979796674620961,0.010432013917540187,0.04382900005766339,0.055271864148100563,0.03348264364707141,0.052926110140515126,0.05162540237719651,0.0,0.04761083538399898,0.058692387843272534,0.0,0.0,0.0,0.0,0.047641271414878776
2018-01-03,0.0,0.08923475685065367,0.044076847770883124,0.0,0.2987568067569969,0.038349579901113456,0.038322820520339106,0.008500938038957517,0.0,0.030686306683696478,0.04070789329025592,0.0,0.0,0.0,0.0,0.009890300777819721,0.010474976779271132,0.043964824671344924,0.055984877697603214,0.03350061621629274,0.05312420751111102,0.051190369310004744,0.0,0.0473310004352865,0.0587719462071831,0.0,0.0,0.0,0.0,0.04713093058118666
2018-01-04,0.0,0.08895740710702228,0.043904316115130536,0.0,0.29775618584464825,0.03841830436094583,0.038434301184523297,0.008542470203750218,0.0,0.031019419057117595,0.0407584234651834,0.0,0.0,0.0,0.0,0.010008638592017588,0.01053658385088303,0.04425819460522301,0.05592766854443043,0.033422263516828705,0.05297571863827206,0.051261592496431765,0.0,0.04745005031566045,0.058780826713529334,0.0,0.0,0.0,0.0,0.0475876353884021
2018-01-05,0.0,0.09177785243797337,0.04573628248949976,0.0,0.29999999961340307,0.03624079480949455,0.035852957958765155,0.008518310946960858,0.0,0.03100494207352401,0.04042231701620123,0.0,0.0,0.0,0.0,0.00997015931425422,0.01049452515839927,0.042244770189191774,0.056081835172784714,0.033249599461133574,0.053203719454931075,0.05121040270024762,0.0,0.04768138525797555,0.05831433074413672,0.0,0.0,0.0,0.0,0.0479958152011234
2018-01-08,0.0,0.09171936912811444,0.04566474005895353,0.0,0.29988881399563183,0.03635364700602019,0.035890899561660486,0.008522341492618811,0.0,0.03103754163808375,0.040801898900137565,0.0,0.0,0.0,0.0,0.009993486755524073,0.010425720779095678,0.04226675883835761,0.05590277912972879,0.033264726245481595,0.052863373782437904,0.05120480872923525,0.0,0.047850014472960785,0.05846526940158649,0.0,0.0,0.0,0.0,0.04788381008437112
2018-01-09,0.0,0.09152001378358755,0.04549659045442151,0.0,0.299115743836684,0.03640098754586506,0.035956498965339825,0.008509062065774528,0.0,0.031043538219847695,0.040970004109595344,0.0,0.0,0.0,0.0,0.010178942706830459,0.010384865803830867,0.042672973045474405,0.055922144184308804,0.033212290186408776,0.053358317261703564,0.05146918262388646,0.0,0.04792094838956243,0.05834742171159197,0.0,0.0,0.0,0.0,0.047520475105286626
2018-01-10,0.0,0.09132526471462646,0.04545501088818336,0.0,0.2981515006839728,0.036610285110257594,0.03584141168105494,0.008479223175865813,0.0,0.030935132449666003,0.040862288588615917,0.0,0.0,0.0,0.0,0.010074418676916608,0.010360783263038936,0.04354673756520391,0.05627551213908427,0.03313527076715807,0.05349755870619298,0.05134982540603875,0.0,0.0478098195395436,0.058340052544518725,0.0,0.0,0.0,0.0,0.04794990410006122
2018-01-11,0.0,0.09123802867224103,0.04535936400963665,0.0,0.2979092242238048,0.036733339323666,0.03563028945911049,0.008431351853990994,0.0,0.030725919129593802,0.04095318113838872,0.0,0.0,0.0,0.0,0.010035211689359676,0.01022985744558783,0.043907473102668806,0.05663953654476605,0.03287316621352846,0.05378817358262164,0.05145979708567391,0.0,0.04780797900148858,0.05813944627707231,0.0,0.0,0.0,0.0,0.04813866124680017
2018-01-12,0.0,0.09124768806458056,0.04528336368655176,0.0,0.2999999995488419,0.03670241565538405,0.0357501476991855,0.00849032311738625,0.0,0.030975167876873884,0.040746778618855034,0.0,0.0,0.0,0.0,0.010004785576552173,0.010313233813075182,0.042062747977080525,0.056489145707305774,0.03302260025224197,0.05383917105737116,0.05151125715999793,0.0,0.04753272197836509,0.05830423224204468,0.0,0.0,0.0,0.0,0.04772421996830653
2018-01-15,0.0,0.09106343415794887,0.04515836968152079,0.0,0.29923057792405755,0.036794290147961387,0.03546757099182673,0.00842544846637924,0.0,0.03059504364537667,0.040729907117691345,0.0,0.0,0.0,0.0,0.00994558252228501,0.010161845669748423,0.04247470919758902,0.05653217667990054,0.03300454523428358,0.05383326975011847,0.0519201894913313,0.0,0.04747575106158322,0.0589861219079071,0.0,0.0,0.0,0.0,0.04820116635249057
