date,turnover,transaction_cost,weight_可转债ETF,previous_weight_可转债ETF,weight_5年国债ETF,previous_weight_5年国债ETF,weight_10年国债ETF,previous_weight_10年国债ETF,weight_信用债ETF,previous_weight_信用债ETF,weight_日利ETF,previous_weight_日利ETF,weight_沪深300ETF,previous_weight_沪深300ETF,weight_中证500ETF,previous_weight_中证500ETF,weight_中证1000ETF,previous_weight_中证1000ETF,weight_中证2000ETF,previous_weight_中证2000ETF,weight_创业板ETF,previous_weight_创业板ETF,weight_红利ETF,previous_weight_红利ETF,weight_半导体ETF,previous_weight_半导体ETF,weight_人工智能ETF,previous_weight_人工智能ETF,weight_新能源ETF,previous_weight_新能源ETF,weight_科创50ETF,previous_weight_科创50ETF,weight_证券ETF,previous_weight_证券ETF,weight_军工ETF,previous_weight_军工ETF,weight_消费ETF,previous_weight_消费ETF,weight_恒生ETF,previous_weight_恒生ETF,weight_白银LOF,previous_weight_白银LOF,weight_纳指ETF,previous_weight_纳指ETF,weight_标普500ETF,previous_weight_标普500ETF,weight_日经225ETF,previous_weight_日经225ETF,weight_欧洲ETF,previous_weight_欧洲ETF,weight_黄金ETF,previous_weight_黄金ETF,weight_有色金属期货ETF,previous_weight_有色金属期货ETF,weight_能源化工期货ETF,previous_weight_能源化工期货ETF,weight_豆粕ETF,previous_weight_豆粕ETF,weight_煤炭ETF,previous_weight_煤炭ETF,weight_原油ETF,previous_weight_原油ETF
2018-01-05,0.00843399417229189,2.5301982516875668e-06,0.0,0.0,0.08538924817098058,0.08368943491144105,0.03934763026235967,0.036830446443147265,0.0,0.0,0.3968944033967557,0.39689440338936166,0.029852164924583306,0.031080730929911645,0.029464335194461882,0.031247642294199816,0.00793034797598668,0.007930348132037036,0.0,0.0,0.0260764952683603,0.026076499786171523,0.033330052515004316,0.033330223758865594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009593817257888864,0.009593817346385695,0.009612646852183116,0.009612646941756753,0.03585613428984873,0.037061074169016696,0.048718297773162604,0.04871829823532018,0.02860138092430134,0.0286013809518311,0.0452925711804072,0.04529257627934774,0.04195639038999794,0.04195639168026379,0.0,0.0,0.04028068820653728,0.040280688842543495,0.050809849322739215,0.05080984935556023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04099354609444118,0.04099354655283859
2018-01-12,4.327274878255724e-06,1.2981824634767172e-09,0.0,0.0,0.0849753664320855,0.08497521374531648,0.038996335821845064,0.038994326941773,0.0,0.0,0.39489079087316925,0.3948907888025713,0.030273420188091385,0.030273676936033375,0.02940736262080231,0.029407540930815924,0.007911666332541643,0.007911669031411378,0.0,0.0,0.02607573426929136,0.026075772059706754,0.033749032625916546,0.0337491970999779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009636119595071161,0.009636121277485199,0.009455404550386104,0.00945540608689974,0.037116721818201075,0.037118101768105705,0.04911791960825352,0.049117926860493516,0.028432625128373044,0.02843262566606135,0.04587860565958248,0.04587870076653012,0.04224225790534309,0.04224227779646891,0.0,0.0,0.04019256622461165,0.04019257653939991,0.0508484598160408,0.050848460564293915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04079961053039379,0.04079961712665547
2018-01-19,1.3571853288429914e-07,4.071555986528974e-11,0.0,0.0,0.08458941098889651,0.08458940786176561,0.03885907164529961,0.03885900740638792,0.0,0.0,0.39392428680185665,0.39392428630863274,0.030697528509180165,0.030697532156003723,0.02863977995542729,0.028639781244027,0.007642910042264877,0.007642910086797029,0.0,0.0,0.025001219616369513,0.02500121995686036,0.03431306450988232,0.03431306669615709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010033486686681366,0.01003348671569925,0.008946866651151044,0.00894686667901714,0.03754544770437688,0.03754550596390735,0.050071707976972704,0.050071708108349634,0.02817736714400147,0.028177367157393645,0.04640599456814003,0.046405995666470135,0.04272066380144805,0.042720664313838884,0.0,0.0,0.040407842179316894,0.0404078423170492,0.05115365398836461,0.051153654010311626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040869697230370004,0.040869697351331544
2018-01-26,0.016722961222430402,5.01688836672912e-06,0.0,0.0,0.08441014033029866,0.08441013908590453,0.03864747054952955,0.038647470246824266,0.0,0.0,0.39999999920923585,0.3916385201451201,0.029338760255380642,0.031101338318988852,0.02893921273414435,0.02894568523422075,0.007741669460852853,0.007741669747167224,0.0,0.0,0.025929120633065184,0.02592913133059175,0.03270602694473187,0.03495199355760677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01039176835988,0.010391768561722718,0.009253028369100268,0.009253028544917337,0.03332881154200373,0.03684441525142258,0.050067862217233805,0.05006786385173311,0.028388779938319654,0.028388779989415632,0.04542723598071394,0.04625803448707527,0.04251421053906171,0.04251425482169714,0.0,0.0,0.04064822514211763,0.040648227572038564,0.0512762664209311,0.05127626664978127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040991411373399275,0.04099141260377225
2018-02-02,0.012597116415164382,3.7791349245493144e-06,0.0,0.0,0.09123778732102007,0.08558281509353012,0.03990234642477734,0.03925876046838703,0.0,0.0,0.400000000036518,0.40629855810918997,0.02892509867580714,0.028925098690238515,0.02752726130408702,0.02752726131771315,0.00724661742055163,0.00724661741949678,0.0,0.0,0.024682177758084175,0.024682177769047152,0.03283616012643391,0.032836160142191956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009913641991486904,0.009913641988461017,0.008621619818528629,0.00862161981430811,0.03267777984925616,0.032677779864129036,0.050510676960247684,0.050510676968811986,0.02812168869219791,0.02812168867679726,0.0457593069336921,0.04575930695277408,0.042762051717392426,0.04276205173275879,0.0,0.0,0.04009605660370237,0.040096056616300446,0.05098010572175444,0.05098010572335331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03819962264446215,0.038199622652511374
2018-02-09,0.06741303933037374,2.022391179911212e-05,0.0,0.0,0.12747750796984222,0.09377098908249282,0.04110365482006057,0.04110365404296528,0.0,0.0,0.3999999995751112,0.4105119716253986,0.0280792257279923,0.028079271591133152,0.02717694154089592,0.027176990990456562,0.007115884021950081,0.007115884251152123,0.0,0.0,0.024459024889013473,0.024459030924628943,0.032081659213876144,0.03235679329738006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009550423516376678,0.009550423700473376,0.008420993882095664,0.008420994069725327,0.030612885374926017,0.03061578258685267,0.04827589215938351,0.04827590392235524,0.028099065939472936,0.02809906593873089,0.032333458747129756,0.04332721719944782,0.03280663112903415,0.041043220351036726,0.0,0.0,0.03488984410033776,0.038575897744061664,0.051374821460762124,0.051374821571409185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03614208593173945,0.03614208711029974
2018-02-14,0.07558364500795708,2.2675093502387123e-05,0.0,0.0,0.16596820996266373,0.12817638783712743,0.04112700206325898,0.04112700168481666,0.0,0.0,0.4000000001618182,0.4009413601597084,0.024243399475194827,0.027530740476170774,0.02383790583992391,0.027047527659423164,0.007124272382100826,0.0071242724727580906,0.0,0.0,0.023447170321286577,0.024630229303248236,0.026214730856408068,0.03138241194459345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00891820373778419,0.00891820382076604,0.008361720319023321,0.008361720396992994,0.02605625077679818,0.03142036278549204,0.04468330069514693,0.04743488265784161,0.028235744153693024,0.02823574416661786,0.026330740181368984,0.0326136955258062,0.027745588257873894,0.03269811065602335,0.0,0.0,0.03002442217852588,0.034676002849084404,0.051972768443234986,0.05197276848929307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03570857019389555,0.035708577114236126
2018-02-23,0.041577632958810326,1.2473289887643096e-05,0.0,0.0,0.1854677508280972,0.16467893468639033,0.040992599137394635,0.040992598810372906,0.0,0.0,0.39762006331614563,0.397620063305469,0.02228591374578676,0.024803492529800217,0.021912157016729623,0.024256707024082946,0.007203620224146987,0.007203620714268246,0.0,0.0,0.021613183262982328,0.02363928749677221,0.02449845078428795,0.026622032261567403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00892032502584212,0.00892032543213117,0.008422100508768888,0.008422100891865623,0.024260428035027835,0.027010900749705608,0.04301073767926167,0.04624820037758733,0.027709759969657962,0.027709760051714476,0.02454304278640165,0.026898044967880917,0.026054919572576475,0.027955721608463213,0.0,0.0,0.0285160783061523,0.03004912199299504,0.05155957711260954,0.051559577304797564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035409292688130554,0.03540950979413579
2018-03-02,0.018562595500944818,5.5687786502834445e-06,0.0,0.0,0.19476053997347903,0.1854792480439975,0.041126568085716776,0.0411265664732393,0.0,0.0,0.3960353418573546,0.3960353376488412,0.021598702099069875,0.022197027821496507,0.02110548867858531,0.022641815783851355,0.007515551169519818,0.0075155577622976555,0.0,0.0,0.020797276674116464,0.022967790300284334,0.02382117346524479,0.024067028057974307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009037229695215601,0.009037235214432445,0.009032344307431358,0.009032349734003494,0.02359527237564312,0.023597918402019722,0.0421943793509599,0.04243194760315601,0.027544659555507993,0.027544660285312113,0.02333030903981684,0.025167790312982732,0.02502409215236804,0.026342866930085855,0.0,0.0,0.027592389854912934,0.028407195151153947,0.051031214843202014,0.051031219204339846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03485746682185559,0.03537644527053172
2018-03-09,2.3747871717803154e-07,7.124361515340945e-11,0.0,0.0,0.19454150759445285,0.19454139011550559,0.04092220029447577,0.0409222002095276,0.0,0.0,0.3956499288340116,0.39564992765854856,0.02173117670991493,0.02173118842620073,0.02121298264823994,0.02121299373973044,0.007579109049353575,0.0075791094588401,0.0,0.0,0.02074845527394475,0.0207484645037203,0.024044430477729126,0.024044441105135927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009041215116093132,0.009041215469646065,0.009073411602851623,0.009073411949367428,0.023280438108805385,0.023280444112497217,0.04190729948960931,0.04190731697601286,0.027666671132618614,0.027666671179995255,0.023517834064328495,0.023517843949621524,0.024933377631640264,0.024933387561015333,0.0,0.0,0.02734307955949109,0.027343088918250748,0.051415249904385986,0.05141525017490372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03539163250805349,0.035391654491480753
