date,weight_可转债ETF,weight_5年国债ETF,weight_10年国债ETF,weight_信用债ETF,weight_日利ETF,weight_沪深300ETF,weight_中证500ETF,weight_中证1000ETF,weight_中证2000ETF,weight_创业板ETF,weight_红利ETF,weight_半导体ETF,weight_人工智能ETF,weight_新能源ETF,weight_科创50ETF,weight_证券ETF,weight_军工ETF,weight_消费ETF,weight_恒生ETF,weight_白银LOF,weight_纳指ETF,weight_标普500ETF,weight_日经225ETF,weight_欧洲ETF,weight_黄金ETF,weight_有色金属期货ETF,weight_能源化工期货ETF,weight_豆粕ETF,weight_煤炭ETF,weight_原油ETF
2018-01-02,0.0,0.08430470304110985,0.03715133451261422,0.0,0.39986115994627747,0.03065150363442395,0.03080044562992966,0.00785030674030284,0.0,0.025554108018228255,0.03298734828001968,0.0,0.0,0.0,0.0,0.009415098018176069,0.009542186343592213,0.036070887431988184,0.04794833614692787,0.02876205216798197,0.044993955538619845,0.04223795282471782,0.0,0.04016551650437998,0.051068597934251926,0.0,0.0,0.0,0.0,0.04063450728645812
2018-01-03,0.0,0.08410465124487825,0.03704952032105415,0.0,0.39859133495285054,0.030990933380067618,0.031099641760860337,0.007907739432307843,0.0,0.02578752538706123,0.0333456258447574,0.0,0.0,0.0,0.0,0.009509235196239474,0.009586940009601709,0.03620327135614407,0.04859452800220501,0.02879387598536041,0.04518807785353023,0.04190587171688327,0.0,0.03995217652647746,0.05116693864963432,0.0,0.0,0.0,0.0,0.040222112380086446
2018-01-04,0.0,0.08388609042756551,0.036923354278444565,0.0,0.39745933891463686,0.031062335576956177,0.03120604849526891,0.007950434082330558,0.0,0.02608078002333592,0.033404078175990934,0.0,0.0,0.0,0.0,0.009627930928684615,0.009648251981294148,0.0364634731426235,0.048569677351057744,0.028741210938417857,0.04508479813454909,0.04198562080519153,0.0,0.040073133733983066,0.05120082040473426,0.0,0.0,0.0,0.0,0.04063262260493464
2018-01-05,0.0,0.08538924817098058,0.03934763026235967,0.0,0.3968944033967557,0.029852164924583306,0.029464335194461882,0.00793034797598668,0.0,0.0260764952683603,0.033330052515004316,0.0,0.0,0.0,0.0,0.009593817257888864,0.009612646852183116,0.03585613428984873,0.048718297773162604,0.02860138092430134,0.0452925711804072,0.04195639038999794,0.0,0.04028068820653728,0.050809849322739215,0.0,0.0,0.0,0.0,0.04099354609444118
2018-01-08,0.0,0.08534125584462601,0.03928903681304244,0.0,0.39677715537819347,0.029947376077158156,0.029497735035254453,0.007934697225552132,0.0,0.026105876785000415,0.033645566236189445,0.0,0.0,0.0,0.0,0.009616987622002734,0.00955034270463828,0.03587749658449197,0.04856640528465685,0.02861654576441069,0.045006219040347906,0.04195496344072014,0.0,0.04042618538952194,0.05094519612824164,0.0,0.0,0.0,0.0,0.040900958645951266
2018-01-09,0.0,0.08518867479579008,0.03915949285090889,0.0,0.3959072732684814,0.029997963444016593,0.02956307056992372,0.007925395305655317,0.0,0.026121011970146997,0.03379724411895305,0.0,0.0,0.0,0.0,0.009799242397467425,0.009516594627648502,0.03623630464514551,0.04860200555777838,0.028582479122609132,0.04544515538596828,0.042187878347724195,0.0,0.0405017612445998,0.050862156306924214,0.0,0.0,0.0,0.0,0.0406062960402584
2018-01-10,0.0,0.08504787058298564,0.03914233164449247,0.0,0.39481889293686917,0.030184809240806323,0.02948247693764753,0.00790136323168702,0.0,0.02604218876121841,0.03372443533891518,0.0,0.0,0.0,0.0,0.009703234904393078,0.009499045968556278,0.03699587845098609,0.04893240379368308,0.028529772855109197,0.045585439969794646,0.04211008364027732,0.0,0.04042707574747342,0.050879945004272085,0.0,0.0,0.0,0.0,0.04099275099083292
2018-01-11,0.0,0.08497854127672205,0.0390654433013522,0.0,0.394553364830012,0.030290511650535604,0.029312920174490945,0.007857855686647786,0.0,0.025869692108233158,0.033804188641417654,0.0,0.0,0.0,0.0,0.009666827349530284,0.00938032436985835,0.03730757647437894,0.04925583208519173,0.028308066025641388,0.04583949860252057,0.04220618286189914,0.0,0.04043118617720376,0.050712098533455,0.0,0.0,0.0,0.0,0.04115988985090931
2018-01-12,0.0,0.0849753664320855,0.038996335821845064,0.0,0.39489079087316925,0.030273420188091385,0.02940736262080231,0.007911666332541643,0.0,0.02607573426929136,0.033749032625916546,0.0,0.0,0.0,0.0,0.009636119595071161,0.009455404550386104,0.037116721818201075,0.04911791960825352,0.028432625128373044,0.04587860565958248,0.04224225790534309,0.0,0.04019256622461165,0.0508484598160408,0.0,0.0,0.0,0.0,0.04079961053039379
2018-01-15,0.0,0.08483507818597963,0.03890304905638382,0.0,0.3940233751726055,0.030360402997705305,0.029185688765029347,0.007854111000278627,0.0,0.02576524156510598,0.03374750982965841,0.0,0.0,0.0,0.0,0.00958263365119613,0.00932004715530139,0.037494075358077,0.04917347819240893,0.028427568096853983,0.045890508339243324,0.0425933213714705,0.0,0.040159209791494024,0.05146213855066282,0.0,0.0,0.0,0.0,0.041222562920545096
2018-01-16,0.0,0.08484889366757578,0.03897171630547456,0.0,0.3945765740092269,0.030343082057581426,0.028598551480623575,0.007647990147622259,0.0,0.025017988149558922,0.03373914798595112,0.0,0.0,0.0,0.0,0.009439428938581221,0.008963825519484655,0.037366092409594924,0.049177671644049986,0.028731915591687977,0.04633407557636247,0.04282710360578294,0.0,0.040245690010401874,0.051696435133830085,0.0,0.0,0.0,0.0,0.041473817766609196
2018-01-17,0.0,0.08468596228904438,0.038919280259400404,0.0,0.39383950664685957,0.030589311336984292,0.028694515663029833,0.0076518726241822715,0.0,0.02492342024411066,0.033913887949039025,0.0,0.0,0.0,0.0,0.00962500559537608,0.008901802970106279,0.03791119616929896,0.04962026929325411,0.02854258114356461,0.046307664561515194,0.042718281680184135,0.0,0.040269428308793084,0.05155867260467022,0.0,0.0,0.0,0.0,0.041327340660586825
2018-01-18,0.0,0.0847976137201995,0.03888595957160993,0.0,0.394424882564433,0.03054111472965196,0.028571119366886062,0.007653537938267735,0.0,0.02508189492129539,0.03406763575273299,0.0,0.0,0.0,0.0,0.009989079991840422,0.008970465042642472,0.03775977399709093,0.049781899245095504,0.02835011866949584,0.04618288129766924,0.04247467940402281,0.0,0.04049812078450814,0.05150328222217881,0.0,0.0,0.0,0.0,0.0404659407803792
2018-01-19,0.0,0.08458941098889651,0.03885907164529961,0.0,0.39392428680185665,0.030697528509180165,0.02863977995542729,0.007642910042264877,0.0,0.025001219616369513,0.03431306450988232,0.0,0.0,0.0,0.0,0.010033486686681366,0.008946866651151044,0.03754544770437688,0.050071707976972704,0.02817736714400147,0.04640599456814003,0.04272066380144805,0.0,0.040407842179316894,0.05115365398836461,0.0,0.0,0.0,0.0,0.040869697230370004
2018-01-22,0.0,0.08485710475980034,0.039048712656543395,0.0,0.3947573706266292,0.030839849550196658,0.028610425230124352,0.00762886922646382,0.0,0.02495574120001116,0.03454431254938782,0.0,0.0,0.0,0.0,0.010324568599294202,0.009063927466603857,0.03652438335417167,0.050074702180299725,0.02809601141515127,0.04639616281822589,0.04246892794807473,0.0,0.04061922891967751,0.05109995580050503,0.0,0.0,0.0,0.0,0.0400897456988393
2018-01-23,0.0,0.08456790402078493,0.03906652518288745,0.0,0.3932019997978199,0.031099709020763804,0.02885318477026722,0.007709173286134754,0.0,0.02546056262589648,0.03461798712028393,0.0,0.0,0.0,0.0,0.010242363247121782,0.009070248954644046,0.03748617599248072,0.050281761856487674,0.02807758676713173,0.04607356726842142,0.04244234409292196,0.0,0.04082188336850345,0.05094042060402532,0.0,0.0,0.0,0.0,0.03998660202342342
2018-01-24,0.0,0.08424275960342473,0.03882038216258261,0.0,0.39155161575446507,0.031280706868810265,0.02877025204265145,0.007667335038859482,0.0,0.025307647456579072,0.03499624065126308,0.0,0.0,0.0,0.0,0.010237766534945429,0.009031998531979116,0.03751809393380988,0.050753161319454655,0.027992306912652407,0.04635486614884888,0.042717803915613424,0.0,0.04102173470347466,0.05087294925516139,0.0,0.0,0.0,0.0,0.04086237916542443
2018-01-25,0.0,0.08417196294991942,0.038742193864441485,0.0,0.3908058039240321,0.03123904726956264,0.028931418068525235,0.007744980939704568,0.0,0.025968771037248168,0.035032921662756275,0.0,0.0,0.0,0.0,0.010583076455625938,0.009124270467870206,0.03703411767220586,0.050769559626072526,0.027836746679646182,0.04670449921927065,0.04263176580361082,0.0,0.0409728629507144,0.05099106723111231,0.0,0.0,0.0,0.0,0.040714934177681315
2018-01-26,0.0,0.08441014033029866,0.03864747054952955,0.0,0.39999999920923585,0.029338760255380642,0.02893921273414435,0.007741669460852853,0.0,0.025929120633065184,0.03270602694473187,0.0,0.0,0.0,0.0,0.01039176835988,0.009253028369100268,0.03332881154200373,0.050067862217233805,0.028388779938319654,0.04542723598071394,0.04251421053906171,0.0,0.04064822514211763,0.0512762664209311,0.0,0.0,0.0,0.0,0.040991411373399275
2018-01-29,0.0,0.08438874382595399,0.03871080573209428,0.0,0.39992449393561774,0.029471447464484518,0.028950055136528107,0.007719020467612466,0.0,0.02609778759662666,0.03305064984070405,0.0,0.0,0.0,0.0,0.010396037523562688,0.009181867725746886,0.033377641948698404,0.05072503238273166,0.028208554012966087,0.04559045947397604,0.04249222205306742,0.0,0.040525802743722125,0.050936798727248336,0.0,0.0,0.0,0.0,0.04025257940865871
2018-01-30,0.0,0.08467532797499179,0.03881611235030526,0.0,0.40117780421064847,0.028997290714931984,0.02865851820394784,0.007657216127865051,0.0,0.025884197614973348,0.03282400945667711,0.0,0.0,0.0,0.0,0.010252035248731311,0.009053119359835007,0.032586369821155516,0.050454861750924944,0.02819058367969512,0.046128138228386614,0.04291887711356048,0.0,0.040643095164879864,0.05084421794583468,0.0,0.0,0.0,0.0,0.04023822503265571
2018-01-31,0.0,0.08506088246171556,0.038935699730296904,0.0,0.4031107141917184,0.028832968754871877,0.028786246355548634,0.007673716453398672,0.0,0.025789454941486017,0.03266160199522244,0.0,0.0,0.0,0.0,0.010163249741657965,0.009117128561810175,0.03229720480084449,0.05014877357231842,0.028020272298499876,0.04596445873616665,0.042760737032994774,0.0,0.04045579307884437,0.05065193297755581,0.0,0.0,0.0,0.0,0.03956916431504908
2018-02-01,0.0,0.08528727866361875,0.039166134255015264,0.0,0.4048474125182009,0.029035196097414603,0.028286409245865837,0.007515424228180092,0.0,0.025062520975534245,0.03276009579911656,0.0,0.0,0.0,0.0,0.009979023253949787,0.008906956489547367,0.032999451299596416,0.050226632701369844,0.028231381303907763,0.04564231565195174,0.042521215988450115,0.0,0.0400685270940044,0.05092641935321911,0.0,0.0,0.0,0.0,0.038537605081057365
2018-02-02,0.0,0.09123778732102007,0.03990234642477734,0.0,0.400000000036518,0.02892509867580714,0.02752726130408702,0.00724661742055163,0.0,0.024682177758084175,0.03283616012643391,0.0,0.0,0.0,0.0,0.009913641991486904,0.008621619818528629,0.03267777984925616,0.050510676960247684,0.02812168869219791,0.0457593069336921,0.042762051717392426,0.0,0.04009605660370237,0.05098010572175444,0.0,0.0,0.0,0.0,0.03819962264446215
2018-02-05,0.0,0.0912803340035906,0.03998434419017624,0.0,0.400227897723239,0.02910222505704262,0.02751397393403931,0.00719926560059663,0.0,0.024743595393225917,0.033151857532779445,0.0,0.0,0.0,0.0,0.00988421389670799,0.00863278576250986,0.03253005408051671,0.05032950062528473,0.02825588468010341,0.04569582883874821,0.04240327213167756,0.0,0.03964988761493629,0.051017112158813584,0.0,0.0,0.0,0.0,0.03839796677601192
