date,turnover,transaction_cost,weight_可转债ETF,previous_weight_可转债ETF,weight_5年国债ETF,previous_weight_5年国债ETF,weight_10年国债ETF,previous_weight_10年国债ETF,weight_信用债ETF,previous_weight_信用债ETF,weight_日利ETF,previous_weight_日利ETF,weight_沪深300ETF,previous_weight_沪深300ETF,weight_中证500ETF,previous_weight_中证500ETF,weight_中证1000ETF,previous_weight_中证1000ETF,weight_中证2000ETF,previous_weight_中证2000ETF,weight_创业板ETF,previous_weight_创业板ETF,weight_红利ETF,previous_weight_红利ETF,weight_半导体ETF,previous_weight_半导体ETF,weight_人工智能ETF,previous_weight_人工智能ETF,weight_新能源ETF,previous_weight_新能源ETF,weight_科创50ETF,previous_weight_科创50ETF,weight_证券ETF,previous_weight_证券ETF,weight_军工ETF,previous_weight_军工ETF,weight_消费ETF,previous_weight_消费ETF,weight_恒生ETF,previous_weight_恒生ETF,weight_白银LOF,previous_weight_白银LOF,weight_纳指ETF,previous_weight_纳指ETF,weight_标普500ETF,previous_weight_标普500ETF,weight_日经225ETF,previous_weight_日经225ETF,weight_欧洲ETF,previous_weight_欧洲ETF,weight_黄金ETF,previous_weight_黄金ETF,weight_有色金属期货ETF,previous_weight_有色金属期货ETF,weight_能源化工期货ETF,previous_weight_能源化工期货ETF,weight_豆粕ETF,previous_weight_豆粕ETF,weight_煤炭ETF,previous_weight_煤炭ETF,weight_原油ETF,previous_weight_原油ETF
2018-01-05,0.014938578383663012,4.481573515098903e-06,0.0,0.0,0.09166143538323324,0.08894968121067874,0.04561985449094876,0.043613916314493295,0.0,0.0,0.2999999996768946,0.297248402834073,0.03612438015951338,0.03825939290025445,0.03573654234220285,0.038229470195022756,0.008732811348820596,0.00873281163451563,0.0,0.0,0.030803955445389494,0.030803959863979026,0.04030451366745305,0.04048657285841889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010223846865589728,0.010223847076250736,0.010709425128575773,0.010709425342111284,0.042128354872008264,0.0447875891130095,0.05591205919337001,0.05591206022173656,0.033152148207914796,0.033152148309611905,0.05303238225637966,0.05303242031606987,0.051261545274269675,0.051261553505695195,0.0,0.0,0.04751044577633619,0.047510447236404144,0.0593441272329046,0.05934412738574794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047742172678195235,0.04774217368192686
2018-01-12,0.0035804224628911106,1.0741267388673332e-06,0.0,0.0,0.09113272657969967,0.09113272409740261,0.045168473242120415,0.04516846844879157,0.0,0.0,0.29999999966128166,0.2982097957054618,0.03658504077342124,0.03660061358768113,0.03563441151567758,0.03563470898736787,0.008704193720925187,0.008704194114421844,0.0,0.0,0.030774640386371867,0.03077464586311162,0.04062799372327876,0.040773665425879985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01025944250274327,0.010259442783943216,0.01052451201534621,0.010524512282202185,0.04194383158016074,0.043570788047888664,0.056318621791446546,0.05631862358234808,0.032926097648712245,0.03292609772564064,0.0536673632049327,0.05366904828003784,0.05156314522561522,0.051563160229861495,0.0,0.0,0.04736272367310084,0.04736272628136181,0.05933436106180675,0.059334361287878966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04747242169335926,0.04747242326871842
2018-01-19,0.0017211280379647743,5.163384113894322e-07,0.0,0.0,0.09068052230760602,0.09068051649277946,0.044990420751831656,0.0449904145235569,0.0,0.0,0.29999999966949775,0.2991394477294212,0.03699349545122198,0.0370819189006333,0.03468961154703633,0.03468964798691888,0.008404966631525351,0.008404967101102893,0.0,0.0,0.029494040246732113,0.02949404396864437,0.04118852165730719,0.04128956091872183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010678005259774494,0.010678005561070484,0.009954271665036544,0.009954271948351847,0.041739978444097055,0.042410474588908745,0.057388004769360124,0.05738800711818845,0.03261672833820316,0.03261672830239873,0.054260923190114,0.054261378781304735,0.05212500565546139,0.05212510661775118,0.0,0.0,0.047596306655700325,0.04759630910105439,0.05966529709806348,0.059665297605487944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04753390066143103,0.04753390275370481
2018-01-26,0.004062756320939954,1.2188268962819862e-06,0.0,0.0,0.09040020307371795,0.09040018207835597,0.04470184601422774,0.04470183822871123,0.0,0.0,0.2999999999367388,0.29796865115664223,0.037303807046793154,0.03744360993909951,0.0350259038508342,0.03502597813140005,0.008505277925097532,0.008505278986228024,0.0,0.0,0.03055888828881461,0.03055890006288909,0.04067436440879508,0.0419146000705901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011048526651724525,0.01104852734406554,0.010284876472771149,0.010284877038426834,0.04091878346588794,0.04092072114822463,0.05732768519697354,0.05732769231426811,0.03282943435432496,0.03282943375482999,0.05339558703557926,0.054035222803522985,0.05181296663862277,0.05182262066758901,0.0,0.0,0.04783279922831586,0.04783280895233751,0.05975004124512304,0.0597500427826729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047629009165657904,0.04762901454014617
2018-02-02,0.011132982419293466,3.3398947257880395e-06,0.0,0.0,0.0971627263398731,0.09190951857780241,0.045847733571172514,0.04553445117219858,0.0,0.0,0.3000000002050577,0.30556646147984023,0.03687952761568249,0.03687953078946113,0.03340909817716931,0.03340910060032607,0.007983408196252387,0.007983408612625448,0.0,0.0,0.029169726246435244,0.02916972792168471,0.040949108421744186,0.0409491121430769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010569325547678398,0.01056932569976949,0.009609552853242057,0.00960955316726747,0.04023041702734313,0.04023042016967817,0.05799461549824697,0.057994617245679524,0.03261048226188401,0.03261048121328201,0.05393461639522627,0.053934620909882096,0.05225910667890331,0.05225911066017123,0.0,0.0,0.04731349051637901,0.0473134930183617,0.05956918803007183,0.059569188740079985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044507876417637884,0.04450787787881284
2018-02-09,0.06952690242317602,2.0858070726952804e-05,0.0,0.0,0.1351242541065768,0.10036080440044169,0.04746468148888799,0.047464679983434926,0.0,0.0,0.29999999996466076,0.30942669529951916,0.03598034215637505,0.03598048610658498,0.03314924459517911,0.03314925758016032,0.00787866347061812,0.00787866374562125,0.0,0.0,0.02905084519022547,0.029050847885522212,0.03972887101357262,0.040553491258067925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010233103375485645,0.010233103612117536,0.00943296776715218,0.00943296801165943,0.03788012927579871,0.03788070434777154,0.05570644584598314,0.05570646335232086,0.03274751847662356,0.0327475185775284,0.03998020444111265,0.05132389892090736,0.040453377163292066,0.05040986855242375,0.0,0.0,0.04253658845041307,0.04574778347897372,0.06033119979355353,0.06033120002049082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042321563424489596,0.04232156486645387
2018-02-14,0.07463471856127807,2.239041556838342e-05,0.0,0.0,0.1732435066882044,0.13592614767820455,0.04751299617294624,0.047512995902307086,0.0,0.0,0.30000000007984917,0.3008412320470466,0.031518696850758386,0.03529338297337217,0.031113202409365496,0.033006225692233174,0.007891497878447748,0.007891497908026663,0.0,0.0,0.029267341390989594,0.029267344769202275,0.03349002787953717,0.038880420824359954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00955998824829989,0.009559988274960327,0.009370782852483484,0.009370782878346008,0.03333154780995246,0.03889677706436235,0.05195859816350272,0.054760601298498184,0.03292160395329509,0.03292160395629992,0.03360603715667677,0.040344848999432505,0.03502088534553664,0.04033769173608902,0.0,0.0,0.037299719303101136,0.04229488923123825,0.06106083278926927,0.061060832819098694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04183273502778433,0.04183273594692232
2018-02-23,0.046026014781640985,1.3807804434492294e-05,0.0,0.0,0.1924129546764793,0.1716370746226398,0.047285922093917,0.047285917069909734,0.0,0.0,0.2999999996702074,0.2977628773572336,0.0292310755086297,0.0321979759582666,0.02885731448518024,0.03161181678293939,0.007967288344739578,0.00796729258017687,0.0,0.0,0.02855704004089206,0.029462406468279165,0.03144360158323121,0.03395879805282424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009547760124028332,0.009547763797760504,0.009424135212518734,0.00942413883946531,0.031205595785153816,0.03450035962733904,0.04995591294332645,0.05369675188642495,0.03225934150716031,0.03225934254800145,0.031488201085258107,0.03427803752588511,0.03300005882897287,0.03523261596245229,0.0,0.0,0.03546117114559477,0.03727380177992438,0.06048353885383521,0.0604835424620838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041419088110875024,0.041419486678393735
2018-03-02,0.021416011554762707,6.424803466428812e-06,0.0,0.0,0.2015150349190229,0.1922594994483653,0.04739968415235793,0.047399683007649324,0.0,0.0,0.29999999791226484,0.2985475287502498,0.02835351324109085,0.02908946629181126,0.027860012185567527,0.02979261408808849,0.008305145775602802,0.008305150766325781,0.0,0.0,0.027551773258127625,0.030320771409360632,0.030576881009996237,0.030863324481830018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009664575620419554,0.009664579965798574,0.01009829889574001,0.010098303315762888,0.03032487846181328,0.03032733804198054,0.0489536905975787,0.04924130480072413,0.03203957261058136,0.0320395739379671,0.030084814434606817,0.03226198686460168,0.03177861516924097,0.03333608483413933,0.0,0.0,0.034346953103812555,0.0352954081312302,0.05981227458991963,0.0598122815028487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041334284062256414,0.04134510036126648
2018-03-09,0.0007086196157191655,2.1258588471574964e-07,0.0,0.0,0.2012464288208807,0.20124641598749254,0.0471543334045411,0.04715433332127865,0.0,0.0,0.29999999999009413,0.29964570309888516,0.028521465372995245,0.028521499729737457,0.02799607559533076,0.02799609826691257,0.008373639342962032,0.008373639478772912,0.0,0.0,0.027481381178920128,0.02748139054834705,0.03085701079104213,0.030857047846644392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009666826803936109,0.009666826923872286,0.010142102989519503,0.010142103111608963,0.02991403086644615,0.029914034522429356,0.048501981948529393,0.048610529104204755,0.03217480097567673,0.03217480099552725,0.0303203220140184,0.03032033570505088,0.0316568300026945,0.03165684140799722,0.0,0.0,0.03402953523238241,0.03402954403607543,0.060249856775862226,0.0602498569660609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0417133778941684,0.04195899894910229
