effective_date,information_end,rrp_variance_penalty,lambda_pen,validation_net_sharpe,validation_annualized_turnover,candidate_count,within_one_standard_error_count,selected_has_eligible_neighbor
2017-01-01,2016-12-30,6.857613821666568e-12,16.54435115714024,1.467300391671037,1.3296344394555841,9,9,True
2018-01-01,2017-12-29,0.14015887701622826,8.826466875257138,1.6298531073147975,2.465584708960741,9,9,True
2019-01-01,2018-12-28,0.08213546706292466,24.72360050161022,0.025963976088099205,1.3105967453935532,9,9,True
2020-01-01,2019-12-31,0.10123874719412941,9.38487777188476,3.4330454471590492,2.085964255083031,9,9,True
2021-01-01,2020-12-31,0.11811036288596366,2.9363103766328016,1.628581181351324,3.147620494951683,9,9,True
2022-01-01,2021-12-31,0.08514634490847987,2.009725534483516,2.051075884551413,2.357416807156713,9,9,True
2023-01-01,2022-12-30,0.13361169914290794,8.519576274913973,0.2800020590781235,1.3607683839214717,9,9,True
2024-01-01,2023-12-29,0.20223786138829122,11.520862443053058,2.79559259690853,1.7658335039528716,9,9,True
2025-01-01,2024-12-31,0.1931315933826733,15.490805340765796,2.547185384706488,2.609914338160839,9,9,True
2026-01-01,2025-12-31,0.15735437505504088,3.7925857433816303,2.206836835802438,2.0802860270865784,9,9,True
