year,period_start,period_end,observations,model,gross_annual_return,net_annual_return,transaction_cost_drag,annualized_volatility,sharpe_ratio,turnover_adjusted_sharpe,sortino_ratio,max_drawdown,calmar_ratio,total_return,avg_monthly_turnover,annualized_turnover,cvar_95_daily_loss
2018,2018-01-02,2018-12-28,243,Global RRP,0.00418758041294276,0.0037124123693494937,0.0004751680435932659,0.03532180661445135,0.12296557019490374,0.10510256199156642,0.1581700478901929,-0.04202471254558937,0.08833879268828272,0.0035795891991914353,0.12671622865385712,1.5427700838607106,0.005702190662145232
2019,2019-01-02,2019-12-31,244,Global RRP,0.1006596743324264,0.09995335068316735,0.0007063236492590441,0.02812809545760459,3.415509848162182,3.553505811789486,5.706188039491121,-0.013198624725802022,7.573012549388446,0.09663170621596429,0.1726777576214349,2.084976891610879,0.0034229929862758376
2020,2020-01-02,2020-12-31,243,Global RRP,0.07814262535936245,0.0770319210471111,0.0011107043122513538,0.05013819183238293,1.5114072354294517,1.5363920841947518,2.1686389200207787,-0.06801453026636639,1.132580358129796,0.07418121817002832,0.27609540405675587,3.324522406540552,0.007668313571479101
2021,2021-01-04,2021-12-31,243,Global RRP,0.07169515418288008,0.070896433068385,0.0007987211144950823,0.03524298767749387,1.969409125924065,2.011646507303902,2.7685888238496887,-0.018908513272659522,3.749445133314454,0.06827991283416468,0.19968355259178483,2.424412772880313,0.005236183472502691
2022,2022-01-04,2022-12-30,242,Global RRP,-0.004126694557083144,-0.004492306924187561,0.0003656123671044176,0.037136372344678655,-0.10323743045751019,-0.12096784474510669,-0.14003193332733138,-0.02825674838296799,-0.15898173644407507,-0.0043144259001414165,0.09797243058139066,1.1928143423284312,0.0054549313041651415
2023,2023-01-03,2023-12-29,242,Global RRP,0.047863610873121853,0.0473295941078975,0.0005340167652243544,0.01923356041440613,2.424097799006668,2.460781731938053,3.7846907418093707,-0.015108446917532548,3.1326578017078663,0.0454094367895288,0.13603264507694016,1.6561974538117465,0.002576594106678783
2024,2024-01-02,2024-12-31,242,Global RRP,0.0842863802685545,0.08347553916809214,0.0008108411004623672,0.03329975401619898,2.434601602269084,2.506791465410966,3.78956277730148,-0.018625469119113447,4.481795257571772,0.08003393225429467,0.19969447465264037,2.404562863743194,0.004183328635346993
2025,2025-01-02,2025-12-31,243,Global RRP,0.08194005339521704,0.08110553882044824,0.0008345145747687965,0.036472394612594196,2.165550326166014,2.223751406562208,3.020252377362179,-0.024556919696425816,3.3027570160704194,0.0780986883016046,0.20667170370249388,2.49543271991193,0.004885406255295099
2026,2026-01-05,2026-08-31,160,Global RRP,0.09948059520046337,0.09883257580310323,0.0006480193973601445,0.042975187288592474,2.2286661483465315,2.299759047922469,3.2678734355493773,-0.020091294064090492,4.919174219830287,0.06166688300882228,0.15588762851846572,1.913880884583852,0.006284483749370266
