model,gross_annual_return,net_annual_return,transaction_cost_drag,annualized_volatility,sharpe_ratio,turnover_adjusted_sharpe,sortino_ratio,max_drawdown,calmar_ratio,total_return,avg_monthly_turnover,annualized_turnover,cvar_95_daily_loss,variant,status,assets_ever_used,target_met
Global RRP,0.08020287073233523,0.0766689264661613,0.0035339442661739273,0.06277483255182695,1.2087700789908695,1.2213322337875354,1.9546910763779808,-0.06400402457405596,1.1978766487949737,0.8945996418557427,0.908839865253095,10.914698426020887,0.009011675264129625,ewma_cov_mean20,passed,30,False
Global RRP,0.07291455552443993,0.070442598652249,0.002471956872190928,0.06369309682644611,1.101243055211319,1.1059691263590816,1.6250417314134165,-0.05911925412187202,1.1915339545224022,0.8018944672903989,0.6395883983373595,7.681127062675605,0.01011620778319988,ewma_cov_mean60,passed,30,False
Global RRP,0.0976307692423366,0.0950494946083269,0.0025812746340097004,0.07704909538676692,1.2177883469874387,1.2336224602145234,1.7616111854533896,-0.07851574487292978,1.210578779608541,1.1933606286813654,0.6528105901981563,7.839918773084783,0.012281652510313879,lw_cov_mean60,passed,30,False
Global RRP,0.07023843878683023,0.06784443148063368,0.002394007306196544,0.06583737814713729,1.0305435294840928,1.030485013072831,1.5203994607934508,-0.059680916623605085,1.1367860166845989,0.7644118087293243,0.6209118348873282,7.456831160300363,0.010455760114318431,sample_mean_ewma60,passed,30,False
Global RRP,0.1097978064928471,0.10593279074595352,0.003865015746893574,0.07616546847428685,1.3608672632108867,1.390824383647243,2.102337715142963,-0.07161968374798833,1.4791016268475075,1.3892552864917378,0.9676111561847504,11.62051134329242,0.011053871309880357,lw_cov_mean20,passed,30,True
