model,gross_annual_return,net_annual_return,transaction_cost_drag,annualized_volatility,sharpe_ratio,turnover_adjusted_sharpe,sortino_ratio,max_drawdown,calmar_ratio,total_return,avg_monthly_turnover,annualized_turnover,cvar_95_daily_loss,variant,status,target_met,assets_ever_used,all_eligible_assets_ever_used
Global RRP,0.02489982253631373,0.023689553713284628,0.0012102688230291037,0.0056235092246805585,4.16846266535824,4.212592665326392,6.7734621337230845,-0.00900017821246668,2.632120515177224,0.2244967618588558,0.32764099841281435,3.9347995465409946,0.0007852630814454122,weekly_overlay,passed,False,30,True
Global RRP,0.0250871938109114,0.02456399509551699,0.0005231987153944129,0.005316895706400574,4.569215691966485,4.61998813818116,7.525446649314508,-0.008726712100363687,2.814805256895467,0.23357425443140634,0.1415751088809139,1.7002440992571595,0.0007175901852097205,without_overlay,passed,False,30,True
Global RRP,0.07204889452352359,0.07032472759837938,0.0017241669251442104,0.0653789343734974,1.0728243501199701,1.0756481162055596,1.584692701099,-0.10311347248088587,0.6820129892475055,0.8001788648528056,0.4461086620120603,5.357535136006994,0.010486234347584219,equal_weight_scale,passed,True,30,True
Global RRP,0.030583029043533827,0.029983517751650535,0.0005995112918832923,0.01157223499268574,2.5600591748402826,2.5909876329509114,3.788473611718658,-0.019782603105084506,1.5156507762087286,0.29117324613794393,0.16136141083847713,1.9378673892223812,0.0016799829974190052,return_target,passed,False,30,True
