model,covariance_setting,gross_annual_return,net_annual_return,transaction_cost_drag,annualized_volatility,sharpe_ratio,turnover_adjusted_sharpe,sortino_ratio,max_drawdown,calmar_ratio,total_return,avg_monthly_turnover,annualized_turnover,cvar_95_daily_loss
Convex Adaptive Global RRP,baseline_ewma,0.054214612611496404,0.05413007594966057,8.45366618358323e-05,0.04814400026772408,0.6901665942500029,1.1243368986508913,0.9863437571199911,-0.052824695458622006,1.024711557344634,0.5777550557777993,0.022232948155543924,0.26700624996411365,0.006761156406698621
Convex Adaptive Global RRP,regime_conditional,0.05333978977961684,0.05327235765442806,6.743212518878217e-05,0.04750089460410925,0.6817160738282091,1.1215021969253507,0.9699637555440289,-0.053441372612818894,0.9968373761726642,0.5666846094624713,0.01775739698758053,0.2132571868385185,0.006700541051518878
Improved Convex Adaptive Global RRP,baseline_ewma,0.058531352945804915,0.05849055122797342,4.0801717831495665e-05,0.05355175877864099,0.7027474011645339,1.0922246544646121,1.002022677467166,-0.06064322105106634,0.9645027129861686,0.6351119965039138,0.010690933871108196,0.12839260639516784,0.007543420306399993
Improved Convex Adaptive Global RRP,regime_conditional,0.05890196848495788,0.058865325488653975,3.6642996303903885e-05,0.052726701425820435,0.7196321682787022,1.1164234419532157,1.0245544221054812,-0.06037470668381928,0.9749997759315023,0.640126696502691,0.00960214129870975,0.11531676869199765,0.007428680265153096
