window,model,start_date,end_date,observations,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,calmar_ratio,cvar_95_daily_loss,avg_monthly_turnover,annualized_turnover,covariance_estimator
full_available_sample,Global Relaxed Risk Parity,2018-01-03,2026-04-30,2016,0.06894498578605757,0.05191696834651197,0.977425828244974,-0.08641121854560663,0.7978707735693991,0.007659936295702581,0.19651312788823283,2.361843368251959,sample
full_available_sample,Convex Adaptive Global RRP,2018-01-03,2026-04-30,2016,0.09287924534684833,0.07244225236294802,1.0308796718894464,-0.10751647760874916,0.8638605673526109,0.010168995095019001,0.03478193419992463,0.41803558626266774,sample
full_available_sample,Improved Convex Adaptive Global RRP,2018-01-03,2026-04-30,2016,0.09215283998057444,0.0697493061158455,1.0602663180297072,-0.11576092974576968,0.7960616780027376,0.010219226554577552,0.027366225607161468,0.3289079928600107,sample
full_available_sample,Global Relaxed Risk Parity,2018-01-03,2026-04-30,2016,0.06628145752803283,0.05071848363228518,0.9480066059669471,-0.08589572767772613,0.7716502242895658,0.007554559576032271,0.20128588418629725,2.4192059624562376,ewma
full_available_sample,Convex Adaptive Global RRP,2018-01-03,2026-04-30,2016,0.09263608659318989,0.07239738315029531,1.0281599051537855,-0.1072619178304024,0.8636437653451414,0.01015799056062048,0.03523111621479309,0.42343419537522786,ewma
full_available_sample,Improved Convex Adaptive Global RRP,2018-01-03,2026-04-30,2016,0.09247442747744938,0.06923818537327556,1.0727379274459974,-0.11496275911624221,0.8043859436597706,0.010123394128270829,0.027641202187819052,0.33221286933533756,ewma
full_available_sample,Global Relaxed Risk Parity,2018-01-03,2026-04-30,2016,0.07130575041796083,0.054123370716720645,0.9811981351995611,-0.08669026278147918,0.8225347130127151,0.0077705243737461955,0.21594379243128695,2.595375787611963,ledoit_wolf
full_available_sample,Convex Adaptive Global RRP,2018-01-03,2026-04-30,2016,0.09288672383598517,0.07260100022707479,1.0287285795290266,-0.10793376618535588,0.8605900370090834,0.01019861920262457,0.03475202617912574,0.4176761290531647,ledoit_wolf
full_available_sample,Improved Convex Adaptive Global RRP,2018-01-03,2026-04-30,2016,0.09203859384227253,0.07034901537666612,1.0496037996683016,-0.11722020298016278,0.7851768850617692,0.010335022701284152,0.02725855024044598,0.32761386888196425,ledoit_wolf
full_available_sample,Defensive Dynamic Relaxed Risk Parity,2018-04-27,2026-04-30,1879,0.07336296625899119,0.05426383811168361,1.0165695641627308,-0.07216908001795463,1.016542905088156,0.008130170242110038,0.18053492697888493,2.1867408757834728,default_sample_reference
