model,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,total_return,annualized_turnover,turnover_adjusted_return,turnover_adjusted_sharpe,avg_turnover,avg_drawdown_scalar,avg_target_vol_scalar
Global RRP,0.04252799601228685,0.04020469231769235,0.6051033998730827,0.703078517357011,-0.06426150849113976,0.6617957936382791,0.3576636694619333,2.3740871008907822,0.04181576988201961,1.0400718789636973,0.009800852511174244,0.9953755605381166,0.9898131503059812
Defensive Dynamic RRP,0.046492316052049176,0.04420418545448162,0.640037040863079,0.8133972405031976,-0.06876811051831955,0.67607377462645,0.3819987087537393,2.248303029673694,0.04581782514314707,1.0365042285492867,0.009571297115875559,0.8247109826589596,0.7365387617162007
HERC Benchmark,0.02245752925181166,0.005692327157599731,0.747941770375496,1.099714299101232,-0.005817716355101754,3.860196661550521,0.1770947400914189,0.670594083101498,0.02225635102688121,3.909886134560472,0.0027683877735058143,1.0,1.0
HRP Benchmark,0.016886660903412176,0.0017562411024512783,-0.7478125268533621,-1.1805911862880218,-0.0008151344423532603,20.716411951212695,0.1308158658744749,0.13038134565837942,0.016847546499714663,9.59295763901645,0.000538248297009298,1.0,1.0
Standard Risk Parity,0.02599181460653166,0.0072163442092879,1.079745419641027,1.4201128017870974,-0.009734324109736181,2.670120114506449,0.2072956146828604,2.805688517719151,0.025150108051215914,3.485159150092384,0.011582616048140312,1.0,0.9991485884473722
Local Relaxed Risk Parity,0.04908663005920566,0.041088414399112344,0.7517114133241637,0.8964665243336731,-0.06751587085370803,0.727038390211474,0.4216342242399236,1.4613584000192479,0.048648222539199884,1.1839888019687335,0.006032869703550576,0.9880885650224215,0.9865763558972788
