date,weight_红利ETF,weight_上证指数ETF,weight_沪深300ETF,weight_中证1000ETF,weight_恒生ETF,weight_恒生科技ETF,weight_科创50ETF,weight_0-5中高信用票,weight_中证转债,weight_黄金ETF
2020-07-30,0.0,2.5887450028467296e-07,0.0,9.478189087909813e-08,4.869798665514301e-10,0.3333330860092759,0.3333330859980205,0.0,0.33333308619134383,3.90436555246821e-07
2020-07-31,0.0012983993697467603,0.000957350675577199,0.0008802444471981601,0.0004731584686066734,0.0008746207234324699,0.24417903480313427,0.2441790348036263,0.2550083497364477,0.24417903480474334,0.008234080531068768
2020-08-03,0.0012983993697467603,0.000957350675577199,0.0008802444471981601,0.0004731584686066734,0.0008746207234324699,0.24417903480313427,0.2441790348036263,0.2550083497364477,0.24417903480474334,0.008234080531068768
2020-08-04,0.0012983993697467603,0.000957350675577199,0.0008802444471981601,0.0004731584686066734,0.0008746207234324699,0.24417903480313427,0.2441790348036263,0.2550083497364477,0.24417903480474334,0.008234080531068768
2020-08-05,0.0012983993697467603,0.000957350675577199,0.0008802444471981601,0.0004731584686066734,0.0008746207234324699,0.24417903480313427,0.2441790348036263,0.2550083497364477,0.24417903480474334,0.008234080531068768
2020-08-06,0.0012983993697467603,0.000957350675577199,0.0008802444471981601,0.0004731584686066734,0.0008746207234324699,0.24417903480313427,0.2441790348036263,0.2550083497364477,0.24417903480474334,0.008234080531068768
2020-08-07,0.0012983993697467603,0.000957350675577199,0.0008802444471981601,0.0004731584686066734,0.0008746207234324699,0.24417903480313427,0.2441790348036263,0.2550083497364477,0.24417903480474334,0.008234080531068768
2020-08-10,0.0012983993697467603,0.000957350675577199,0.0008802444471981601,0.0004731584686066734,0.0008746207234324699,0.24417903480313427,0.2441790348036263,0.2550083497364477,0.24417903480474334,0.008234080531068768
2020-08-11,0.0012983993697467603,0.000957350675577199,0.0008802444471981601,0.0004731584686066734,0.0008746207234324699,0.24417903480313427,0.2441790348036263,0.2550083497364477,0.24417903480474334,0.008234080531068768
2020-08-12,0.0012983993697467603,0.000957350675577199,0.0008802444471981601,0.0004731584686066734,0.0008746207234324699,0.24417903480313427,0.2441790348036263,0.2550083497364477,0.24417903480474334,0.008234080531068768
