model,worst_subperiod_sharpe,worst_subperiod_max_drawdown,bootstrap_sharpe_p05,bootstrap_max_drawdown_p05,subperiod_rating,transaction_cost_rating,covariance_rating,stress_rating,parameter_stability_rating,bootstrap_rating,overfitting_rating,simplified_overfit_score,overall_assessment,notes
Convex Adaptive Global RRP,-0.45126593778024476,-0.28870716566057253,0.23139517376980367,-0.44214073928246445,Moderate,Strong,Strong,Moderate,Not applicable,Moderate,Strong,0.5281267235689548,Moderate,Validation-only robustness diagnostics; ratings are qualitative and do not select or retune models.
Defensive Dynamic Relaxed Risk Parity,-0.29994137742996757,-0.07024843804602288,0.37727204665133934,-0.11083664641678814,Strong,Strong,Strong,Moderate,Not applicable,Strong,Strong,0.6711077148073653,Strong,Validation-only robustness diagnostics; ratings are qualitative and do not select or retune models.
Global Relaxed Risk Parity,-1.2507361372054588,-0.0638517493329277,0.10287333649608567,-0.11797752312042271,Moderate,Strong,Strong,Moderate,Not applicable,Strong,Strong,0.5021369732384141,Moderate,Validation-only robustness diagnostics; ratings are qualitative and do not select or retune models.
Improved Convex Adaptive Global RRP,0.522390932187323,-0.03826930816462337,0.655100401846387,-0.05843122525486359,Strong,Strong,Strong,Moderate,Strong,Strong,Strong,1.2198546355012494,Strong,Validation-only robustness diagnostics; ratings are qualitative and do not select or retune models.
