model,gross_annual_return,net_annual_return,transaction_cost_drag,avg_monthly_turnover,annualized_turnover,turnover_adjusted_sharpe
Global RRP,0.04004024575601539,0.039274629904687997,0.0007656158513273947,0.2038241612319797,2.4490901646049688,1.0029815980653363
Defensive Dynamic RRP,0.0378006572681433,0.03707148306458974,0.000729174203553562,0.18860947309990775,2.2662750221970973,0.930046955407434
Convex Adaptive Global Relaxed Risk Parity,0.0682974955618032,0.06825558125387876,4.191430792443995e-05,0.010863173391654105,0.13052864267459674,1.3140763003706946
Improved Convex Adaptive Global Relaxed Risk Parity,0.05953419502313073,0.059408730599402215,0.0001254644237285163,0.0327941132539856,0.3940442572746188,2.1782918422356907
HRP Benchmark,0.016866862925797976,0.016832272000338877,3.459092545909925e-05,0.00941857710287149,0.11317080569738147,9.605170290356941
HERC Benchmark,0.02312398772513813,0.02292715913478771,0.00019682859035041744,0.05326841732094457,0.6400573717868413,4.573095712745555
Equal Weight,0.09118037726686223,0.09112034265677704,6.0034610085191176e-05,0.015271629597652893,0.18349933402906887,0.8157060408517761
60/40 Benchmark,0.0682331710119175,0.06816919166876656,6.397934315094389e-05,0.016592907690395734,0.1993754164428784,0.7515025697771085
