month,improved_rrp_monthly_return,hs300_etf_monthly_return,excess_return,strategy_outperformed,strategy_positive_hs300_negative,strategy_negative_hs300_positive
2019-01,0.012061758815116175,0.06657133705021079,-0.05450957823509461,False,False,False
2019-02,0.0044789745261204494,0.06851578690470728,-0.06403681237858683,False,False,False
2019-03,0.0038404652115575644,0.014742014742014309,-0.010901549530456744,False,False,False
2019-04,0.005232442022846673,0.006978547428276194,-0.001746105405429521,False,False,False
2019-05,-0.0032986709582476514,-0.011162537435338904,0.007863866477091253,True,False,False
2019-06,0.021285871675516876,0.06250000000000067,-0.04121412832448379,False,False,False
2019-07,0.012541498166723342,0.009587976159626699,0.002953522007096643,True,False,False
2019-08,0.01309627189699758,-0.008983572895277403,0.022079844792274983,True,True,False
2019-09,-0.0005642082325764131,0.002072002072001755,-0.002636210304578168,False,False,True
2019-10,0.004982483586429387,0.01964331868699909,-0.014660835100569702,False,False,False
2019-11,0.0014061156404037156,-0.014702154626108466,0.01610827026651218,True,True,False
2019-12,0.01550128013245966,0.0705164915322809,-0.05501521139982124,False,False,False
2020-01,0.008911204506370618,-0.024414062499999778,0.033325267006370396,True,True,False
2020-02,0.012517167987069477,0.07488384804591353,-0.06236668005884405,False,False,False
2020-03,-0.023481736457495406,-0.026314151735613134,0.002832415278117728,True,False,False
2020-04,0.020535315813908106,0.06514036522213051,-0.04460504940822241,False,False,False
2020-05,0.002568810491187401,-0.010747185261003045,0.013315995752190446,True,True,False
2020-06,0.011068184300700334,0.08070356958096192,-0.06963538528026159,False,False,False
2020-07,0.023719222983849653,0.16397889107167707,-0.14025966808782742,False,False,False
2020-08,0.008347056244905948,0.026105263157893965,-0.017758206912988017,False,False,False
2020-09,-0.009544127012385717,-0.04677882642593345,0.037234699413547734,True,False,False
2020-10,0.0021146380694265776,0.02389151958674085,-0.021776881517314273,False,False,False
2020-11,0.010237898988471938,0.05759932730712691,-0.047361428318654974,False,False,False
2020-12,0.010635538576758474,0.05088451600079513,-0.04024897742403666,False,False,False
2021-01,-0.0026860848156484707,0.024859205018870956,-0.027545289834519426,False,False,True
2021-02,0.0035422438461880645,-0.0035527299925207645,0.007094973838708829,True,True,False
2021-03,-0.00588132681706055,-0.052355038468755666,0.046473711651695115,True,False,False
