date,is_rebalance_day,portfolio_return,gross_return,net_return,turnover,benchmark_status,skip_reason,weight_可转债ETF,weight_5年国债ETF,weight_10年国债ETF,weight_信用债ETF,weight_日利ETF,weight_沪深300ETF,weight_中证500ETF,weight_中证1000ETF,weight_中证2000ETF,weight_创业板ETF,weight_红利ETF,weight_半导体ETF,weight_人工智能ETF,weight_新能源ETF,weight_科创50ETF,weight_证券ETF,weight_军工ETF,weight_消费ETF,weight_恒生ETF,weight_白银LOF,weight_纳指ETF,weight_标普500ETF,weight_日经225ETF,weight_欧洲ETF,weight_黄金ETF,weight_有色金属期货ETF,weight_能源化工期货ETF,weight_豆粕ETF,weight_煤炭ETF,weight_原油ETF,nav_gross,nav_net
2018-01-02,False,0.006708465301310918,0.006708465301310918,0.006708465301310918,0.0,ok,,0.0,0.055461205407071015,0.055974025583859596,0.0,0.05549989956119061,0.05554303413388156,0.055926079557501285,0.05591002156744815,0.0,0.05560263598766376,0.055652940892473524,0.0,0.0,0.0,0.0,0.05536588510450461,0.055696625158892336,0.05482515671494893,0.055471478019516386,0.05536588510450461,0.05536588510450461,0.05536588510450461,0.0,0.05498666671337787,0.0556949542581718,0.0,0.0,0.0,0.0,0.05629173602598462,1.006708465301311,1.006708465301311
2018-01-03,False,0.005950287237301367,0.005950287237301367,0.005950287237301367,0.0,ok,,0.0,0.05515911347499579,0.05564862969586198,0.0,0.055153184173311366,0.05598507113162037,0.0562953500921121,0.05614552478342612,0.0,0.05593763296734234,0.056084047410128186,0.0,0.0,0.0,0.0,0.055747160628735595,0.05578542663612785,0.054856820448104165,0.056045832730466885,0.05525635956905743,0.055433423691679806,0.05476133503427048,0.0,0.05452607582788815,0.05563026290135821,0.0,0.0,0.0,0.0,0.055548748803513015,1.0126986698340767,1.0126986698340767
2018-01-04,False,0.002993079987559209,0.002993079987559209,0.002993079987559209,0.0,ok,,0.0,0.0548548715778201,0.05529692961504041,0.0,0.054835704633771326,0.05594994581466286,0.05632275657881285,0.05628356804563984,0.0,0.05640829562873743,0.05601804543364481,0.0,0.0,0.0,0.0,0.05627792992078397,0.05597799919233977,0.055089500466409716,0.05585334166306223,0.054993984447395054,0.05514497557920914,0.054705086918101914,0.0,0.0545312044469063,0.05550429410555682,0.0,0.0,0.0,0.0,0.055951565932105256,1.015729757956185,1.015729757956185
2018-01-05,True,0.0009037785595691942,0.0009069691037547929,0.0009037785595691942,0.01063514728532898,ok,,0.0,0.05555555555555555,0.05555555555555555,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.0,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.0,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0,0.0,0.05555555555555555,1.0166509934644157,1.016647752733742
2018-01-08,False,0.00425586755361139,0.00425586755361139,0.00425586755361139,0.0,ok,,0.0,0.055509772616720396,0.055458281626560996,0.0,0.055524581408420245,0.0557181326279114,0.05560394848669719,0.05557144938027422,0.0,0.055603569411744484,0.056066759045850866,0.0,0.0,0.0,0.0,0.05567512796185743,0.055181001342483264,0.05557407907115071,0.055367824897656126,0.0555704375595852,0.05518984350699707,0.055539100008380964,0.0,0.05574160762752944,0.055688938545321275,0.0,0.0,0.0,0.0,0.0554155448748586,1.0209777254408476,1.0209744709180535
2018-01-09,False,0.002620248362663251,0.002620248362663251,0.002620248362663251,0.0,ok,,0.0,0.05530630632988423,0.05517145773790469,0.0,0.055298644707526726,0.05570727583842101,0.05562229136550118,0.05540190156395129,0.0,0.05553116175956714,0.05621358366965205,0.0,0.0,0.0,0.0,0.0566235431057259,0.05488258578660785,0.05602429737999676,0.05530419400240596,0.05539988649842523,0.05562328057740439,0.055742385370876675,0.0,0.05574077585436438,0.0554935928317107,0.0,0.0,0.0,0.0,0.05491283562007382,1.0236529406542496,1.0236496776037973
2018-01-10,False,-9.682648082702126e-05,-9.682648082702126e-05,-9.682648082702126e-05,0.0,ok,,0.0,0.05517233271490688,0.05510477107202536,0.0,0.05510411647877378,0.05601104756374685,0.05542789849253428,0.05519133192213013,0.0,0.055320914851742384,0.05604924680775074,0.0,0.0,0.0,0.0,0.05602555861708799,0.05473915560376353,0.05715457111488916,0.055637234819464185,0.055255104401588186,0.055751976343811765,0.05559670818727949,0.0,0.05559510287707862,0.0554702110423399,0.0,0.0,0.0,0.0,0.055392717089086815,1.0235538239424178,1.0235505612079152
2018-01-11,False,-0.0005643512585368712,-0.0005643512585368712,-0.0005643512585368712,0.0,ok,,0.0,0.05517365063508817,0.055042710703044,0.0,0.0551132998839001,0.056254389442004483,0.055155404918634326,0.05493352182648546,0.0,0.05500063168864727,0.05622897374525395,0.0,0.0,0.0,0.0,0.055862215876280895,0.05410040388955684,0.05768451036646552,0.056052010279278544,0.054871753165538,0.0561097742748217,0.05577037914538367,0.0,0.05564744634685131,0.0553336494052865,0.0,0.0,0.0,0.0,0.055665274407479266,1.0229761800536956,1.0229729191605215
2018-01-12,True,0.002043994764922397,0.002046577643215777,0.002043994764922397,0.008609594311266969,ok,,0.0,0.05555555555555555,0.05555555555555555,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.0,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.0,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0,0.0,0.05555555555555555,1.0250697802333357,1.025063870451943
2018-01-15,False,-0.0062564173142605215,-0.0062564173142605215,-0.0062564173142605215,0.0,ok,,0.0,0.055490664282363905,0.05544946299163184,0.0,0.05546033472934548,0.055742128556238335,0.05516344437022343,0.05517807906798916,0.0,0.05492058788443601,0.05557991894487042,0.0,0.0,0.0,0.0,0.055273912810377475,0.05478674517388994,0.05614751519798978,0.05564529764982711,0.05557254098983743,0.05559684711481947,0.0560443567297941,0.0,0.0555362981728888,0.056253238818399526,0.0,0.0,0.0,0.0,0.05615862651507782,1.0186565159119587,1.0186506431046245
