model,gross_annual_return,net_annual_return,transaction_cost_drag,annualized_volatility,sharpe_ratio,turnover_adjusted_sharpe,sortino_ratio,max_drawdown,calmar_ratio,total_return,avg_monthly_turnover,annualized_turnover,cvar_95_daily_loss,role,risk_free_rate,rebalance_frequency
Global RRP,0.061975676740955166,0.06127952054550101,0.0006961561954541562,0.0359352914597813,1.6740262034554207,1.7052740650256009,2.392034096500145,-0.06801453026636539,0.9009768986937342,0.6423026597163293,0.17532337876341614,2.1055434289304853,0.00533565364983769,primary,0.0,W
HRP Benchmark,0.02115021733708189,0.021075948656608112,7.426868047377688e-05,0.0026705881945921143,7.815236261971259,7.891875167907381,17.38240107522767,-0.0018884692040007645,11.160334842611276,0.19002369944899455,0.019450570678400128,0.233591330316063,0.0002591616609697772,comparison,0.0,M
HERC Benchmark,0.025558563679406676,0.025283631161439946,0.00027493251796673057,0.0083038722967982,3.0126762259336894,3.0448000953951073,4.513755399071072,-0.015256011610854658,1.6572897167599578,0.23155249673184497,0.07170038537156062,0.861084678698736,0.0012022537365451624,comparison,0.0,M
Equal Weight,0.09583589988446595,0.09564212525130311,0.00019377463316283539,0.13159206492805156,0.7605076822499138,0.7268076939410882,1.07641751795163,-0.1825003968606257,0.5240653001118916,1.1423356341372384,0.04734265315778464,0.5685608671677544,0.018932198960922336,comparison,0.0,M
60/40 Benchmark,0.0726329582950731,0.07246422199896374,0.00016873629610936192,0.12061056364472467,0.6407230296470474,0.6008115691459437,0.9212142339206789,-0.2004108721904212,0.36157829765897914,0.7923847494413594,0.04212716464238352,0.5059255378139679,0.017176203517198847,comparison,0.0,M
