candidate_id,candidate_name,selected,primary_selected,exploratory_selected,selection_score,sharpe,calmar,max_drawdown,cvar,annual_turnover,avg_monthly_turnover,turnover_penalty,cvar_penalty,budget_penalty,max_weight,lookback_days,covariance_method,reject_reason,notes,lambda_cvar,lambda_turnover,return_reward,lambda_ref,lambda_budget,upper_bound_i,turnover_cap,portfolio_vol_cap,cvar_alpha,covariance_estimator,lookback_window,Sharpe,Calmar,CVaR_daily_loss,net_return,average_monthly_turnover,solver_fallback_rate,oos_selection_count
candidate_11,candidate_11,False,False,False,-99.60944856691519,1.076964769684907,1.8737545311550567,-0.030759783841251442,0.004495148907390254,3.1750883245233674,0.2641309720816575,0.0,0.08,0.1,0.45,252,ewma,turnover_gate;solver_fallback,The public model uses AFML-inspired rolling OOS selection. Full-sample candidate metrics are exploratory diagnostics and never select the public historical path.,0.08,0.0,0.05,0.05,0.1,0.45,0.8,0.0,0.95,ewma,252,1.076964769684907,1.8737545311550567,0.004495148907390254,0.057636284349894984,0.2641309720816575,0.028735632183908046,0
candidate_12,candidate_12,False,False,False,-99.35919184456549,0.8463346843516162,1.4653718653581025,-0.03286247533899411,0.00436233182350761,1.7961118953390578,0.14941593190310698,0.02,0.08,0.1,0.45,252,ewma,turnover_gate;solver_fallback;net_return_deterioration,The public model uses AFML-inspired rolling OOS selection. Full-sample candidate metrics are exploratory diagnostics and never select the public historical path.,0.08,0.02,0.05,0.05,0.1,0.45,0.8,0.0,0.95,ewma,252,0.8463346843516162,1.4653718653581025,0.00436233182350761,0.048155746787786446,0.14941593190310698,0.028735632183908046,0
candidate_13,candidate_13,False,False,False,-99.40146181729264,0.805802254750148,1.4045566941620093,-0.0335772761547769,0.004421008322816383,1.7476910250739468,0.1453878702478195,0.03,0.08,0.1,0.45,252,ewma,turnover_gate;solver_fallback;net_return_deterioration,The public model uses AFML-inspired rolling OOS selection. Full-sample candidate metrics are exploratory diagnostics and never select the public historical path.,0.08,0.03,0.05,0.05,0.1,0.45,0.8,0.0,0.95,ewma,252,0.805802254750148,1.4045566941620093,0.004421008322816383,0.04716118799491831,0.1453878702478195,0.028735632183908046,0
candidate_14,candidate_14,False,False,False,-99.29473097724035,0.28294202424184395,1.2066485671937413,-0.021895203244125527,0.002692090754059519,0.010548926212445532,0.0008775498033835592,0.01,0.08,0.1,0.45,252,ewma,solver_fallback;net_return_deterioration,The public model uses AFML-inspired rolling OOS selection. Full-sample candidate metrics are exploratory diagnostics and never select the public historical path.,0.08,0.01,0.05,0.05,0.1,0.45,0.35,0.0,0.95,ewma,252,0.28294202424184395,1.2066485671937413,0.002692090754059519,0.026419815622939824,0.0008775498033835592,0.9367816091954023,0
candidate_15,candidate_15,False,False,False,-99.43886572371625,0.9943711948071182,1.4583512693410887,-0.036749772384653046,0.00439960821385335,2.294927160640822,0.19091164712328218,0.01,0.08,0.1,0.45,252,ewma,turnover_gate;solver_fallback;net_return_deterioration,The public model uses AFML-inspired rolling OOS selection. Full-sample candidate metrics are exploratory diagnostics and never select the public historical path.,0.08,0.01,0.05,0.05,0.1,0.45,1.0,0.0,0.95,ewma,252,0.9943711948071182,1.4583512693410887,0.00439960821385335,0.053594077205154855,0.19091164712328218,0.028735632183908046,0
candidate_16,candidate_16,False,False,False,-99.43886646269516,0.9943719421737366,1.458346341540834,-0.036749919844163315,0.004399607549830217,2.2949266845295035,0.1909116075162752,0.01,0.08,0.1,0.45,252,ewma,turnover_gate;solver_fallback;net_return_deterioration,The public model uses AFML-inspired rolling OOS selection. Full-sample candidate metrics are exploratory diagnostics and never select the public historical path.,0.08,0.01,0.05,0.05,0.1,0.45,,0.0,0.95,ewma,252,0.9943719421737366,1.458346341540834,0.004399607549830217,0.05359411115665447,0.1909116075162752,0.028735632183908046,0
candidate_17,candidate_17,False,False,False,-99.46839340512896,0.9942980593714748,1.4995559382443373,-0.0359131763115913,0.00443649062920459,2.3896335262793005,0.1987901317075393,0.01,0.05,0.1,0.45,252,ewma,turnover_gate;solver_fallback;net_return_deterioration,The public model uses AFML-inspired rolling OOS selection. Full-sample candidate metrics are exploratory diagnostics and never select the public historical path.,0.05,0.01,0.05,0.05,0.1,0.45,0.8,0.0,0.95,ewma,252,0.9942980593714748,1.4995559382443373,0.00443649062920459,0.0538538167992626,0.1987901317075393,0.028735632183908046,0
candidate_18,candidate_18,False,False,False,-99.43058351520416,0.9898795809271532,1.410132386914307,-0.03775884366440185,0.0043724881922441805,2.2311090065592705,0.1856027078588768,0.01,0.1,0.1,0.45,252,ewma,turnover_gate;solver_fallback;net_return_deterioration,The public model uses AFML-inspired rolling OOS selection. Full-sample candidate metrics are exploratory diagnostics and never select the public historical path.,0.1,0.01,0.05,0.05,0.1,0.45,0.8,0.0,0.95,ewma,252,0.9898795809271532,1.410132386914307,0.0043724881922441805,0.053244968343607146,0.1856027078588768,0.028735632183908046,0
candidate_19,candidate_19,False,False,False,-99.45598463781822,0.9835861018612523,1.1731052766306806,-0.04449510705474058,0.004279301809018553,1.9110105448681296,0.15897418316704284,0.01,0.2,0.1,0.45,252,ewma,turnover_gate;solver_fallback;net_return_deterioration,The public model uses AFML-inspired rolling OOS selection. Full-sample candidate metrics are exploratory diagnostics and never select the public historical path.,0.2,0.01,0.05,0.05,0.1,0.45,0.8,0.0,0.95,ewma,252,0.9835861018612523,1.1731052766306806,0.004279301809018553,0.0521974448701632,0.15897418316704284,0.028735632183908046,0
candidate_20,candidate_20,False,False,False,-99.76012865946652,1.0228866564019117,1.3233328835590572,-0.04181727414508918,0.004491684275397779,2.854033421784729,0.23742288245247573,0.01,0.08,0.1,0.45,252,ewma,turnover_gate;solver_fallback;net_return_deterioration,The public model uses AFML-inspired rolling OOS selection. Full-sample candidate metrics are exploratory diagnostics and never select the public historical path.,0.08,0.01,0.06,0.06,0.1,0.45,0.8,0.0,0.95,ewma,252,1.0228866564019117,1.3233328835590572,0.004491684275397779,0.05533817397700047,0.23742288245247573,0.028735632183908046,0
