model,covariance_estimator,start_date,end_date,observations,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,calmar_ratio,cvar_95_daily_loss,avg_monthly_turnover
Global RRP,sample,2018-01-31,2026-05-07,2000,0.0427410821599461,0.03932674650791579,0.6240303187807922,-0.06825086473554032,0.626235027578918,0.006433274784972351,0.17438096678699785
Convex Adaptive Global RRP,sample,2018-01-31,2026-05-07,2000,0.054066335038920776,0.04103020040308536,0.8741447686476258,-0.052072793283521546,1.0382837491460264,0.005966634772871487,0.028922814554780955
Improved Convex Adaptive Global RRP,sample,2018-01-31,2026-05-07,2000,0.06788665811143146,0.044776948371903935,1.109648154196417,-0.058094959948626235,1.1685464310753306,0.006321679679965276,0.014347511830486933
Global RRP,ledoit_wolf,2018-01-31,2026-05-07,2000,0.051404006409679015,0.04065258800733428,0.8167747254784506,-0.05445870923516383,0.9439079098938247,0.00611392752531746,0.2080476544678205
Convex Adaptive Global RRP,ledoit_wolf,2018-01-31,2026-05-07,2000,0.054123473595158345,0.041479840813649145,0.8660465635957202,-0.05215328945707287,1.0377767952624948,0.0060259514040648466,0.02892830742047102
Improved Convex Adaptive Global RRP,ledoit_wolf,2018-01-31,2026-05-07,2000,0.0678044930811228,0.045312574687890225,1.0947180429007841,-0.058079842927966197,1.1674358893362995,0.006394258759304895,0.014368855523116111
Global RRP,ewma_halflife_20,2018-01-31,2026-05-07,2000,0.04482854415669979,0.039673272702382724,0.6711960557541933,-0.06877614380984598,0.651803687636848,0.006505916748410957,0.1729188777816076
Convex Adaptive Global RRP,ewma_halflife_20,2018-01-31,2026-05-07,2000,0.053986678564279744,0.04096122494990562,0.8736720790954325,-0.052455322347826905,1.029193533618925,0.005965653459167509,0.02922835983349383
Improved Convex Adaptive Global RRP,ewma_halflife_20,2018-01-31,2026-05-07,2000,0.06747713848652159,0.04476004204758883,1.1009180562013368,-0.05871715208156714,1.1491895654745907,0.006329474072671585,0.014506343206057383
Global RRP,ewma_halflife_60,2018-01-31,2026-05-07,2000,0.04321839700137664,0.03902817887661265,0.6410341891809032,-0.06384588370564537,0.6769175159455925,0.00640099584049967,0.1671742455348329
Convex Adaptive Global RRP,ewma_halflife_60,2018-01-31,2026-05-07,2000,0.05403751823496128,0.04106694194304634,0.872660990552024,-0.05224137945678409,1.0343815342713725,0.005975261827628527,0.02898487670632878
Improved Convex Adaptive Global RRP,ewma_halflife_60,2018-01-31,2026-05-07,2000,0.06776143672921209,0.04493508410888182,1.1029563583128095,-0.058326123768184135,1.1617682155345757,0.006347469637345725,0.014414207335817207
Global RRP,ewma_halflife_120,2018-01-31,2026-05-07,2000,0.04325086181145599,0.03919231372213975,0.639177926290806,-0.06255040870792794,0.6914561024438864,0.0064679946785968934,0.17063201340341
Convex Adaptive Global RRP,ewma_halflife_120,2018-01-31,2026-05-07,2000,0.05407915554844678,0.0410837016560795,0.8733184718553091,-0.05216968756989593,1.0366011005144047,0.0059756163303519025,0.028936834760889076
Improved Convex Adaptive Global RRP,ewma_halflife_120,2018-01-31,2026-05-07,2000,0.06780706002707482,0.04491726902528397,1.1044095312017068,-0.05821349288023692,1.1647997169071236,0.006341881491551396,0.014390300312239536
