annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,total_return,model,annualized_turnover,turnover_adjusted_return,avg_turnover,turnover_adjusted_sharpe,avg_drawdown_scalar,avg_target_vol_scalar,avg_trend_scalar,avg_final_risk_scalar,avg_gross_exposure,objective_score
0.06304784234171756,0.03646258413477364,1.2299688408246157,1.4571902141814965,-0.04067920039943529,1.5498790960156827,0.38169761959086146,lookback_120_lambda_1.0,2.858919130975454,0.06219016660242493,0.011792716864294705,1.70558856642076,0.9998054474708171,0.9938854143141166,1.0,0.9937446484734096,0.9789059088389319,1.419566918262336
0.06031815073430957,0.03515019556622632,1.1982337524966244,1.39366551603471,-0.04178693465992189,1.4434691423336463,0.3630389873566984,equity_multiplier_0.85,2.7703647272911556,0.05948704131612222,0.011427440001993576,1.6923672929228222,0.9996108949416342,0.9943488169105331,1.0,0.9941376103469526,1.029134437399585,1.3731986529373041
0.061293062093697115,0.036096330310987274,1.1938349888320954,1.407143424323331,-0.04238758449340019,1.4460145069894355,0.3696793259654898,commodity_gold_multiplier_1.15,2.7737614306375176,0.06046093366450586,0.011441451017695857,1.6749883753723935,0.9996108949416342,0.9941216267049696,1.0,0.9939159983790321,1.0239922372132653,1.3691307434209479
0.06105480748689951,0.03582425631776151,1.1962511407571714,1.3459391375264746,-0.043168475678829754,1.4143378131102597,0.36805410393394244,lookback_120_lambda_0.5,2.721230891775545,0.06023843821936685,0.011224768508276044,1.6814986383820867,0.9998054474708171,0.9935750634643645,1.0,0.9934612520578162,0.9932324296603344,1.3634821378218855
0.06102238205204569,0.03703483922673978,1.156272929656117,1.36666170432678,-0.0425352226104333,1.4346317782542355,0.3678330390993447,bond_multiplier_0.85,2.785975008542042,0.060186589549483076,0.011491830640038975,1.6251343547355632,0.9994163424124514,0.9938507392666691,1.0,0.9934577308433185,1.0164260030579317,1.3293763781513086
0.06098261676730776,0.03749110675232132,1.141140405641901,1.370023605371599,-0.04067892413670171,1.4991206886980442,0.3675619733800859,lookback_120_lambda_0.3,2.7277010594857587,0.06016430644946204,0.011251457215572573,1.6047620798961042,0.9998054474708171,0.9935575719043147,1.0,0.9934208697775331,0.9544711867911572,1.3250929930543212
0.05978793586544073,0.035991081972420416,1.155506686276037,1.3465572960244339,-0.04248083903078148,1.4074094869481881,0.35943855028432026,defensive_multiplier_1.15,2.7792130877645835,0.05895417193911136,0.011463938484460532,1.638021662818787,0.9996108949416342,0.9940529652948343,1.0,0.9938500754423331,1.0234223046136222,1.3249299130017964
0.05979599207218067,0.036065588795018345,1.15334293607668,1.3455275401792548,-0.042484940424631135,1.407463244023128,0.3594931983941103,preserve_current_v3,2.7779151168305223,0.058962617537131515,0.01145858450170613,1.6348718960960338,0.9996108949416342,0.9940983077115676,1.0,0.9938958024199037,1.0243912912006776,1.3227936959276914
0.060325638490211775,0.036905158289525376,1.141456653829557,1.3754905463181388,-0.04075533464218006,1.4801899927912079,0.36308988845932544,lookback_120_lambda_0.7,2.749533658386965,0.059500778392695686,0.011341514207553942,1.6122618395484167,0.9998054474708171,0.9935413854009079,1.0,0.9933976060655896,0.9614877418378965,1.3222421478724335
0.060631087435645936,0.035771155145093325,1.18618163890819,1.3858949239387424,-0.045775187305381326,1.3245404553160212,0.3651676177116834,lookback_180_lambda_1.0,2.896503369900476,0.059762136424675795,0.01194774758321244,1.6706795232715115,0.9996108949416342,0.9925932047080347,1.0,0.9923964962329298,0.9669016922951212,1.3216736753725848
0.05875820962703027,0.035308635947959785,1.148676762444396,1.3247932964059717,-0.042607867780669495,1.379045999896008,0.35246820109535637,bond_multiplier_1.15,2.7710345246432624,0.05792689926963729,0.011430202840034103,1.6405872873427851,0.9996108949416342,0.9943422418357384,1.0,0.9941356871978222,1.0297709198706104,1.313230580422918
