date,portfolio_return,turnover,target_vol_scalar,drawdown_scalar,trend_scalar,final_risk_scalar,turnover_cap_bound,gross_exposure,risky_exposure,defensive_cash_proxy_exposure,reentry_state,trend_positive_count,ema_deviation_min,ema_deviation_max,ema_strong_trend_count,ema_overextended_count,ema_stop_count,ema_insufficient_history,weight_可转债ETF,weight_5年国债ETF,weight_10年国债ETF,weight_信用债ETF,weight_日利ETF,weight_沪深300ETF,weight_中证500ETF,weight_中证1000ETF,weight_中证2000ETF,weight_创业板ETF,weight_红利ETF,weight_半导体ETF,weight_人工智能ETF,weight_新能源ETF,weight_科创50ETF,weight_证券ETF,weight_军工ETF,weight_消费ETF,weight_恒生ETF,weight_白银LOF,weight_纳指ETF,weight_标普500ETF,weight_日经225ETF,weight_欧洲ETF,weight_黄金ETF,weight_有色金属期货ETF,weight_能源化工期货ETF,weight_豆粕ETF,weight_煤炭ETF,weight_原油ETF,gross_return,net_return,nav_gross,nav_net
2018-01-02,0.0012893730418405,0.0,1.0,1.0,1.0,1.0,False,1.0000000006277343,1.0000000006277343,0.0,1.0,30,,,,,,,0.0,0.1134372487345157,0.0723935595942271,0.0,0.7281404704885632,0.0111738884300755,4.256744731343686e-09,0.0003777351686868,0.0,2.16493046388674e-09,3.5409885934782423e-09,0.0,0.0,0.0,0.0,1.782678993493291e-09,0.00121566496192,0.0065084282217665,0.0115942556619018,0.0036423317953326,0.0232310121539218,1.0738279820637756e-08,0.0,8.629220389091756e-09,0.0282853731250399,0.0,0.0,0.0,0.0,1.1789398299505842e-09,0.0012893730418405,0.0012893730418405,1.0012893730418404,1.0012893730418406
2018-01-03,0.0004288994502363,0.0,1.0,1.0,1.0,1.0,False,1.0000000006269258,1.0000000006269258,0.0,1.0,30,,,,,,,0.0,0.1134299580637789,0.0723622359384475,0.0,0.7275078390421622,0.0113237710116656,4.308041407555342e-09,0.0003813792151266,0.0,2.1897612659963244e-09,3.587730976357743e-09,0.0,0.0,0.0,0.0,1.8046698625391787e-09,0.0012241929987752,0.0065474317999891,0.011777702362564,0.0036548002048306,0.0233852329772765,1.0678508816510462e-08,0.0,8.603249624765271e-09,0.028405424670672,0.0,0.0,0.0,0.0,1.169675498802946e-09,0.0004288994502363,0.0004288994502363,1.0017188255034657,1.001718825503466
2018-01-04,0.0010655557060578,0.0,1.0,1.0,1.0,1.0,False,1.000000000626657,1.000000000626657,0.0,1.0,30,,,,,,,0.0,0.1134268801750203,0.0723017503049698,0.0,0.727312087396179,0.0113791233364526,4.3339264529716925e-09,0.0003844269152668,0.0,2.220373075561601e-09,3.603286248487112e-09,0.0,0.0,0.0,0.0,1.8319069825939318e-09,0.0012351986102735,0.0066114919896263,0.0118020296297919,0.0036575211676145,0.0233919397955886,1.0726414760063442e-08,0.0,8.651544808700409e-09,0.0284975187537612,0.0,0.0,0.0,0.0,1.1846597895830983e-09,0.0010655557060578,0.0010655557060578,1.0027862127138463,1.0027862127138467
2018-01-05,0.0001823431257146,0.0,1.0,1.0,1.0,1.0,False,1.00000000062599,1.00000000062599,0.0,1.0,30,,,,,,,0.0,0.1133268292622061,0.0722255265534261,0.0,0.7273428002972147,0.0114025501487662,4.3460636478768045e-09,0.0003840177229909,0.0,2.223262497908248e-09,3.600589179360244e-09,0.0,0.0,0.0,0.0,1.8280916617504626e-09,0.0012324440672024,0.0067296970767974,0.0118554941815558,0.0036450614864429,0.0235341871272034,1.0734657879080404e-08,0.0,8.709100745185973e-09,0.0283213600634835,0.0,0.0,0.0,0.0,1.1969344195555732e-09,0.0001823431257146,0.0001823431257146,1.002969063886296,1.0029690638862965
2018-01-08,0.0005955540437244,0.0,1.0,1.0,1.0,1.0,False,1.0000000006258758,1.0000000006258758,0.0,1.0,30,,,,,,,0.0,0.1133154743584131,0.0721512999905698,0.0,0.7274639430902053,0.0114442036795525,4.3530008247581274e-09,0.0003844058842597,0.0,2.226796083349209e-09,3.636353195257423e-09,0.0,0.0,0.0,0.0,1.8333535612960982e-09,0.0012250218373588,0.0067368181644112,0.0118239928751089,0.0036486794433201,0.0233962040179192,1.07392531652791e-08,0.0,8.744597798355322e-09,0.0284099245566191,0.0,0.0,0.0,0.0,1.1947829009169574e-09,0.0005955540437244,0.0005955540437244,1.003566386168024,1.0035663861680244
2018-01-09,-6.041097856295233e-06,0.0,1.0,1.0,1.0,1.0,False,1.0000000006255034,1.0000000006255034,0.0,1.0,30,,,,,,,0.0,0.1133131301456914,0.0720407158452345,0.0,0.7271541308714933,0.0114838300370265,4.370365929347901e-09,0.0003846349848341,0.0,2.2320316348272034e-09,3.6592129879013614e-09,0.0,0.0,0.0,0.0,1.8714052893637262e-09,0.0012228540530605,0.0068162385049955,0.011853608326603,0.0036507876895584,0.0236662062761466,1.0817990632648256e-08,0.0,8.776455752947239e-09,0.0284138309751215,0.0,0.0,0.0,0.0,1.1882753017611934e-09,-6.041097856295233e-06,-6.041097856295233e-06,1.00356032352528,1.0035603235252804
2018-01-10,0.0001908883375664,0.0,1.0,1.0,1.0,1.0,False,1.0000000006255072,1.0000000006255072,0.0,1.0,30,,,,,,,0.0,0.1133355151862676,0.0721426112496946,0.0,0.7264991765071669,0.0115767758586333,4.366529854664018e-09,0.000384179406908,0.0,2.229420727156076e-09,3.658097625531499e-09,0.0,0.0,0.0,0.0,1.8565049087603655e-09,0.0012228614404862,0.006972016795104,0.0119563091993572,0.0036508097444573,0.0237832613461925,1.0818055985583082e-08,0.0,8.77650877269557e-09,0.0284764509843136,0.0,0.0,0.0,0.0,1.201807646734285e-09,0.0001908883375664,0.0001908883375664,1.003751891487085,1.0037518914870855
2018-01-11,-0.0003201228540691,0.0,1.0,1.0,1.0,1.0,False,1.000000000625388,1.000000000625388,0.0,1.0,30,,,,,,,0.0,0.1133056196074816,0.0720406332748699,0.0,0.7264112320900781,0.0116237269080346,4.34381330367123e-09,0.0003822748288707,0.0,2.215875783940878e-09,3.6687719814184845e-09,0.0,0.0,0.0,0.0,1.8505597762258122e-09,0.0012082441955781,0.007034637421697,0.0120419784662615,0.0036244380943123,0.0239290091336804,1.0848727390245344e-08,0.0,8.782244936428388e-09,0.0283981736871565,0.0,0.0,0.0,0.0,1.2073736730848716e-09,-0.0003201228540691,-0.0003201228540691,1.003430567566805,1.0034305675668054
2018-01-12,0.0010192717638224,0.0,1.0,1.0,1.0,1.0,False,1.0000000006255882,1.0000000006255882,0.0,1.0,30,,,,,,,0.0,0.113240620842183,0.0718710502737131,0.0,0.7266438473923971,0.0116110570397058,4.355505572520941e-09,0.0003846870468176,0.0,2.232333749815841e-09,3.66084589322073e-09,0.0,0.0,0.0,0.0,1.8436955652669806e-09,0.001217264185346,0.0069951693987974,0.0120018449554699,0.0036384402852739,0.0239366718093769,1.0852201427939388e-08,0.0,8.725748830755636e-09,0.0284593145300101,0.0,0.0,0.0,0.0,1.1961658058349607e-09,0.0010192717638224,0.0010192717638224,1.0044533360112822,1.0044533360112826
2018-01-15,0.0001766522247269,0.0,1.0,1.0,1.0,1.0,False,1.0000000006249512,1.0000000006249512,0.0,1.0,30,,,,,,,0.0,0.1132244294953699,0.0718074180806055,0.0,0.7261428453424432,0.0116620065943602,4.3292027404084135e-09,0.0003824653675877,0.0,2.209084244298939e-09,3.6662099509839875e-09,0.0,0.0,0.0,0.0,1.8362313411543934e-09,0.0012016509109546,0.0070769601965393,0.0120335691359792,0.003643287820836,0.0239790461975168,1.0958918834464862e-08,0.0,8.731675980794483e-09,0.0288462885410439,0.0,0.0,0.0,0.0,1.2103914199383812e-09,0.0001766522247269,0.0001766522247269,1.0046307749277228,1.0046307749277237
