model,gross_annual_return,net_annual_return,transaction_cost_drag,annualized_volatility,sharpe_ratio,turnover_adjusted_sharpe,sortino_ratio,max_drawdown,calmar_ratio,total_return,avg_monthly_turnover,annualized_turnover,cvar_95_daily_loss,variant,status,target_met,observations,sample_start,sample_end,scenario_cvar_95_daily_loss,mean_hhi,max_single_asset_weight,total_transaction_cost,rebalance_count,mean_cash_weight,max_cash_weight,mean_bond_weight,max_bond_weight,mean_defensive_weight,max_defensive_weight,mean_commodity_gold_weight,max_commodity_gold_weight,mean_equity_weight,max_equity_weight,sharpe_chinabond
monthly_control,0.0578151526253281,0.057760368041345655,5.47845839824479e-05,0.06606759695164567,0.883522513900836,0.874261676016762,1.231492083225675,-0.08913472208715634,0.6480119833084497,0.6253806472550489,0.014358994024121885,0.17244411855842362,0.010220681937717361,monthly_control,passed,False,2102,2018-01-02,2026-08-31,0.010253932211349582,0.1256623038154787,0.3264660646729366,0.0004480006135526042,104,0.29936603224038655,0.3264660646729366,0.23231061139905596,0.3066006832955711,0.027962328025935592,0.0471903729629868,0.1274004426700945,0.178721065182788,0.31296058566452617,0.38613170804499347,0.570541888240608
weekly_baseline,0.05764512357136553,0.05755903274689178,8.609082447375016e-05,0.06528565948104716,0.8903993769119075,0.8816489441084919,1.2404436974843849,-0.08760623354823738,0.6570198308456997,0.6227064221258365,0.022566478014006432,0.27101177168512436,0.010085423375177897,weekly_baseline,passed,False,2102,2018-01-02,2026-08-31,0.010117623488449651,0.12487501289177948,0.3124930449441584,0.0007040741140370072,444,0.2999431395669984,0.3124930449441584,0.23980836134558317,0.323741437509275,0.025308941066094857,0.0424971955750231,0.1314024011813011,0.1623963928979161,0.30353715684002125,0.3888242644489652,0.5736701289551377
no_cash_cap,0.05128661528429079,0.05119869507284758,8.792021144321538e-05,0.052013522883482204,0.9865500852140018,0.9843343083593865,1.3767030974508114,-0.06986191947146925,0.7328555450549351,0.540203461748958,0.02318714323289913,0.27846564111441874,0.008059434120027064,no_cash_cap,passed,False,2102,2018-01-02,2026-08-31,0.008085633678298152,0.18859804317864598,0.4133855496821755,0.0007234388688664592,444,0.3998632611330448,0.4133855496821755,0.22786413062930705,0.30889067202449527,0.019502317561988305,0.0350329216627562,0.11381811059814687,0.1413551083606976,0.2389521800775117,0.33170436951041055,0.5890019730410334
no_asset_cap,0.057646544870690875,0.057560465021170515,8.607984952035963e-05,0.06531428823767772,0.8900583727820706,0.8812844260310828,1.240150758417118,-0.08755243490956066,0.6574399110730494,0.6227254324803881,0.022563599879102905,0.2709772067681325,0.010087976831026146,no_asset_cap,passed,False,2102,2018-01-02,2026-08-31,0.010120181283630871,0.12485721221644906,0.3124906147070385,0.000703984316228017,444,0.29994322535881174,0.3124906147070385,0.2397752309433417,0.3236800343994323,0.02521729452498,0.0423527267239878,0.13148698721744495,0.16237037508665642,0.3035772619554204,0.3882582549070861,0.5734679545485082
no_concentration_caps,0.029349444933563174,0.029187782761571635,0.00016166217199153898,0.015550983593886758,1.8588056556783357,1.8769091090190355,2.6476264459799164,-0.02630037886674985,1.1097856388096436,0.2825699270954518,0.04355934492681165,0.5231252849794079,0.002354484255870318,no_concentration_caps,passed,True,2102,2018-01-02,2026-08-31,0.002362342298232751,0.519002515095606,0.8660713698652996,0.0013590515617164299,444,0.7023437737603111,0.8660713698652996,0.1812629919429687,0.3321246350001442,0.0070975306082520125,0.00907077585444,0.03607816411369618,0.12394923545452971,0.07321753957477115,0.1520106777336,0.529122699937677
no_turnover_cap,0.0576453734303104,0.057559282382496635,8.609104781376331e-05,0.06528440044306494,0.8904189091244487,0.8816697709078994,1.2404678171126764,-0.08760084055709283,0.6570631288062019,0.622709735486362,0.02256653028508811,0.2710123994338783,0.010085260198569996,no_turnover_cap,passed,False,2102,2018-01-02,2026-08-31,0.010117461061168573,0.1248760032994137,0.3124922785191985,0.0007040757448947558,444,0.2999431413950496,0.3124922785191985,0.2398138241629365,0.3237389592459715,0.02530804694163337,0.0424947786488416,0.13140850974492427,0.16240613772280652,0.3035264777554551,0.3888329418492547,0.5736835529067381
ledoit_wolf,0.06536545274743766,0.06534172889615197,2.3723851285684106e-05,0.06764998252438607,0.9700772081456438,0.965879464530504,1.3490253897264364,-0.09788389838899214,0.6675431809681601,0.7289601110266113,0.006165048809551716,0.07403905914626352,0.01051461227922845,ledoit_wolf,passed,False,2102,2018-01-02,2026-08-31,0.01054977358209331,0.08547083838317787,0.1903767663243386,0.00019234952285801537,444,0.1296122252907173,0.1903767663243386,0.3468921213954434,0.3956940383861489,0.029143187073988754,0.0339227088470305,0.18154658721756547,0.2506450211641402,0.3128058790222842,0.3857615745324532,0.6644174421236794
relative_cvar,0.05762693339859326,0.057540893950757566,8.603944783569517e-05,0.06522288923558239,0.8909302412440225,0.8822193347326615,1.2411517583761378,-0.0875701085949796,0.6570837340957276,0.6224656857371209,0.0225533882716056,0.2708545706244737,0.010076285639558697,relative_cvar,passed,False,2102,2018-01-02,2026-08-31,0.010108450255447168,0.12490384410880558,0.3124905968457964,0.0007036657140741009,444,0.2999431333032928,0.3124905968457964,0.2400075560925031,0.3239343839956661,0.02531126039275647,0.0425165843841557,0.13151655600253756,0.1625321055469499,0.30322149420890887,0.3886065535336735,0.5738961743368333
ledoit_wolf_relative_cvar,0.06536177062500825,0.06533802039149705,2.3750233511199426e-05,0.06762277957112794,0.9703886381606887,0.9662131726302717,1.3494822278509333,-0.09787787396369951,0.6675463794373927,0.7289080496654039,0.006171943851509489,0.07412186504692996,0.010510156881756837,ledoit_wolf_relative_cvar,passed,False,2102,2018-01-02,2026-08-31,0.010545318811427298,0.08549049740150785,0.1904032588682684,0.0001925646481670977,444,0.12963938659502283,0.1904032588682684,0.34699421086618576,0.3957662564426196,0.029115698329994374,0.0338912165720438,0.18157534613274248,0.2506034234686537,0.3126753580760537,0.38575634541481507,0.664605912858128
