model,gross_annual_return,net_annual_return,transaction_cost_drag,annualized_volatility,sharpe_ratio,turnover_adjusted_sharpe,sortino_ratio,max_drawdown,calmar_ratio,total_return,avg_monthly_turnover,annualized_turnover,cvar_95_daily_loss
Global RRP,0.04381330212573187,0.04292612273799867,0.0008871793877331946,0.04172225045111384,0.592636362388227,1.0288544427462132,0.6825086745726038,-0.07170423411100901,0.5986553412109881,0.36903114552457805,0.23273234597253611,2.826269467427352,0.006905728421250979
Defensive Dynamic RRP,0.04687993309437455,0.04591878946026884,0.00096114363410571,0.04380847462295265,0.6327266516087754,1.0481713836302013,0.7818997473218311,-0.07099331049815849,0.6468044543641888,0.38452265700314947,0.24381319844802296,2.960833809541752,0.006986773304943788
Convex Adaptive Global Relaxed Risk Parity,0.06466546922338146,0.06461586124582763,4.9607977553822735e-05,0.051780244952054987,0.896400959261695,1.2478863571552734,1.364718759854705,-0.06748117307937918,0.9575390927158153,0.5966863366126174,0.012761018574203187,0.15496804717381146,0.007264554880374787
Improved Convex Adaptive Global Relaxed Risk Parity,0.057407002516873806,0.057321730065731824,8.527245114198223e-05,0.02922084530810246,1.3388295120567237,1.9616725478450636,1.9650083313851063,-0.04628923610879254,1.2383382160597738,0.5167226340440194,0.02208729462664265,0.2682250555267416,0.004114344991403835
HRP Benchmark,0.016813850051959456,0.01677353122763514,4.031882432431466e-05,0.0017235710322096745,-0.8276240118378412,9.731847956466828,-1.3651109038510427,-0.0008151344423532603,20.57762542729839,0.132370377642141,0.010856130057524338,0.131835344106496,0.00016656983795940988
HERC Benchmark,0.022670938784232986,0.022460033750759445,0.00021090503347354073,0.005700381320085806,0.747324347539494,3.940093212996032,1.0825521537284113,-0.005789468894790595,3.8794635844695775,0.18056398178878696,0.05646811208908817,0.68574095454479,0.0007716229774305262
Equal Weight,0.10652489044384983,0.10647593415426737,4.895628958245801e-05,0.11195452433865614,0.788498139541352,0.9510641466546154,1.2530353505723943,-0.1390486472014445,0.7657459191243484,1.130048003300041,0.012149517128181643,0.14754205806621096,0.015188711877689765
60/40 Benchmark,0.08187670871666985,0.08182145262384455,5.5256092825306524e-05,0.09029368521819736,0.7046057813467401,0.9061702645774241,1.1270182350045266,-0.14388502600275865,0.5686585664742891,0.7999203735226452,0.013997448077501154,0.16998307630177714,0.012266219333349706
