schedule_year,calibration_start,calibration_end,validation_start,validation_end,variance_penalty,shortfall_penalty,model,gross_annual_return,net_annual_return,transaction_cost_drag,annualized_volatility,sharpe_ratio,turnover_adjusted_sharpe,sortino_ratio,max_drawdown,calmar_ratio,total_return,avg_monthly_turnover,annualized_turnover,cvar_95_daily_loss,sharpe_standard_error,quarterly_sharpe_median,quarterly_sharpe_min,solver_count,future_information_count,variance_rank,shortfall_rank,within_one_standard_error,selected
2017,2014-12-10,2015-12-21,2015-12-22,2016-12-30,6.857613821666568e-12,3.41189764276655,Global RRP,0.0671307607029509,0.0666949199401247,0.0004358407628262,0.0448662237954772,1.4673298328498243,1.4865284906559917,2.1129407749386138,-0.0369367124074135,1.80565393055226,0.0666949199401247,0.1047436710784622,1.329810524594408,0.0064248924833678,1.0041279906418208,1.817940996590121,-0.0249517960709761,52,0,0,0,True,False
2017,2014-12-10,2015-12-21,2015-12-22,2016-12-30,6.857613821666568e-12,6.338297819048061,Global RRP,0.0671300964228867,0.0666942854673151,0.0004358109555715,0.0448662789089045,1.467314771611166,1.4865125231965357,2.1129195349541536,-0.0369366504422323,1.805639782405897,0.0666942854673151,0.104736572310065,1.3297203996557925,0.0064248858431401,1.004127946799511,1.817921263614909,-0.0249380532501557,52,0,0,1,True,False
2017,2014-12-10,2015-12-21,2015-12-22,2016-12-30,6.857613821666568e-12,16.54435115714024,Global RRP,0.0671294606367451,0.0666936781134253,0.0004357825233198,0.0448663304829916,1.467300391671037,1.4864972774786682,2.1128993360706114,-0.0369365858780358,1.805626495465689,0.0666936781134253,0.1047298015808747,1.329634439455584,0.0064248798938416,1.0041279049408358,1.8179026620858016,-0.0249254423955687,52,0,0,2,True,True
2017,2014-12-10,2015-12-21,2015-12-22,2016-12-30,0.0799538293093843,3.41189764276655,Global RRP,0.0792489636638524,0.078661234205861,0.0005877294579914,0.0396388925873543,1.937904846983388,1.984445807422876,2.921705499348392,-0.0206466135454428,3.8098855307544266,0.078661234205861,0.1396422501056913,1.7728778450918423,0.0054709634755793,1.0057162075017962,2.3600934035990173,0.0334335111745123,52,0,1,0,True,False
2017,2014-12-10,2015-12-21,2015-12-22,2016-12-30,0.0799538293093843,6.338297819048061,Global RRP,0.0792711444038531,0.0786611371034655,0.0006100073003876,0.0397035200304982,1.9348122878111724,1.981213178152518,2.9186471302482158,-0.0206729443842353,3.8050282360093,0.0786611371034655,0.1449355011028582,1.8400801954856865,0.0054700806521769,1.005704346340978,2.3397394204271063,0.057571846237339,52,0,1,1,True,False
2017,2014-12-10,2015-12-21,2015-12-22,2016-12-30,0.0799538293093843,16.54435115714024,Global RRP,0.079276042914993,0.0786456928635375,0.0006303500514555,0.0397631093083483,1.9316102906217063,1.9778557117771915,2.9151617763392514,-0.0206953549330303,3.800161587855493,0.0786456928635375,0.1497711164831233,1.9014724701630763,0.0054693683874799,1.0056920852568534,2.3211347631165813,0.077982726372043,52,0,1,2,True,False
2017,2014-12-10,2015-12-21,2015-12-22,2016-12-30,0.0912081066501255,3.41189764276655,Global RRP,0.0800105915780085,0.0794069005222981,0.0006036910557103,0.0393453195921863,1.969709648539075,2.0182044864636874,2.976168603127069,-0.0195460658140966,4.062551578283833,0.0794069005222981,0.1433340181258429,1.8197479988396623,0.0054194306289762,1.0058392821683215,2.403042990634713,0.0424175847119953,52,0,2,0,True,False
2017,2014-12-10,2015-12-21,2015-12-22,2016-12-30,0.0912081066501255,6.338297819048061,Global RRP,0.0800444821254398,0.0794152922585369,0.0006291898669028,0.0394173229641157,1.9663811292727371,2.0147307398534933,2.9730113613792,-0.0195714947089217,4.057701950701561,0.0794152922585369,0.14938735285907,1.8966002626018164,0.0054189010798585,1.0058263086826509,2.3806959433106574,0.0693834428156147,52,0,2,1,True,False
2017,2014-12-10,2015-12-21,2015-12-22,2016-12-30,0.0912081066501255,16.54435115714024,Global RRP,0.0800583166167729,0.0794060724305623,0.0006522441862106,0.0394843384138086,1.962892921162558,2.01107769866525,2.9693160645058656,-0.0195932167837753,4.052732805790037,0.0794060724305623,0.1548626956244703,1.9661144237938275,0.0054184966373788,1.005812736148784,2.360154078315039,0.0923078574941479,52,0,2,2,True,False
2018,2015-12-10,2016-12-20,2016-12-21,2017-12-29,0.1401588770162282,8.826466875257138,Global RRP,0.0606879979032095,0.0598871681238732,0.0008008297793362,0.0362331465942419,1.6298531073147975,1.6528282457640715,2.4567057830431063,-0.023370463074844,2.562515254065969,0.0598871681238732,0.19368464096085,2.465584708960741,0.0047549789944709,1.0046271643477822,2.014213320420472,0.0911904981781181,53,0,0,0,True,True
2018,2015-12-10,2016-12-20,2016-12-21,2017-12-29,0.1401588770162282,11.76884328568571,Global RRP,0.0607030303619202,0.0598978792189033,0.0008051511430169,0.0362407068528611,1.6298006616909777,1.6527789996506228,2.456570992869076,-0.0233704630653053,2.5629735727327057,0.0598978792189033,0.1947287425760016,2.4788760105536185,0.0047551375815995,1.004626994858541,2.015454426609124,0.091190500496022,53,0,0,1,True,False
2018,2015-12-10,2016-12-20,2016-12-21,2017-12-29,0.1401588770162282,44.37243047683026,Global RRP,0.0607405665476143,0.0599248537014713,0.000815712846143,0.0362594187968104,1.629683071660056,1.6526700010630806,2.4562627406891453,-0.0233704638312824,2.5641277012764747,0.0599248537014713,0.1972803560475209,2.511357776414588,0.0047555257230177,1.0046266148609455,2.0185110945997646,0.0911903609605887,53,0,0,2,True,False
