model,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,total_return,turnover
Equal Weight,0.09089800230037293,0.1117399845770098,0.6505997166150527,1.0363676372554569,-0.18056012773234031,0.5034223415876111,0.8886470245652904,0.0007621150199227453
Minimum Variance,0.016999565167873598,0.0021358930899503933,-0.5620294563312076,-0.5901282348059658,-0.0028531759548516833,5.958120156931327,0.13111006447032936,0.0018785056156224687
Standard Risk Parity,0.024966890917563545,0.00860438802096257,0.7864465085811569,0.9851622838674319,-0.011745845441023528,2.125593346423937,0.19749680306599693,0.010906804492684082
Local Relaxed Risk Parity,0.036674670126033426,0.03816884584820672,0.48402485627952035,0.5689415573419226,-0.04888599587941456,0.750208100833163,0.3011439258379136,0.008376547350662317
Global RRP,0.039274629904687997,0.039157876854815005,0.5381964395778158,0.6152151858516348,-0.0589273489763249,0.6664923942271231,0.3251833196246423,0.010099395376359354
HRP Benchmark,0.016832272000338877,0.001752417863662193,-0.7804805166747465,-1.229630000832671,-0.0008141381633404166,20.674957591075092,0.12975089486562763,0.00046668625284498373
HERC Benchmark,0.02292715913478771,0.005013487706126077,0.9428883467713511,1.4188666032852344,-0.003937940070526613,5.822119870839402,0.18018871280645343,0.0026394260834702267
Defensive Dynamic RRP,0.03873221827119733,0.04009450513185764,0.5120955653068573,0.5920372769540898,-0.06682584514566314,0.5795993778570411,0.30903558724648383,0.009885876678639936
