date,weight_红利ETF,weight_上证指数ETF,weight_沪深300ETF,weight_中证1000ETF,weight_恒生ETF,weight_恒生科技ETF,weight_科创50ETF,weight_0-5中高信用票,weight_中证转债,weight_黄金ETF
2019-04-26,4.3914406231844094e-07,1.5259022259747882e-05,2.5049465091818777e-05,2.454121971288763e-05,2.457119342164974e-05,0.4996516329211805,0.4996516329282704,0.00039226758017135515,0.00013152190022352545,8.486116240184027e-05
2019-04-29,4.3914406231844094e-07,1.5259022259747882e-05,2.5049465091818777e-05,2.454121971288763e-05,2.457119342164974e-05,0.4996516329211805,0.4996516329282704,0.00039226758017135515,0.00013152190022352545,8.486116240184027e-05
2019-04-30,0.0005524746693569749,0.00013435602483119512,3.0276336363151226e-07,1.3228334401893475e-09,0.001011351085738794,0.2757860631135142,0.2755005485185422,0.625820901161572,0.0,0.0
2019-05-06,0.0005524746693569749,0.00013435602483119512,3.0276336363151226e-07,1.3228334401893475e-09,0.001011351085738794,0.2757860631135142,0.2755005485185422,0.625820901161572,0.0,0.0
2019-05-07,0.0005524746693569749,0.00013435602483119512,3.0276336363151226e-07,1.3228334401893475e-09,0.001011351085738794,0.2757860631135142,0.2755005485185422,0.625820901161572,0.0,0.0
2019-05-08,0.0005524746693569749,0.00013435602483119512,3.0276336363151226e-07,1.3228334401893475e-09,0.001011351085738794,0.2757860631135142,0.2755005485185422,0.625820901161572,0.0,0.0
2019-05-09,0.0005524746693569749,0.00013435602483119512,3.0276336363151226e-07,1.3228334401893475e-09,0.001011351085738794,0.2757860631135142,0.2755005485185422,0.625820901161572,0.0,0.0
2019-05-10,0.0005524746693569749,0.00013435602483119512,3.0276336363151226e-07,1.3228334401893475e-09,0.001011351085738794,0.2757860631135142,0.2755005485185422,0.625820901161572,0.0,0.0
2019-05-13,0.0005524746693569749,0.00013435602483119512,3.0276336363151226e-07,1.3228334401893475e-09,0.001011351085738794,0.2757860631135142,0.2755005485185422,0.625820901161572,0.0,0.0
2019-05-14,0.0005524746693569749,0.00013435602483119512,3.0276336363151226e-07,1.3228334401893475e-09,0.001011351085738794,0.2757860631135142,0.2755005485185422,0.625820901161572,0.0,0.0
2019-05-15,0.0005524746693569749,0.00013435602483119512,3.0276336363151226e-07,1.3228334401893475e-09,0.001011351085738794,0.2757860631135142,0.2755005485185422,0.625820901161572,0.0,0.0
2019-05-16,0.0005524746693569749,0.00013435602483119512,3.0276336363151226e-07,1.3228334401893475e-09,0.001011351085738794,0.2757860631135142,0.2755005485185422,0.625820901161572,0.0,0.0
2019-05-17,0.0005524746693569749,0.00013435602483119512,3.0276336363151226e-07,1.3228334401893475e-09,0.001011351085738794,0.2757860631135142,0.2755005485185422,0.625820901161572,0.0,0.0
2019-05-20,0.0005524746693569749,0.00013435602483119512,3.0276336363151226e-07,1.3228334401893475e-09,0.001011351085738794,0.2757860631135142,0.2755005485185422,0.625820901161572,0.0,0.0
2019-05-21,0.0005524746693569749,0.00013435602483119512,3.0276336363151226e-07,1.3228334401893475e-09,0.001011351085738794,0.2757860631135142,0.2755005485185422,0.625820901161572,0.0,0.0
2019-05-22,0.0005524746693569749,0.00013435602483119512,3.0276336363151226e-07,1.3228334401893475e-09,0.001011351085738794,0.2757860631135142,0.2755005485185422,0.625820901161572,0.0,0.0
2019-05-23,0.0005524746693569749,0.00013435602483119512,3.0276336363151226e-07,1.3228334401893475e-09,0.001011351085738794,0.2757860631135142,0.2755005485185422,0.625820901161572,0.0,0.0
2019-05-24,0.0005524746693569749,0.00013435602483119512,3.0276336363151226e-07,1.3228334401893475e-09,0.001011351085738794,0.2757860631135142,0.2755005485185422,0.625820901161572,0.0,0.0
2019-05-27,0.0005524746693569749,0.00013435602483119512,3.0276336363151226e-07,1.3228334401893475e-09,0.001011351085738794,0.2757860631135142,0.2755005485185422,0.625820901161572,0.0,0.0
2019-05-28,0.0005524746693569749,0.00013435602483119512,3.0276336363151226e-07,1.3228334401893475e-09,0.001011351085738794,0.2757860631135142,0.2755005485185422,0.625820901161572,0.0,0.0
2019-05-29,0.0005524746693569749,0.00013435602483119512,3.0276336363151226e-07,1.3228334401893475e-09,0.001011351085738794,0.2757860631135142,0.2755005485185422,0.625820901161572,0.0,0.0
2019-05-30,0.0005524746693569749,0.00013435602483119512,3.0276336363151226e-07,1.3228334401893475e-09,0.001011351085738794,0.2757860631135142,0.2755005485185422,0.625820901161572,0.0,0.0
2019-05-31,0.000520747741114099,0.00017521879114449815,4.9098795618602e-05,1.9691719646625662e-05,2.8788270451661355e-12,0.34892560618719565,0.3488449433184727,0.41835228565701843,0.0015656374731216642,0.001277568068268764
2019-06-03,0.000520747741114099,0.00017521879114449815,4.9098795618602e-05,1.9691719646625662e-05,2.8788270451661355e-12,0.34892560618719565,0.3488449433184727,0.41835228565701843,0.0015656374731216642,0.001277568068268764
2019-06-04,0.000520747741114099,0.00017521879114449815,4.9098795618602e-05,1.9691719646625662e-05,2.8788270451661355e-12,0.34892560618719565,0.3488449433184727,0.41835228565701843,0.0015656374731216642,0.001277568068268764
2019-06-05,0.000520747741114099,0.00017521879114449815,4.9098795618602e-05,1.9691719646625662e-05,2.8788270451661355e-12,0.34892560618719565,0.3488449433184727,0.41835228565701843,0.0015656374731216642,0.001277568068268764
2019-06-06,0.000520747741114099,0.00017521879114449815,4.9098795618602e-05,1.9691719646625662e-05,2.8788270451661355e-12,0.34892560618719565,0.3488449433184727,0.41835228565701843,0.0015656374731216642,0.001277568068268764
2019-06-10,0.000520747741114099,0.00017521879114449815,4.9098795618602e-05,1.9691719646625662e-05,2.8788270451661355e-12,0.34892560618719565,0.3488449433184727,0.41835228565701843,0.0015656374731216642,0.001277568068268764
2019-06-11,0.000520747741114099,0.00017521879114449815,4.9098795618602e-05,1.9691719646625662e-05,2.8788270451661355e-12,0.34892560618719565,0.3488449433184727,0.41835228565701843,0.0015656374731216642,0.001277568068268764
2019-06-12,0.000520747741114099,0.00017521879114449815,4.9098795618602e-05,1.9691719646625662e-05,2.8788270451661355e-12,0.34892560618719565,0.3488449433184727,0.41835228565701843,0.0015656374731216642,0.001277568068268764
2019-06-13,0.000520747741114099,0.00017521879114449815,4.9098795618602e-05,1.9691719646625662e-05,2.8788270451661355e-12,0.34892560618719565,0.3488449433184727,0.41835228565701843,0.0015656374731216642,0.001277568068268764
2019-06-14,0.000520747741114099,0.00017521879114449815,4.9098795618602e-05,1.9691719646625662e-05,2.8788270451661355e-12,0.34892560618719565,0.3488449433184727,0.41835228565701843,0.0015656374731216642,0.001277568068268764
2019-06-17,0.000520747741114099,0.00017521879114449815,4.9098795618602e-05,1.9691719646625662e-05,2.8788270451661355e-12,0.34892560618719565,0.3488449433184727,0.41835228565701843,0.0015656374731216642,0.001277568068268764
2019-06-18,0.000520747741114099,0.00017521879114449815,4.9098795618602e-05,1.9691719646625662e-05,2.8788270451661355e-12,0.34892560618719565,0.3488449433184727,0.41835228565701843,0.0015656374731216642,0.001277568068268764
2019-06-19,0.000520747741114099,0.00017521879114449815,4.9098795618602e-05,1.9691719646625662e-05,2.8788270451661355e-12,0.34892560618719565,0.3488449433184727,0.41835228565701843,0.0015656374731216642,0.001277568068268764
