model,n_bootstrap,block_size,bootstrap_sharpe_mean,bootstrap_sharpe_p05,bootstrap_sharpe_p50,bootstrap_sharpe_p95,bootstrap_max_drawdown_mean,bootstrap_max_drawdown_p05,bootstrap_max_drawdown_p50,bootstrap_max_drawdown_p95,validation_role
Global Relaxed Risk Parity,200,21,0.5871551540525961,-0.04417160332372066,0.6042048956537575,1.2566728363187705,-0.06234105687801083,-0.10556205745176353,-0.05910734726927208,-0.03930851297183007,moving_block_bootstrap_validation_only
Defensive Dynamic Relaxed Risk Parity,200,21,0.6578439188418667,0.08160272194106105,0.6853165927887741,1.1769718900644375,-0.05865673928344366,-0.09318327240333628,-0.05517404050238339,-0.035540351399197284,moving_block_bootstrap_validation_only
Convex Adaptive Global RRP,200,21,0.9171913922218683,0.35558456354188245,0.8921763886848091,1.5094624300712123,-0.05481268424205364,-0.08477147745079854,-0.05207690278063404,-0.03466706800783568,moving_block_bootstrap_validation_only
Improved Convex Adaptive Global RRP,200,21,1.1356325798766311,0.5861228288886197,1.1227347119150877,1.7792011389172,-0.061374672869073915,-0.09427034926595224,-0.05793363864175938,-0.037024735411602464,moving_block_bootstrap_validation_only
