rebalance_date,可转债ETF,5年国债ETF,10年国债ETF,信用债ETF,日利ETF,沪深300ETF,中证500ETF,中证1000ETF,中证2000ETF,创业板ETF,红利ETF,半导体ETF,人工智能ETF,新能源ETF,科创50ETF,证券ETF,军工ETF,消费ETF,恒生ETF,白银LOF,纳指ETF,标普500ETF,日经225ETF,欧洲ETF,黄金ETF,有色金属期货ETF,能源化工期货ETF,豆粕ETF,煤炭ETF,原油ETF
2018-01-05,0.0,0.1378094697236943,0.0917678752722637,0.0,0.4928664907248619,0.0081308495149778,0.0061091981936452,0.0013997201443219,0.0,0.0045655413716166,0.0083726974242164,0.0,0.0,0.0,0.0,0.0085014472246158,0.0083818199574786,0.0175384968817213,0.0315057432848679,0.0410924080526541,0.0197853964103042,0.0198009574293718,0.0,0.0212505998036146,0.0575093881865419,0.0,0.0,0.0,0.0,0.0236119003992313
2018-01-12,0.0,0.1375491330728816,0.0912143659283659,0.0,0.4918368208082766,0.008270180456665,0.0061155567748476,0.0014005764482414,0.0,0.0045789928209047,0.0085032033942913,0.0,0.0,0.0,0.0,0.0085643302333174,0.0082692334665463,0.0182097667582888,0.0318586504221436,0.0409714447957066,0.0201010439891348,0.0199951710614511,0.0,0.0212671787389753,0.0577242595063796,0.0,0.0,0.0,0.0,0.0235700913235816
2018-01-19,0.0,0.1370559142107,0.0909804602267797,0.0,0.4911043419120507,0.0083940962588142,0.0059616518014974,0.0013542991016593,0.0,0.0043945215787994,0.0086536187654323,0.0,0.0,0.0,0.0,0.0089260659079227,0.0078320074216642,0.0184378262055674,0.0325084903772508,0.0406426217929383,0.0203516433757158,0.0202410474323031,0.0,0.0214016270184309,0.0581265054308272,0.0,0.0,0.0,0.0,0.0236332611816458
2018-01-26,0.0,0.1370945364448449,0.0907027660707573,0.0,0.4894295295753484,0.0085249798883445,0.0060398272463369,0.0013750998318249,0.0,0.0045685893747054,0.0088359643550104,0.0,0.0,0.0,0.0,0.0092670483380518,0.0081195092326233,0.0181371000843002,0.0325842111057295,0.0410460893151598,0.0203355688844894,0.0201917199119794,0.0,0.0215807481621959,0.0584060318942638,0.0,0.0,0.0,0.0,0.0237606802840334
2018-02-02,0.0,0.1380406438341108,0.0915020708902039,0.0,0.4937082027493873,0.0083468255690437,0.0057055260619137,0.0012782912223789,0.0,0.0043188954974083,0.0088099493966063,0.0,0.0,0.0,0.0,0.0087797082773073,0.007513281107102,0.0176601931043944,0.0326457187605497,0.0403795371863567,0.0203429688896894,0.02016938297558,0.0,0.0211408018336138,0.0576682696967983,0.0,0.0,0.0,0.0,0.0219897329475545
2018-02-09,0.0,0.1401168767463717,0.0930899143529387,0.0,0.500409893728962,0.0080024327786042,0.0055631883775691,0.0012396897758284,0.0,0.0042268630013979,0.0085738569340212,0.0,0.0,0.0,0.0,0.0083533216311167,0.0072475937328461,0.0163409755174359,0.0308150708221545,0.0398475417912101,0.0190232800729489,0.0191190018885882,0.0,0.0200874840016065,0.0573952862423583,0.0,0.0,0.0,0.0,0.0205477286040407
2018-02-14,0.0,0.168380936273032,0.0929991806981867,0.0,0.4731011140487954,0.0078340195944565,0.0055281600258913,0.0012392367588944,0.0,0.0042498864096785,0.0083740507600019,0.0,0.0,0.0,0.0,0.0077883207431172,0.0071854834308157,0.0167461414882493,0.0302315606754699,0.0399796300560338,0.0191585696351209,0.0190263765412834,0.0,0.0199335845620533,0.0579737820168091,0.0,0.0,0.0,0.0,0.0202699662821102
2018-02-23,0.0,0.1921157353852014,0.0929784763757581,0.0,0.4471907917297555,0.0080394966186708,0.0056424695996285,0.0012568669397649,0.0,0.0042977993650417,0.0085301423290054,0.0,0.0,0.0,0.0,0.0078139751770013,0.0072594828600634,0.0174127265320188,0.0313859340422728,0.0393547539990788,0.0196311438321373,0.0192290461207045,0.0,0.0200109368235199,0.057688604433691,0.0,0.0,0.0,0.0,0.0201616178366851
2018-03-02,0.0,0.194431929801565,0.0914397746823929,0.0,0.446129045479036,0.0080203851141579,0.0058397913647413,0.0013134140646811,0.0,0.0045745522837519,0.008393480922285,0.0,0.0,0.0,0.0,0.0079291917786351,0.0077980855837402,0.016964614508204,0.0310136674567176,0.0391835568000793,0.0201634201353014,0.0194730067744958,0.0,0.0199667767088712,0.0571898062994191,0.0,0.0,0.0,0.0,0.0201755002419244
2018-03-09,0.0,0.1943151514077104,0.0910329172076061,0.0,0.4459283309454172,0.0080738038327978,0.005872607741276,0.0013252113949519,0.0,0.0045662022512227,0.0084765836204001,0.0,0.0,0.0,0.0,0.0079368403179923,0.0078376410404601,0.0167470117603003,0.030818797835517,0.0393777373998519,0.020336098404537,0.0194125642422088,0.0,0.0197967252080749,0.0576503620400035,0.0,0.0,0.0,0.0,0.0204954133496713
