model,available_factors,n_obs,alpha_daily,alpha_annualized,alpha_tstat,r_squared,residual_volatility,beta_equity,tstat_equity,beta_bond,tstat_bond,beta_commodity_gold,tstat_commodity_gold,beta_defensive,tstat_defensive,beta_global_risk,tstat_global_risk,tracking_error_vs_global_rrp,avg_exposure_equity,avg_exposure_bond,avg_exposure_commodity_gold,avg_exposure_defensive,exposure_herfindahl,max_asset_class_exposure
Global Relaxed Risk Parity,equity;bond;commodity_gold;defensive;global_risk,4703,1.4725117523691905e-05,0.0035782035582571326,0.5544235365103438,0.540076927773954,0.026365407095276797,-18.841301927884874,-8.179318513574623,-4.577517606063271,-8.406269027456515,-7.7671883613514785,-8.186758274978327,-1.0818618584603303,-7.982694037729976,33.65717875273848,8.27792899594088,0.0,0.1485598581531144,0.08997750256116026,0.04970620670066708,0.02623544079164612,0.03332498775971848,0.1485598581531144
Improved Convex Adaptive Global RRP,equity;bond;commodity_gold;defensive;global_risk,2101,7.691729832179185e-05,0.01869090349219542,3.4304133581058345,0.7572457322321416,0.014195678608634233,-11.090914682182298,-5.158787062017446,-2.4938032530465013,-4.913236012608775,-4.492123224737976,-5.072792891444828,-0.626299614962063,-4.954639387007783,19.740371285622757,5.201911407183484,0.026602910576779326,0.13139095518693483,0.3924176999949179,0.13857404215964517,0.03761730251733263,0.19187306098338014,0.3924176999949179
Convex Adaptive Global RRP,equity;bond;commodity_gold;defensive;global_risk,4703,8.108614381946696e-05,0.01970393294813047,0.8735391208919389,0.663051087221763,0.09214709716481825,-11.889903506543494,-1.4768533226096057,-3.869013885492364,-2.0329484797015693,-5.34210359172067,-1.6110657257549956,-0.5085310899630571,-1.0736136052339422,22.937767340444395,1.6141651026854562,0.1324575395632325,0.372315543270253,0.0,0.0,0.372315543270253,0.2772377275212473,0.372315543270253
Defensive Dynamic Relaxed Risk Parity,equity;bond;commodity_gold;defensive;global_risk,3400,-6.786066968268904e-06,-0.0016490142732893437,-0.20285382569272323,0.6218384966848893,0.0274123689788763,-20.83875025415077,-8.316661443132253,-4.944386699453134,-8.352925834715267,-8.568259289511952,-8.3026014542102,-1.155502517261116,-7.837896336414895,37.12754893403743,8.394843619481698,0.01752583626321105,0.20765251550361988,0.1729640959501537,0.07970196937817835,0.03701450987145993,0.08075862354661956,0.20765251550361988
