model,raw_sharpe,adjusted_sharpe_conservative,diagnostic_note
Global RRP,0.6051033998730827,0.4873623976215352,Conservative multiple-testing adjustment; not full Deflated Sharpe Ratio.
Defensive Dynamic RRP,0.781976170254522,0.6642351680029746,Conservative multiple-testing adjustment; not full Deflated Sharpe Ratio.
Defensive Dynamic RRP before overlay optimization,0.640037040863079,0.5222960386115315,Conservative multiple-testing adjustment; not full Deflated Sharpe Ratio.
Defensive Dynamic RRP overlay diagnostics,,,Turnover cap bound on 67.1% of rows; simplified diagnostic.
