model,crisis_prior,prior_weight,net_annual_return,annualized_volatility,sharpe_ratio,max_drawdown,calmar_ratio,avg_monthly_turnover,cvar_95_daily_loss,covid_2020Q1_max_drawdown,selloff_2022_max_drawdown
Convex Adaptive Global RRP,0.4,0.5,0.09302452465699118,0.17307930596046706,0.4812316784531059,-0.28870716566057175,0.322210653982723,0.0,0.0244234362060569,-0.15668281754980096,-0.17001134499690407
Convex Adaptive Global RRP,0.5,0.5,0.09302452465699118,0.17307930596046706,0.4812316784531059,-0.28870716566057175,0.322210653982723,0.0,0.0244234362060569,-0.15668281754980096,-0.17001134499690407
Convex Adaptive Global RRP,0.5,0.75,0.09302452465699118,0.17307930596046706,0.4812316784531059,-0.28870716566057175,0.322210653982723,0.0,0.0244234362060569,-0.15668281754980096,-0.17001134499690407
Convex Adaptive Global RRP,0.6,0.75,0.09302452465699118,0.17307930596046706,0.4812316784531059,-0.28870716566057175,0.322210653982723,0.0,0.0244234362060569,-0.15668281754980096,-0.17001134499690407
Convex Adaptive Global RRP,0.67,1.0,0.09302452465699118,0.17307930596046706,0.4812316784531059,-0.28870716566057175,0.322210653982723,0.0,0.0244234362060569,-0.15668281754980096,-0.17001134499690407
Improved Convex Adaptive Global RRP,0.4,0.5,0.056962362062098704,0.02915752368707387,1.2063599140270342,-0.03641381111367448,1.5643065177736266,0.01832576061825602,0.0040603828521232795,-0.036413811113674366,-0.014477550036156805
Improved Convex Adaptive Global RRP,0.5,0.5,0.05655190089052531,0.028781893783532526,1.208221386351743,-0.036310549782011314,1.5574509675571424,0.018044731249470782,0.004010601060428163,-0.036310549782011536,-0.01520141787900997
Improved Convex Adaptive Global RRP,0.5,0.75,0.056155419703599385,0.02849922546368761,1.2067420353570422,-0.036317350938163906,1.5462421749651554,0.01815980656378117,0.003971364552704512,-0.03631735093816357,-0.015412325409922656
Improved Convex Adaptive Global RRP,0.6,0.75,0.055770465132892744,0.028055674776492633,1.2123700873085494,-0.035972620670799205,1.550358692052827,0.018636547093152083,0.003900857133215704,-0.03597262067079898,-0.01592341800213415
Improved Convex Adaptive Global RRP,0.67,1.0,0.05489023521580827,0.027508427268982272,1.205594259715001,-0.03662157291879242,1.4988497445897866,0.020339014805010377,0.0038285577647631324,-0.0366215729187922,-0.016626153273354483
