model,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,avg_monthly_turnover,avg_gross_notional,target_vol,transaction_cost_bps,total_return
Scenario 0: ETF Baseline (Improved Convex),0.059802095625774765,0.02908796562880538,1.4302167486259962,2.164657857168623,-0.04025207919093543,1.4856896048053563,0.020923407139791662,1.0,,3.0,0.5516536673048213
Scenario 1: Classic All Weather Futures Benchmark (1.0x),0.039907768179973324,0.020974758889995695,1.0349472093491978,1.4298658202359629,-0.015782098544776635,2.5286731081261373,0.0036129602749152626,1.0,,5.0,0.3444516859441986
Scenario 2: Vol-Targeted All Weather Futures (8% target),0.09803462626880499,0.07697241663780512,1.0371848742188783,1.483500727747885,-0.07209955400338164,1.3597119652668994,0.01361806461106694,3.7125253149421136,0.08,5.0,1.0286681113842144
Scenario 3: Vol-Targeted All Weather Futures (10% target),0.10043043416563613,0.0808091160988456,1.0175885857364406,1.407136366547645,-0.07209955400338164,1.3929411291632359,0.014106265961320166,3.873615376611826,0.1,5.0,1.062388884569211
