window,model,start_date,end_date,observations,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,calmar_ratio,cvar_95_daily_loss,avg_monthly_turnover,annualized_turnover,transaction_cost_bps
full_available_sample,Global Relaxed Risk Parity,2007-01-19,2026-07-31,4684,0.04300587732242156,0.038668100418859694,0.4872030084937644,-0.06316470180004008,0.6808530096218117,0.006221636558890702,0.18166169811585628,2.185995342864416,0
full_available_sample,Defensive Dynamic Relaxed Risk Parity,2012-03-30,2026-07-31,3380,0.06718426957639467,0.04966893209062623,0.8518739250064618,-0.07020509769516126,0.9569713850141855,0.007363504282406215,0.24650284696478703,2.974805867021143,0
full_available_sample,Convex Adaptive Global RRP,2007-01-19,2026-07-31,4684,0.11617068018077092,0.1584091294386698,0.6215479627512445,-0.2887071656605741,0.4023823929515831,0.02360684907420555,0.00425531914893617,0.05120566381606617,0
full_available_sample,Improved Convex Adaptive Global RRP,2018-01-02,2026-07-31,2081,0.056026514502375946,0.02877266606186548,1.1882198366159284,-0.03806988059634875,1.471675603515011,0.004048853532814302,0.019608764097974827,0.2355352528540506,0
full_available_sample,Global Relaxed Risk Parity,2007-01-19,2026-07-31,4684,0.041902920082380835,0.03865297300053265,0.4599954199812156,-0.06328347015412306,0.662146370613508,0.006225359963146021,0.18161030372569106,2.1853768971561807,5
full_available_sample,Defensive Dynamic Relaxed Risk Parity,2012-03-30,2026-07-31,3380,0.0658617874971279,0.0495110113314065,0.8293739990908525,-0.06658146739327886,0.9891909877578996,0.007320818635572422,0.24628223934498752,2.972143565754566,5
full_available_sample,Convex Adaptive Global RRP,2007-01-19,2026-07-31,4684,0.11614172018658686,0.15840925503596162,0.6213836859111969,-0.2887071656605723,0.40228208371915697,0.02360684907420555,0.00425531914893617,0.05120566381606617,5
full_available_sample,Improved Convex Adaptive Global RRP,2018-01-02,2026-07-31,2081,0.05590201233226311,0.028772963440097016,1.184107254432046,-0.03808081913660377,1.467983452029512,0.004049886669412006,0.019608764097974827,0.2355352528540506,5
full_available_sample,Global Relaxed Risk Parity,2007-01-19,2026-07-31,4684,0.040735447946201875,0.03865004041990007,0.43100885618432533,-0.06340223850820592,0.6424922669083621,0.006229378782602062,0.18162120601316945,2.18550808799003,10
full_available_sample,Defensive Dynamic Relaxed Risk Parity,2012-03-30,2026-07-31,3380,0.06415610442218611,0.049388652657516234,0.7988605472861122,-0.06704808408561247,0.9568670797552747,0.00732646077966534,0.2474351039336032,2.9860563800864215,10
full_available_sample,Convex Adaptive Global RRP,2007-01-19,2026-07-31,4684,0.11611274645330805,0.1584094625250854,0.6212190881841927,-0.2887071656605742,0.4021817268983857,0.02360684907420555,0.00425531914893617,0.05120566381606617,10
full_available_sample,Improved Convex Adaptive Global RRP,2018-01-02,2026-07-31,2081,0.05577752132247382,0.02877337482835532,1.1799900817112408,-0.03809175767685835,1.4642937140272736,0.00405091980600971,0.019608764097974827,0.2355352528540506,10
full_available_sample,Global Relaxed Risk Parity,2007-01-19,2026-07-31,4684,0.038487427742708524,0.03859659287143594,0.37550689720557534,-0.06363977521637232,0.6047700139080164,0.0062298731078045365,0.18118888889897453,2.1803058730593516,20
full_available_sample,Defensive Dynamic Relaxed Risk Parity,2012-03-30,2026-07-31,3380,0.0607027041442616,0.049333222613788336,0.733778865899094,-0.06798079260950152,0.8929390466650329,0.007337750007042367,0.24804910213797765,2.9934661341042905,20
full_available_sample,Convex Adaptive Global RRP,2007-01-19,2026-07-31,4684,0.1160547577158515,0.1584101231774159,0.6208889311019886,-0.2887071656605713,0.4019808703061265,0.02360684907420555,0.00425531914893617,0.05120566381606617,20
full_available_sample,Improved Convex Adaptive Global RRP,2018-01-02,2026-07-31,2081,0.055528572780449315,0.028774539614037066,1.1717421621632358,-0.0381136347573684,1.4569214700708686,0.004052986079205119,0.019608764097974827,0.2355352528540506,20
full_available_sample,Global Relaxed Risk Parity,2007-01-19,2026-07-31,4684,0.030155786217552993,0.038041617763663924,0.16860499334192622,-0.06435238534087118,0.4686040161187405,0.006183764069024764,0.18310239904466388,2.20333177400812,50
full_available_sample,Defensive Dynamic Relaxed Risk Parity,2012-03-30,2026-07-31,3380,0.04852795290188716,0.04872927397628973,0.5052362250167145,-0.0707747219146947,0.6856678710850785,0.007326744904034457,0.24858905525949862,2.9999823092056936,50
full_available_sample,Convex Adaptive Global RRP,2007-01-19,2026-07-31,4684,0.11588046036759647,0.15841407047875428,0.6198907856853862,-0.2887071656605731,0.4013771535682446,0.02360684907420555,0.00425531914893617,0.05120566381606617,50
full_available_sample,Improved Convex Adaptive Global RRP,2018-01-02,2026-07-31,2081,0.05478199491333635,0.028780769424185424,1.1468933932745669,-0.03817926599889698,1.4348624437913247,0.004061900956853338,0.019608764097974827,0.2355352528540506,50
