frequency_code,frequency_label,rebalance_count,solver_fallback_rate,model,gross_annual_return,net_annual_return,transaction_cost_drag,annualized_volatility,sharpe_ratio,turnover_adjusted_sharpe,sortino_ratio,max_drawdown,calmar_ratio,total_return,avg_monthly_turnover,annualized_turnover,cvar_95_daily_loss
W,Weekly,444,0.0,Global RRP,0.10979780649284532,0.10593279074595219,0.00386501574689313,0.0761654684742864,1.3608672632108751,1.3908243836472336,2.102337715142944,-0.07161968374798866,1.479101626847482,1.3892552864917134,0.9676111561847501,11.620511343292417,0.011053871309880309
2W,Biweekly,222,0.0,Global RRP,0.09396482556016883,0.09141473037603731,0.002550095184131518,0.07594988059245036,1.1904313201331058,1.2036191454542484,1.7658994412227578,-0.06891863177960356,1.3264153395902365,1.1311777914208294,0.6476403870176507,7.777827297266038,0.011635141983959317
M,Monthly,104,0.0,Global RRP,0.09484993961349986,0.09327307422762998,0.0015768653858698745,0.07575936109843817,1.2157343867242694,1.2311755653065146,1.7802524763030276,-0.07455167074974378,1.251119837954142,1.1627723574265678,0.40014523561254833,4.805538071444281,0.011768996376643396
Q,Quarterly,35,0.0,Global RRP,0.07095158331716278,0.07027341219309613,0.000678171124066651,0.07685448428944296,0.9226428569901349,0.9143697058513627,1.3288017458776022,-0.13015165064267953,0.5399348517371163,0.7994324252779665,0.17637923735702674,2.1182237465203975,0.012040483143724289
