date,selected_candidate_id,portfolio_return,gross_return,net_return,transaction_cost,turnover,is_rebalance_day,is_candidate_switch_day,nav_gross,nav_net,weight_可转债ETF,weight_5年国债ETF,weight_10年国债ETF,weight_信用债ETF,weight_日利ETF,weight_沪深300ETF,weight_中证500ETF,weight_中证1000ETF,weight_中证2000ETF,weight_创业板ETF,weight_红利ETF,weight_半导体ETF,weight_人工智能ETF,weight_新能源ETF,weight_科创50ETF,weight_证券ETF,weight_军工ETF,weight_消费ETF,weight_恒生ETF,weight_白银LOF,weight_纳指ETF,weight_标普500ETF,weight_日经225ETF,weight_欧洲ETF,weight_黄金ETF,weight_有色金属期货ETF,weight_能源化工期货ETF,weight_豆粕ETF,weight_煤炭ETF,weight_原油ETF
2018-01-02,candidate_03,0.00361428918513389,0.00361428918513389,0.00361428918513389,0.0,0.0,False,True,1.0036142891851338,1.0036142891851338,0.0,0.15607649628509437,0.03417801073606076,0.0,0.30000000002491234,0.026930541443332852,0.004123409785690517,0.006754016129151605,0.0,0.028003553149605787,0.052285339452540956,0.0,0.0,0.0,0.0,0.02264163551661317,0.00022901763404756785,0.042714102003622315,0.03251625213223378,0.032528001523493125,0.05545239308979191,0.0674121333706087,0.0,0.04432944164575868,0.06899697997184961,0.0,0.0,0.0,0.0,0.024828676105592015
2018-01-03,candidate_03,0.0031071003749420373,0.0031071003749420373,0.0031071003749420373,0.0,0.0,False,False,1.0067326195193582,1.0067326195193582,0.0,0.15607649628509437,0.03417801073606076,0.0,0.30000000002491234,0.026930541443332852,0.004123409785690517,0.006754016129151605,0.0,0.028003553149605787,0.052285339452540956,0.0,0.0,0.0,0.0,0.02264163551661317,0.00022901763404756785,0.042714102003622315,0.03251625213223378,0.032528001523493125,0.05545239308979191,0.0674121333706087,0.0,0.04432944164575868,0.06899697997184961,0.0,0.0,0.0,0.0,0.024828676105592015
2018-01-04,candidate_03,0.002230041385405838,0.002230041385405838,0.002230041385405838,0.0,0.0,False,False,1.0089776749249246,1.0089776749249246,0.0,0.15607649628509437,0.03417801073606076,0.0,0.30000000002491234,0.026930541443332852,0.004123409785690517,0.006754016129151605,0.0,0.028003553149605787,0.052285339452540956,0.0,0.0,0.0,0.0,0.02264163551661317,0.00022901763404756785,0.042714102003622315,0.03251625213223378,0.032528001523493125,0.05545239308979191,0.0674121333706087,0.0,0.04432944164575868,0.06899697997184961,0.0,0.0,0.0,0.0,0.024828676105592015
2018-01-05,candidate_03,0.0009677494005428738,0.0009677494005428738,0.0009677494005428738,0.0,0.0,False,False,1.0099541124649944,1.0099541124649944,0.0,0.15607649628509437,0.03417801073606076,0.0,0.30000000002491234,0.026930541443332852,0.004123409785690517,0.006754016129151605,0.0,0.028003553149605787,0.052285339452540956,0.0,0.0,0.0,0.0,0.02264163551661317,0.00022901763404756785,0.042714102003622315,0.03251625213223378,0.032528001523493125,0.05545239308979191,0.0674121333706087,0.0,0.04432944164575868,0.06899697997184961,0.0,0.0,0.0,0.0,0.024828676105592015
2018-01-08,candidate_03,0.003165229117794167,0.003165229117794167,0.003165229117794167,0.0,0.0,False,False,1.0131508486294045,1.0131508486294045,0.0,0.15607649628509437,0.03417801073606076,0.0,0.30000000002491234,0.026930541443332852,0.004123409785690517,0.006754016129151605,0.0,0.028003553149605787,0.052285339452540956,0.0,0.0,0.0,0.0,0.02264163551661317,0.00022901763404756785,0.042714102003622315,0.03251625213223378,0.032528001523493125,0.05545239308979191,0.0674121333706087,0.0,0.04432944164575868,0.06899697997184961,0.0,0.0,0.0,0.0,0.024828676105592015
2018-01-09,candidate_03,0.0017481584489265982,0.0017481584489265982,0.0017481584489265982,0.0,0.0,False,False,1.014921996845473,1.014921996845473,0.0,0.15607649628509437,0.03417801073606076,0.0,0.30000000002491234,0.026930541443332852,0.004123409785690517,0.006754016129151605,0.0,0.028003553149605787,0.052285339452540956,0.0,0.0,0.0,0.0,0.02264163551661317,0.00022901763404756785,0.042714102003622315,0.03251625213223378,0.032528001523493125,0.05545239308979191,0.0674121333706087,0.0,0.04432944164575868,0.06899697997184961,0.0,0.0,0.0,0.0,0.024828676105592015
2018-01-10,candidate_03,0.0008936136624777703,0.0008936136624777703,0.0008936136624777703,0.0,0.0,False,False,1.0158289450082034,1.0158289450082034,0.0,0.15607649628509437,0.03417801073606076,0.0,0.30000000002491234,0.026930541443332852,0.004123409785690517,0.006754016129151605,0.0,0.028003553149605787,0.052285339452540956,0.0,0.0,0.0,0.0,0.02264163551661317,0.00022901763404756785,0.042714102003622315,0.03251625213223378,0.032528001523493125,0.05545239308979191,0.0674121333706087,0.0,0.04432944164575868,0.06899697997184961,0.0,0.0,0.0,0.0,0.024828676105592015
2018-01-11,candidate_03,-0.0009068469667111688,-0.0009068469667111688,-0.0009068469667111688,0.0,0.0,False,False,1.0149077436107252,1.0149077436107252,0.0,0.15607649628509437,0.03417801073606076,0.0,0.30000000002491234,0.026930541443332852,0.004123409785690517,0.006754016129151605,0.0,0.028003553149605787,0.052285339452540956,0.0,0.0,0.0,0.0,0.02264163551661317,0.00022901763404756785,0.042714102003622315,0.03251625213223378,0.032528001523493125,0.05545239308979191,0.0674121333706087,0.0,0.04432944164575868,0.06899697997184961,0.0,0.0,0.0,0.0,0.024828676105592015
2018-01-12,candidate_03,0.003160023361944123,0.003160023361944123,0.003160023361944123,0.0,0.0,False,False,1.0181148757907532,1.0181148757907532,0.0,0.15607649628509437,0.03417801073606076,0.0,0.30000000002491234,0.026930541443332852,0.004123409785690517,0.006754016129151605,0.0,0.028003553149605787,0.052285339452540956,0.0,0.0,0.0,0.0,0.02264163551661317,0.00022901763404756785,0.042714102003622315,0.03251625213223378,0.032528001523493125,0.05545239308979191,0.0674121333706087,0.0,0.04432944164575868,0.06899697997184961,0.0,0.0,0.0,0.0,0.024828676105592015
2018-01-15,candidate_03,-0.0005721372436020872,-0.0005721372436020872,-0.0005721372436020872,0.0,0.0,False,False,1.0175323743520481,1.0175323743520481,0.0,0.15607649628509437,0.03417801073606076,0.0,0.30000000002491234,0.026930541443332852,0.004123409785690517,0.006754016129151605,0.0,0.028003553149605787,0.052285339452540956,0.0,0.0,0.0,0.0,0.02264163551661317,0.00022901763404756785,0.042714102003622315,0.03251625213223378,0.032528001523493125,0.05545239308979191,0.0674121333706087,0.0,0.04432944164575868,0.06899697997184961,0.0,0.0,0.0,0.0,0.024828676105592015
