asset,eligible_weeks,held_eligible_weeks,max_eligible_weight,ever_used
可转债ETF,316,186,0.007723278659487479,True
5年国债ETF,444,444,0.22200778617691427,True
10年国债ETF,444,444,0.14582051386192701,True
信用债ETF,369,367,0.17132413050108133,True
日利ETF,444,444,0.9345616703784542,True
沪深300ETF,444,146,0.019053898878706402,True
中证500ETF,444,124,0.005804840084809013,True
中证1000ETF,444,131,0.007507816119814904,True
中证2000ETF,140,61,0.009506046563402381,True
创业板ETF,444,190,0.009630847786754965,True
红利ETF,444,256,0.030598907774801107,True
半导体ETF,359,219,0.015417696434363776,True
人工智能ETF,292,135,0.05643194408826813,True
新能源ETF,272,100,0.00936363057715419,True
科创50ETF,285,98,0.00763442634979081,True
证券ETF,444,141,0.027948749627208103,True
军工ETF,444,121,0.006849194088331941,True
消费ETF,444,189,0.040429451289170554,True
恒生ETF,444,163,0.024177161508656796,True
白银LOF,444,269,0.0338706524299539,True
纳指ETF,444,365,0.033299977014358315,True
标普500ETF,444,319,0.03066565031672513,True
日经225ETF,357,224,0.01707755032111967,True
欧洲ETF,444,278,0.04302929088132313,True
黄金ETF,444,413,0.059761965965557495,True
有色金属期货ETF,331,175,0.009471661285337584,True
能源化工期货ETF,327,155,0.011519428417220524,True
豆粕ETF,333,278,0.06167456452866644,True
煤炭ETF,321,213,0.016303111856873193,True
原油ETF,444,218,0.030153152944930598,True
