date,weight_可转债ETF,weight_5年国债ETF,weight_10年国债ETF,weight_信用债ETF,weight_日利ETF,weight_沪深300ETF,weight_中证500ETF,weight_中证1000ETF,weight_中证2000ETF,weight_创业板ETF,weight_红利ETF,weight_半导体ETF,weight_人工智能ETF,weight_新能源ETF,weight_科创50ETF,weight_证券ETF,weight_军工ETF,weight_消费ETF,weight_恒生ETF,weight_白银LOF,weight_纳指ETF,weight_标普500ETF,weight_日经225ETF,weight_欧洲ETF,weight_黄金ETF,weight_有色金属期货ETF,weight_能源化工期货ETF,weight_豆粕ETF,weight_煤炭ETF,weight_原油ETF
2018-01-02,0.0,0.0894987996358735,0.04422487742256667,0.0,0.29987927531177283,0.037952854068829575,0.03797274053874774,0.00844407031128162,0.0,0.030420918127213623,0.04029514848569287,0.0,0.0,0.0,0.0,0.009802474548850238,0.010432085743945467,0.0438308398268053,0.055273622156958246,0.033490267734192884,0.05292819724166564,0.05161080626043587,0.0,0.047612590808450206,0.058698606754624114,0.0,0.0,0.0,0.0,0.047631825022093593
2018-01-03,0.0,0.08923559060733573,0.044078569245712594,0.0,0.2987567765257125,0.03835129148451616,0.0383197801403283,0.008501004484323456,0.0,0.030681312916943006,0.040709606831395066,0.0,0.0,0.0,0.0,0.009894848458311185,0.01047504614610984,0.0439666585768051,0.0559866436581594,0.03350823558175245,0.053126288449651775,0.05117588272931386,0.0,0.04733273309166392,0.05877815808724989,0.0,0.0,0.0,0.0,0.0471215729847157
2018-01-04,0.0,0.08895824989755133,0.043906036589253614,0.0,0.2977561946259806,0.03842002403239993,0.038431256982352474,0.008542538090097132,0.0,0.031014375134008867,0.04076014445993437,0.0,0.0,0.0,0.0,0.010013241994224252,0.010536655002643584,0.044260046532017816,0.05592944000937704,0.03342986943046574,0.05297780068356957,0.0512470924570585,0.0,0.047451793531216584,0.058787047214624764,0.0,0.0,0.0,0.0,0.04757819333322386
2018-01-05,0.0,0.09177848711937467,0.045736905258872695,0.0,0.2999999997076333,0.03624144278055339,0.0358536041761081,0.008518379873675371,0.0,0.0309999070110349,0.04042400715699839,0.0,0.0,0.0,0.0,0.009974746407524143,0.01049459748641488,0.042245416091561634,0.056083619484463616,0.03325717051001762,0.053205836333713986,0.05119592783678172,0.0,0.04768314404917944,0.05832050966779887,0.0,0.0,0.0,0.0,0.047986299048293296
2018-01-08,0.0,0.09171999856823441,0.045665359446008615,0.0,0.2998887982752202,0.036354295077691355,0.03589154457012956,0.008522410002518393,0.0,0.03103249964507678,0.040803602760265414,0.0,0.0,0.0,0.0,0.00999808405408752,0.010425792083110013,0.042267402847955986,0.055904554796400954,0.0332722989841753,0.05286547433163268,0.051190332747414545,0.0,0.047851776960818306,0.05847146123505929,0.0,0.0,0.0,0.0,0.04787431361420082
2018-01-09,0.0,0.09152063349310047,0.0454972034035235,0.0,0.29911570082575883,0.036401633135350726,0.035957141867215096,0.008509129691419688,0.0,0.03103849241663287,0.040971711245984914,0.0,0.0,0.0,0.0,0.010183624390093385,0.010384935879527544,0.04267361934526411,0.055923915356157844,0.03321984795260573,0.053360432602001164,0.05145462720003816,0.0,0.04792270911133881,0.05835359573233454,0.0,0.0,0.0,0.0,0.047511046351652736
2018-01-10,0.0,0.09132589034967954,0.04545562688278523,0.0,0.2981514814619729,0.03661093731582869,0.03584205536827037,0.00847929123696975,0.0,0.030930106720147166,0.04086399447817483,0.0,0.0,0.0,0.0,0.01007905308509979,0.010360853998083962,0.04354740055282885,0.056277298966924,0.03314281363585606,0.05349968381034269,0.051335307808341404,0.0,0.0478115799707584,0.05834623041369305,0.0,0.0,0.0,0.0,0.04794039394424343
2018-01-11,0.0,0.0912386633734807,0.04535998351249101,0.0,0.29790923657134627,0.036733997612213534,0.03563093312866908,0.00843142042387935,0.0,0.03072093064282094,0.040954895160321324,0.0,0.0,0.0,0.0,0.010039829125042874,0.010229928370309876,0.04390814623305621,0.05664134093023235,0.032880652899746406,0.05379031592833561,0.05144525384581012,0.0,0.04780974442883981,0.05814560906188123,0.0,0.0,0.0,0.0,0.04812911875152342
2018-01-12,0.0,0.09124831726437577,0.04528397638925478,0.0,0.29999999959323487,0.03670373068498247,0.03575082262350558,0.00849039180376336,0.0,0.030970138430703235,0.04074756833761202,0.0,0.0,0.0,0.0,0.010009388551775526,0.010313304837040151,0.04206347844636253,0.05649094293555505,0.03303011934571525,0.053841478806065934,0.05149669913208317,0.0,0.0475344754514829,0.0583104097088438,0.0,0.0,0.0,0.0,0.04771475765764349
2018-01-15,0.0,0.09106407194464564,0.04515898558133496,0.0,0.2992306103592003,0.03679561245239847,0.035468244420739356,0.008425517539961338,0.0,0.03059007923136685,0.040730700918442185,0.0,0.0,0.0,0.0,0.009950159336600602,0.010161916751149965,0.042475451418910994,0.05653398139684298,0.03301206379017485,0.05383558307341004,0.05190552151024987,0.0,0.04747750757236003,0.05899237800823375,0.0,0.0,0.0,0.0,0.04819161469397782
