asset,eligible_weeks,held_eligible_weeks,max_eligible_weight,ever_used
可转债ETF,316,80,0.05519908403761599,True
5年国债ETF,444,397,0.2696771955980317,True
10年国债ETF,444,386,0.16392881532135786,True
信用债ETF,369,336,0.21339262326222666,True
日利ETF,444,444,0.9973917345022248,True
沪深300ETF,444,50,0.007902510902357027,True
中证500ETF,444,14,0.007549081571714834,True
中证1000ETF,444,25,0.004093129788526191,True
中证2000ETF,140,22,0.0036818835809725764,True
创业板ETF,444,71,0.008208370018191491,True
红利ETF,444,127,0.050447145587344526,True
半导体ETF,359,150,0.004479177361802339,True
人工智能ETF,292,64,0.008973915689359657,True
新能源ETF,272,48,0.005665775596562266,True
科创50ETF,285,84,0.007704893823288186,True
证券ETF,444,146,0.015496708140035231,True
军工ETF,444,81,0.004503074339774749,True
消费ETF,444,228,0.021125336319930257,True
恒生ETF,444,158,0.015877506949715035,True
白银LOF,444,117,0.029064724464018643,True
纳指ETF,444,130,0.03904061956230513,True
标普500ETF,444,116,0.05473399380165784,True
日经225ETF,357,86,0.03032158730281187,True
欧洲ETF,444,204,0.036363093620365224,True
黄金ETF,444,239,0.10406818090775634,True
有色金属期货ETF,331,121,0.017275255785673925,True
能源化工期货ETF,327,132,0.028821932944485505,True
豆粕ETF,333,157,0.013492164598337257,True
煤炭ETF,321,106,0.005444330873023893,True
原油ETF,444,58,0.028080738977319213,True
