date,portfolio_return,net_return,gross_return,transaction_cost,is_rebalance_day,turnover,target_vol_scalar,drawdown_scalar,trend_scalar,final_risk_scalar,turnover_cap_bound,gross_exposure,risky_exposure,defensive_cash_proxy_exposure,reentry_state,trend_positive_count,ema_deviation_min,ema_deviation_max,ema_strong_trend_count,ema_overextended_count,ema_stop_count,ema_insufficient_history,weight_可转债ETF,previous_weight_可转债ETF,weight_5年国债ETF,previous_weight_5年国债ETF,weight_10年国债ETF,previous_weight_10年国债ETF,weight_信用债ETF,previous_weight_信用债ETF,weight_日利ETF,previous_weight_日利ETF,weight_沪深300ETF,previous_weight_沪深300ETF,weight_中证500ETF,previous_weight_中证500ETF,weight_中证1000ETF,previous_weight_中证1000ETF,weight_中证2000ETF,previous_weight_中证2000ETF,weight_创业板ETF,previous_weight_创业板ETF,weight_红利ETF,previous_weight_红利ETF,weight_半导体ETF,previous_weight_半导体ETF,weight_人工智能ETF,previous_weight_人工智能ETF,weight_新能源ETF,previous_weight_新能源ETF,weight_科创50ETF,previous_weight_科创50ETF,weight_证券ETF,previous_weight_证券ETF,weight_军工ETF,previous_weight_军工ETF,weight_消费ETF,previous_weight_消费ETF,weight_恒生ETF,previous_weight_恒生ETF,weight_白银LOF,previous_weight_白银LOF,weight_纳指ETF,previous_weight_纳指ETF,weight_标普500ETF,previous_weight_标普500ETF,weight_日经225ETF,previous_weight_日经225ETF,weight_欧洲ETF,previous_weight_欧洲ETF,weight_黄金ETF,previous_weight_黄金ETF,weight_有色金属期货ETF,previous_weight_有色金属期货ETF,weight_能源化工期货ETF,previous_weight_能源化工期货ETF,weight_豆粕ETF,previous_weight_豆粕ETF,weight_煤炭ETF,previous_weight_煤炭ETF,weight_原油ETF,previous_weight_原油ETF,nav_gross,nav_net
2018-01-02,0.0012893728079966323,0.0012893728079966323,0.0012893728079966323,0.0,False,0.0,1.0,1.0,1.0,1.0,False,0.99999999999997,0.99999999999997,2.9976021664879227e-14,1.0,30,,,,,,,0.0,0.0,0.11343727882229605,0.11343727882229605,0.07239352836623261,0.07239352836623261,0.0,0.0,0.7281404913765136,0.7281404913765136,0.011173907359538039,0.011173907359538039,1.2556124993225512e-09,1.2556124993225512e-09,0.00037759182548291665,0.00037759182548291665,0.0,0.0,6.684629216495105e-10,6.684629216495105e-10,1.1376104409274813e-09,1.1376104409274813e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.669240653900485e-10,5.669240653900485e-10,0.0012157695790635476,0.0012157695790635476,0.0065084376306609884,0.0065084376306609884,0.011594265160256356,0.011594265160256356,0.003642336993752985,0.003642336993752985,0.023231007660747514,0.023231007660747514,3.3207429588778776e-09,3.3207429588778776e-09,0.0,0.0,2.624386668883395e-09,2.624386668883395e-09,0.028285375233029205,0.028285375233029205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.186566390050886e-10,4.186566390050886e-10,1.0012893728079966,1.0012893728079966
2018-01-03,0.0004288993310030248,0.0004288993310030248,0.0004288993310030248,0.0,False,0.0,1.0,1.0,1.0,1.0,False,0.99999999999997,0.99999999999997,2.9976021664879227e-14,1.0,30,,,,,,,0.0,0.0,0.11342998817611626,0.11342998817611626,0.07236220474086458,0.07236220474086458,0.0,0.0,0.7275078600818687,0.7275078600818687,0.011323790197685828,0.011323790197685828,1.2707434862981347e-09,1.2707434862981347e-09,0.0003812344891664462,0.0003812344891664462,0.0,0.0,6.761298980923146e-10,6.761298980923146e-10,1.1526273274118597e-09,1.1526273274118597e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.73917558422389e-10,5.73917558422389e-10,0.0012242983501065162,0.0012242983501065162,0.0065474412667980795,0.0065474412667980795,0.011777712013954106,0.011777712013954106,0.003654805421899663,0.003654805421899663,0.023385228459735348,0.023385228459735348,3.302259166675169e-09,3.302259166675169e-09,0.0,0.0,2.6164882354985773e-09,2.6164882354985773e-09,0.028405426794242086,0.028405426794242086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.153667564105726e-10,4.153667564105726e-10,1.0017188251501343,1.0017188251501343
2018-01-04,0.00106555576707399,0.00106555576707399,0.00106555576707399,0.0,False,0.0,1.0,1.0,1.0,1.0,False,0.9999999999999699,0.9999999999999699,3.008704396734174e-14,1.0,30,,,,,,,0.0,0.0,0.11342691030005898,0.11342691030005898,0.07230171914208117,0.07230171914208117,0.0,0.0,0.7273121085169071,0.7273121085169071,0.011379142617613181,0.011379142617613181,1.2783788013752003e-09,1.2783788013752003e-09,0.0003842810328098145,0.0003842810328098145,0.0,0.0,6.855818690364154e-10,6.855818690364154e-10,1.1576247568051955e-09,1.1576247568051955e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.825794538139323e-10,5.825794538139323e-10,0.0012353049088705346,0.0012353049088705346,0.0066115015498467615,0.0066115015498467615,0.011802039302523923,0.011802039302523923,0.0036575263890035272,0.0036575263890035272,0.023391935279539745,0.023391935279539745,3.317073767494064e-09,3.317073767494064e-09,0.0,0.0,2.6311761486484725e-09,2.6311761486484725e-09,0.02849752088761262,0.02849752088761262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2068787010704673e-10,4.2068787010704673e-10,1.0027862124212596,1.0027862124212596
2018-01-05,0.00041962115015629616,0.00041962115015629616,0.0004946211501562961,7.5e-05,True,0.25,1.0,1.0,1.0,1.0,True,0.9999999999999922,0.9999999999999922,7.771561172376096e-15,1.0,9,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.13563891603528302,0.11332685935376492,0.07660242918844262,0.07222549541898861,0.0,0.0,0.6161226818804684,0.7273428213745022,0.003019882824395602,0.011402569468926992,4.818099735476928e-10,1.2819589111220042e-09,0.00010166643652239694,0.00038387199579088127,0.0,0.0,3.441108290257624e-10,6.864740323857863e-10,0.025978845648837155,1.1567582715939692e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9874333807574823e-10,5.813661129515709e-10,0.00032643437327266724,0.0012325501286741525,0.014827086661134074,0.006729706807532236,0.007646652905184649,0.01185550389738378,0.01100235776484866,0.0036450666898226263,0.03240657425796231,0.023534182582257833,0.01662043850603576,3.3196228980558404e-09,0.0,0.0,0.025922610409123584,2.6486805145444844e-09,0.03378342168819,0.028321362182418226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.956270391040879e-10,4.2504674845692186e-10,1.0032822116910083,1.0032070027250768
2018-01-08,0.0011817428389217896,0.0011817428389217896,0.0011817428389217896,0.0,False,0.0,1.0,1.0,1.0,1.0,False,0.9999999999999922,0.9999999999999922,7.771561172376096e-15,1.0,30,,,,,,,0.0,0.0,0.1355829936774216,0.1355829936774216,0.07649981960186569,0.07649981960186569,0.0,0.0,0.6160329618893537,0.6160329618893537,0.0030299684402919406,0.0030299684402919406,4.824284132019573e-10,4.824284132019573e-10,0.00010173743536508169,0.00010173743536508169,0.0,0.0,3.445501724252448e-10,3.445501724252448e-10,0.02622869977746712,0.02622869977746712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.995097146588815e-10,2.995097146588815e-10,0.00032436719156476594,0.00032436719156476594,0.014838143290791134,0.014838143290791134,0.007623954577326672,0.007623954577326672,0.011009840804755974,0.011009840804755974,0.032206515971160796,0.032206515971160796,0.016622363521327246,0.016622363521327246,0.0,0.0,0.026020143236362436,0.026020143236362436,0.033878489163446136,0.033878489163446136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.950035360074005e-10,2.950035360074005e-10,1.0044678332600918,1.0043925354165033
2018-01-09,0.00023591309080527143,0.00023591309080527143,0.00023591309080527143,0.0,False,0.0,1.0,1.0,1.0,1.0,False,0.9999999999999922,0.9999999999999922,7.771561172376096e-15,1.0,30,,,,,,,0.0,0.0,0.13550080702694065,0.13550080702694065,0.07633784885280814,0.07633784885280814,0.0,0.0,0.6154100741039759,0.6154100741039759,0.0030386797385942143,0.0030386797385942143,4.8406934209588e-10,4.8406934209588e-10,0.00010173846701229125,0.00010173846701229125,0.0,0.0,3.451580572767514e-10,3.451580572767514e-10,0.026378132114246926,0.026378132114246926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0554711468030593e-10,3.0554711468030593e-10,0.0003236036152726769,0.0003236036152726769,0.015004280036906466,0.015004280036906466,0.007638575247519066,0.007638575247519066,0.011009752456994008,0.011009752456994008,0.032559118588434265,0.032559118588434265,0.016734430757376656,0.016734430757376656,0.0,0.0,0.026099648523402536,0.026099648523402536,0.03386330904250894,0.03386330904250894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.932249635065476e-10,2.932249635065476e-10,1.0047048003712507,1.004629484763915
2018-01-10,0.0003428895434975775,0.0003428895434975775,0.0003428895434975775,0.0,False,0.0,1.0,1.0,1.0,1.0,False,0.9999999999999922,0.9999999999999922,7.771561172376096e-15,1.0,30,,,,,,,0.0,0.0,0.13549479151889543,0.13549479151889543,0.07642733015842308,0.07642733015842308,0.0,0.0,0.6147070367909073,0.6147070367909073,0.0030625326778513894,0.0030625326778513894,4.835274595817541e-10,4.835274595817541e-10,0.00010159338258076756,0.00010159338258076756,0.0,0.0,3.4467091531641194e-10,3.4467091531641194e-10,0.026363712963357173,0.026363712963357173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.030409849809119e-10,3.030409849809119e-10,0.00032352729094950916,0.00032352729094950916,0.015343475357973929,0.015343475357973929,0.0077028928848783245,0.0077028928848783245,0.01100715572486598,0.01100715572486598,0.03271224384725796,0.03271224384725796,0.016730483817228668,0.016730483817228668,0.0,0.0,0.026093492726883435,0.026093492726883435,0.03392972943020736,0.03392972943020736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.964925369455868e-10,2.964925369455868e-10,1.0050493031415997,1.0049739617093298
2018-01-11,-0.0005876932470487893,-0.0005876932470487893,-0.0005876932470487893,0.0,False,0.0,1.0,1.0,1.0,1.0,False,0.9999999999999921,0.9999999999999921,7.882583474838611e-15,1.0,30,,,,,,,0.0,0.0,0.13543846789717845,0.13543846789717845,0.07630769882388336,0.07630769882388336,0.0,0.0,0.6145392321958826,0.6145392321958826,0.0030744859223403023,0.0030744859223403023,4.809388541383514e-10,4.809388541383514e-10,0.00010107437061103137,0.00010107437061103137,0.0,0.0,3.4252479783750865e-10,3.4252479783750865e-10,0.026436624840547405,0.026436624840547405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.020246498354575e-10,3.020246498354575e-10,0.00031961149608658406,0.00031961149608658406,0.01547893362246253,0.01547893362246253,0.0077569067674270725,0.0077569067674270725,0.010925985011292593,0.010925985011292593,0.03290770887016662,0.03290770887016662,0.016775368776245178,0.016775368776245178,0.0,0.0,0.026106579476675617,0.026106579476675617,0.03383132050588414,0.03383132050588414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.978204457421444e-10,2.978204457421444e-10,1.0044586424531923,1.0043833452985733
2018-01-12,0.0020855119764041537,0.0020855119764041537,0.002130452877344281,4.494090094012751e-05,True,0.14980300313375838,1.0,1.0,1.0,1.0,False,1.0,1.0,0.0,1.0,9,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.13730941085699655,0.13539701226176087,0.07402823214900517,0.07614845278495036,0.0,0.0,0.5825317455254533,0.6149006051291231,4.0897726077825584e-08,0.0030719569590429217,5.92249144521407e-10,4.823625074508078e-10,2.3859090159349953e-09,0.0001017393979203098,0.0,0.0,7.368930172924301e-10,3.4516121547652206e-10,0.03547222572268646,0.026386573155332757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.662855491345797e-10,3.0098492173775874e-10,1.9296569445454983e-08,0.00032208372177261544,0.021125336319930257,0.015396209537107623,0.015877506949715035,0.007733124363078831,6.339601611072137e-09,0.010971131555557796,0.038131905000371794,0.032927059880903796,0.02935033953819237,0.016785233344531896,0.0,0.0,1.9563406703067886e-09,0.02594558056911334,0.06617322441291755,0.03391323591615241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.531570655385858e-10,2.951348182026465e-10,1.0065985942581799,1.0064779987940942
2018-01-15,0.0004204672468571463,0.0004204672468571463,0.0004204672468571463,0.0,False,0.0,1.0,1.0,1.0,1.0,False,1.0,1.0,0.0,1.0,30,,,,,,,0.0,0.0,0.13713754862071284,0.13713754862071284,0.07388067883689135,0.07388067883689135,0.0,0.0,0.5814846282044219,0.5814846282044219,4.103163897504786e-08,4.103163897504786e-08,5.880198296989246e-10,5.880198296989246e-10,2.3694994375359792e-09,2.3694994375359792e-09,0.0,0.0,7.284097881573217e-10,7.284097881573217e-10,0.03548481153020595,0.03548481153020595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.628522849545955e-10,6.628522849545955e-10,1.902793947962396e-08,1.902793947962396e-08,0.02134864559206298,0.02134864559206298,0.015901823757670054,0.015901823757670054,6.341009099663605e-09,6.341009099663605e-09,0.03815705256988132,0.03815705256988132,0.029606098039257525,0.029606098039257525,0.0,0.0,1.9554988553558288e-09,1.9554988553558288e-09,0.06699863948383639,0.06699863948383639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.601920059229542e-10,6.601920059229542e-10,1.0070218359977978,1.0069011898272693
