asset,eligible_weeks,held_eligible_weeks,max_eligible_weight,ever_used
可转债ETF,316,132,0.018951777668860505,True
5年国债ETF,444,342,0.25742275597602954,True
10年国债ETF,444,330,0.11792856997497193,True
信用债ETF,369,280,0.19960792003671213,True
日利ETF,444,444,0.9016742619463958,True
沪深300ETF,444,199,0.06143251414790668,True
中证500ETF,444,194,0.08460717390381245,True
中证1000ETF,444,193,0.1109094350438492,True
中证2000ETF,140,49,0.18408597873496124,True
创业板ETF,444,242,0.23918393580549233,True
红利ETF,444,214,0.12891655000917177,True
半导体ETF,359,184,0.17263722013933266,True
人工智能ETF,292,141,0.18722780548322301,True
新能源ETF,272,135,0.16748589444878456,True
科创50ETF,285,143,0.07972558364815274,True
证券ETF,444,210,0.18831641297130963,True
军工ETF,444,215,0.16758829198403324,True
消费ETF,444,265,0.20101314377698043,True
恒生ETF,444,216,0.16323278164172036,True
白银LOF,444,241,0.18213934941514737,True
纳指ETF,444,304,0.14769881200685517,True
标普500ETF,444,279,0.10824762673170939,True
日经225ETF,357,200,0.14651575595266983,True
欧洲ETF,444,251,0.1613257712725628,True
黄金ETF,444,285,0.178817810836839,True
有色金属期货ETF,331,162,0.16203694090489354,True
能源化工期货ETF,327,170,0.1397939912439411,True
豆粕ETF,333,188,0.11281353983343799,True
煤炭ETF,321,148,0.19524676303732105,True
原油ETF,444,240,0.13057670028022503,True
