date,model_type,active_n_assets,solver_name,solver_success,solver_status,solver_message,objective_value,problem_is_dcp,fallback_used,fallback_method,exception_type,exception_message,covariance_psd_adjustment,reference_max_risk_budget_error,final_max_risk_budget_error,predicted_annual_return,target_annual_return,variance_reference,variance_scale,return_shortfall,predicted_annual_volatility,gross_exposure,max_constraint_violation,reference_solver_name,reference_solver_status,reference_problem_is_dcp,reference_covariance_scale,information_cutoff,mean_estimator
2016-04-15,relaxed,14,CLARABEL,True,optimal,optimal DCP-compliant convex RRP solution,0.23143652910922988,True,False,,,,0.0,3.967743926802658e-06,0.38163185808368594,0.3732627298796047,0.5551461574383603,equal_weight,0.021445330450060175,0.18188342755875558,0.12211470519329276,0.999999999999987,1.7997756063259374e-15,CLARABEL,optimal,True,0.5536992087533997,2016-04-14,ewma
2016-04-22,relaxed,14,CLARABEL,True,optimal,optimal DCP-compliant convex RRP solution,0.09095917419529151,True,False,,,,0.0,6.967691793410835e-06,0.39452986197774453,0.32555897116826826,0.4674205302528294,equal_weight,0.021345728773365533,0.14186155908456116,0.08140011314082762,0.9999999999999545,9.105368661502278e-15,CLARABEL,optimal,True,0.5432533079891383,2016-04-21,ewma
2016-04-29,relaxed,14,CLARABEL,True,optimal,optimal DCP-compliant convex RRP solution,0.08219207000433684,True,False,,,,0.0,4.456505880698347e-06,0.4316703403865517,0.3081914232176536,0.4693497824296569,equal_weight,0.019889992350588824,0.16115835921200333,0.07824815715223347,0.9999999999999986,3.8876476130670995e-15,CLARABEL,optimal,True,0.5046430081221678,2016-04-28,ewma
2016-05-06,relaxed,14,CLARABEL,True,optimal,optimal DCP-compliant convex RRP solution,0.13295069720278002,True,False,,,,0.0,7.129743522307774e-06,0.4114265078263464,0.3007028456131584,0.43552870212364664,equal_weight,0.019355766585529306,0.13482585651048823,0.0894604607814317,0.9999999999997777,5.451562874305119e-14,CLARABEL,optimal,True,0.487025137103303,2016-05-05,ewma
2016-05-13,relaxed,14,CLARABEL,True,optimal,optimal DCP-compliant convex RRP solution,0.036163168852388156,True,False,,,,0.0,5.032713315394899e-06,0.2279063403807625,0.18057098220406484,0.23451204989067803,equal_weight,0.0192072149396798,0.05394106768661319,0.06005032530741845,0.9999999999999819,5.568462357885551e-15,CLARABEL,optimal,True,0.4846537600922898,2016-05-12,ewma
2016-05-20,relaxed,14,CLARABEL,True,optimal,optimal DCP-compliant convex RRP solution,0.02356340389413027,True,False,,,,0.0,5.26722719987327e-06,0.14136932086565454,0.11244678666049016,0.14265949934732297,equal_weight,0.018530138277940665,0.030212712686832816,0.053474376523911404,0.9999999999999158,8.691029666774153e-14,CLARABEL,optimal,True,0.4649076473745495,2016-05-19,ewma
2016-05-27,relaxed,14,CLARABEL,True,optimal,optimal DCP-compliant convex RRP solution,0.04301091887449596,True,False,,,,0.0,1.1358965684923894e-05,0.33149971257388977,0.1475074977397744,0.21782205082955644,equal_weight,0.01764631091157909,0.07031455308978204,0.060832836137145595,0.9999999999999728,2.2842838731662596e-14,CLARABEL,optimal,True,0.44170200935843135,2016-05-26,ewma
2016-06-03,relaxed,14,CLARABEL,True,optimal,optimal DCP-compliant convex RRP solution,0.10787509649533387,True,False,,,,0.0,4.894682683789786e-06,0.529312425675855,0.20348559537738664,0.3242308806894012,equal_weight,0.017368521061373578,0.12074528531201456,0.07697107481510382,0.9999999999999682,7.373845936917507e-15,CLARABEL,optimal,True,0.4371418875194121,2016-06-02,ewma
2016-06-08,relaxed,14,CLARABEL,True,optimal,optimal DCP-compliant convex RRP solution,0.12203505222033799,True,False,,,,0.0,8.6707587649143e-06,0.5439197201126932,0.23274739582556445,0.37156264045257004,equal_weight,0.01690760709075627,0.1388152446270056,0.07880059401319321,0.9999999999998721,3.916757976688267e-14,CLARABEL,optimal,True,0.4248579244156462,2016-06-07,ewma
2016-06-17,relaxed,14,CLARABEL,True,optimal,optimal DCP-compliant convex RRP solution,0.06678117855536211,True,False,,,,0.0,3.812493081178925e-06,0.2964293115825719,0.20793160733999294,0.26924313290535135,equal_weight,0.017291361754737514,0.061311525565358405,0.06455635225604775,0.9999999999997429,7.541686650473183e-14,CLARABEL,optimal,True,0.44049421796900223,2016-06-16,ewma
