,date,selected_candidate_id,portfolio_return,gross_return,net_return,transaction_cost,turnover,is_rebalance_day,is_candidate_switch_day,nav_gross,nav_net,weight_可转债ETF,weight_5年国债ETF,weight_10年国债ETF,weight_信用债ETF,weight_日利ETF,weight_沪深300ETF,weight_中证500ETF,weight_中证1000ETF,weight_中证2000ETF,weight_创业板ETF,weight_红利ETF,weight_半导体ETF,weight_人工智能ETF,weight_新能源ETF,weight_科创50ETF,weight_证券ETF,weight_军工ETF,weight_消费ETF,weight_恒生ETF,weight_白银LOF,weight_纳指ETF,weight_标普500ETF,weight_日经225ETF,weight_欧洲ETF,weight_黄金ETF,weight_有色金属期货ETF,weight_能源化工期货ETF,weight_豆粕ETF,weight_煤炭ETF,weight_原油ETF
0,2018-01-02,candidate_03,0.0040488394286025,0.0040488394286025,0.0040488394286025,0.0,0.0,False,True,1.0040488394286025,1.0040488394286025,0.0,0.1104649206235515,0.0837103437022785,0.0,0.3001293426086145,0.0441556214817446,0.0283432864014966,0.0007244391783762,0.0,0.0373807799761079,0.0479101883371145,0.0,0.0,0.0,0.0,0.0020432238033789,0.0019830978854955,0.0441883311982558,0.0568275497954269,0.0226849392303579,0.0323534426650982,0.0492148839417979,0.0,0.0480573178898631,0.0567609426832752,0.0,0.0,0.0,0.0,0.0330673485977656
1,2018-01-03,candidate_03,0.0031281938014401,0.0031281938014401,0.0031281938014401,0.0,0.0,False,False,1.007189698784446,1.007189698784446,0.0,0.1101542454702338,0.0834441585958427,0.0,0.2990444402964934,0.044624926932631,0.0286060066614967,0.000729417699058,0.0,0.0377056077398347,0.048409209296331,0.0,0.0,0.0,0.0,0.002062743972441,0.0019915210983431,0.0443309698484291,0.0575680344967656,0.0227000348644997,0.0324787149180327,0.0488064396285325,0.0,0.0477810028370008,0.0568451926202514,0.0,0.0,0.0,0.0,0.0327173330237823
2,2018-01-04,candidate_03,0.0025972508386454,0.0025972508386454,0.0025972508386454,0.0,0.0,False,False,1.0098056230742891,1.0098056230742891,0.0,0.1098548530100763,0.0831500596207778,0.0,0.2981595007348488,0.0447223932518953,0.0287004492909375,0.0007332682067466,0.0,0.0381298344836623,0.0484882683921594,0.0,0.0,0.0,0.0,0.0020882417335018,0.0020040179472251,0.0446442485447,0.0575317148839817,0.0226558063449339,0.0324006084367163,0.0488934738602358,0.0,0.0479199316272859,0.0568760327963876,0.0,0.0,0.0,0.0,0.0330472968339274
3,2018-01-05,candidate_03,0.0009410254569199,0.0009410254569199,0.0009410254569199,0.0,0.0,False,False,1.0107558758721429,1.0107558758721429,0.0,0.1095902726752691,0.0829355024046009,0.0,0.297716565773638,0.0447460013646516,0.0287368558729163,0.000731368658884,0.0,0.0381211259192307,0.0483779533953673,0.0,0.0,0.0,0.0,0.0020807089237223,0.0019964941404709,0.0453730074178357,0.0577040492376114,0.0225441332796302,0.032547837547197,0.0488562946041759,0.0,0.0481650318545997,0.0564380971051005,0.0,0.0,0.0,0.0,0.0333386998250981
4,2018-01-08,candidate_03,0.0024737993728657,0.0024737993728657,0.0024737993728657,0.0,0.0,False,False,1.0132562831239955,1.0132562831239955,0.0,0.1094962344463853,0.0827874712009747,0.0,0.2975404545121258,0.0448754185866333,0.028760909161175,0.0007315530038471,0.0,0.0381527739129231,0.048821449836786,0.0,0.0,0.0,0.0,0.0020851162933231,0.0019829663538126,0.0453865915336679,0.0575071017858336,0.0225494050588857,0.0323324809643696,0.0488401615665044,0.0,0.0483246892547374,0.0565716741043081,0.0,0.0,0.0,0.0,0.0332535484237068
5,2018-01-09,candidate_03,0.0023346303487431,0.0023346303487431,0.0023346303487431,0.0,0.0,False,False,1.015621861993632,1.015621861993632,0.0,0.1092888202054118,0.0825057115815571,0.0,0.2968565005640556,0.0449464326889787,0.0288215412265324,0.0007306175370924,0.0,0.0381708256450578,0.0490363165651498,0.0,0.0,0.0,0.0,0.0021244056420734,0.001975748587967,0.04583561471407,0.0575431235466933,0.0225201611362526,0.0326443341284994,0.0491060668409763,0.0,0.0484098722529341,0.0564734449659551,0.0,0.0,0.0,0.0,0.0330104621707427
6,2018-01-10,candidate_03,0.000964319608748,0.000964319608748,0.000964319608748,0.0,0.0,False,False,1.0166012460702256,1.0166012460702256,0.0,0.1090551464329988,0.0824294673573912,0.0,0.2958965184877654,0.0452044029959221,0.0287289976603675,0.000728048031281,0.0,0.0380371425243077,0.0489068941745736,0.0,0.0,0.0,0.0,0.0021025693847808,0.0019711466890848,0.0467736592566847,0.0579061429698134,0.0224677073448187,0.0327291870464786,0.0489916893561692,0.0,0.0482971163393714,0.0564657358069397,0.0,0.0,0.0,0.0,0.0333084281412509
7,2018-01-11,candidate_03,-0.0011141953684174,-0.0011141953684174,-0.0011141953684174,0.0,0.0,False,False,1.0154685536703267,1.0154685536703267,0.0,0.1089421367532129,0.0822493462094423,0.0,0.2956320920588947,0.0453526645807484,0.0285574541465542,0.0007238789530495,0.0,0.0377768339914544,0.049011704902394,0.0,0.0,0.0,0.0,0.0020942168500916,0.0019460800848507,0.0471573006869062,0.0582759878099141,0.0222881766182782,0.0329043125896433,0.0490926283035165,0.0,0.0482913395371178,0.0562670099965438,0.0,0.0,0.0,0.0,0.0334368359273865
8,2018-01-12,candidate_03,0.0028599583064806,0.0028599583064806,0.0028599583064806,0.0,0.0,False,False,1.018372751395366,1.018372751395366,0.0,0.108966195907557,0.0821209628714509,0.0,0.2959618513829338,0.0453392443296536,0.028657085511558,0.0007290258347673,0.0,0.0380876677835972,0.0489446971215817,0.0,0.0,0.0,0.0,0.0020881074909546,0.0019621668941509,0.0469300011375631,0.0581279381526421,0.0223920685316523,0.0329410153163397,0.0491473880957026,0.0,0.0480188244067616,0.0564329782536341,0.0,0.0,0.0,0.0,0.0331527809774989
9,2018-01-15,candidate_03,-0.0013103397272732,-0.0013103397272732,-0.0013103397272732,0.0,0.0,False,False,1.0170383371220402,1.0170383371220402,0.0,0.1087506437051384,0.0818976613265374,0.0,0.2952149485009318,0.0454546113585853,0.0284317451641388,0.0007234851458208,0.0,0.0376218095515054,0.0489264468315061,0.0,0.0,0.0,0.0,0.0020758366881418,0.0019334438632084,0.0473915844687442,0.0581746141011306,0.0223807477463045,0.0329387616299214,0.0495395952625595,0.0,0.0479632468042718,0.0570953350607762,0.0,0.0,0.0,0.0,0.033485482790777
