trade_date,china_market,china_size,china_value,duration,credit,commodity,global_equity
2020-01-20,,,,,,,
2020-01-21,-0.018297158313999362,0.0077199531650335995,-0.00014149601233837128,0.0022025412660777732,,-0.0012200118819949645,-0.010536334202447683
2020-01-22,0.0031112888169511077,0.0031945447846088992,-0.0048740681515627715,0.000891289976976628,,-0.008000617422469358,0.008008425386410912
2020-01-23,-0.03074893719002092,-0.005571453968836071,0.007142672228928393,0.002158504275106443,-0.004831392544030644,-0.009240816273905984,-0.008197218016508212
2020-02-03,-0.0839558143474829,-0.014985393556822713,-0.009028995249467875,0.011977691995641693,-0.009987117490553032,-0.04382147115894044,-0.02389361123142699
2020-02-04,0.030246474002524115,-0.01674099125691808,-0.0038680019196466464,-0.0009009693056688528,0.009311083559954025,0.019145555414093775,0.013901864851613733
2020-02-05,0.009505441759715794,0.02446287460419727,0.003078504756795386,-5.627685876219424e-05,-0.0005820578354025496,0.0005441738188586287,0.008728052271529707
2020-02-06,0.023551014253934577,0.003736859675298687,-0.021254027093665417,-7.160902775837918e-05,0.0028800658300761617,0.007000549329676198,0.01860599752828298
2020-02-07,-0.002538547924180845,0.012127140631427613,-7.148355878150436e-05,0.001168891585701326,-0.0015762327212709426,-0.0026099879967047546,0.002112790748976412
2020-02-10,0.0033934097984801292,0.01054526748971174,0.013760594989048913,0.0017790507608269612,-0.0006979772306414667,-0.0007423532745203465,0.0017579196067512904
2020-02-11,0.010866051892484907,-0.013506196163260209,-0.005291303925460067,0.0008368459669404471,0.0004121663368104045,-0.001530658633033166,0.011014237126933567
2020-02-12,0.007041436981315874,0.016250456365850985,-0.004378515984241327,-8.670821371059567e-05,,-0.0017417683005261475,0.0097895995077526
2020-02-13,-0.005368009047108546,-8.078704838221373e-05,-0.0009180210521626542,-0.0010859488457362065,,0.003630061222565639,0.019253249459645794
2020-02-14,0.006656203015669604,-0.0027868600420235534,-0.0009806421012066302,-0.00028716436733911,0.0019803640269717704,-0.0012620113461300653,-0.02194032274625679
2020-02-17,0.021955433724200724,0.015758622833984104,-0.0044136204596687545,-0.0015483866194628826,0.0014586749956734257,0.0029505651755804773,0.005119705647528972
2020-02-18,-0.006340753766449159,0.03205831055444486,0.00691435130963336,-0.002135195035950721,0.0021237198571185667,-0.0037209405814261354,-0.01364346915112995
2020-02-19,9.826247189392845e-05,-0.007823343611905287,-0.0010097811580987992,-0.00038402296847839246,0.0007553097163359723,0.0058891170962517055,-0.0030600903089093466
2020-02-20,0.022564566147262544,-0.007257576902728546,-0.008794775358542672,-0.0013506552952459172,0.001196675717386353,0.0038388663451307758,0.002959113726147322
2020-02-21,0.0032894717819407227,0.019167381052486387,0.0026305536566830767,0.0018082376255190713,-0.0019038186800798274,0.00108440778999086,-0.011878412561131558
