candidate_ts_code,candidate_name,active_ts_code,active_name,exposure_vector_correlation,daily_return_correlation,paired_return_days
513310.SH,中韩半导体ETF,159985.SZ,豆粕ETF,0.13056008419655155,-0.0015572716916251788,872
513310.SH,中韩半导体ETF,511030.SH,信用债ETF,-0.3077767272510388,-0.10204162916174297,872
513310.SH,中韩半导体ETF,511010.SH,国债ETF,-0.3902588677683071,-0.15078192791760983,872
513310.SH,中韩半导体ETF,511260.SH,10年国债ETF,-0.4536242284149761,-0.17020484253377463,872
513310.SH,中韩半导体ETF,511880.SH,日利ETF,-0.9636426505505914,-0.17528981082597686,872
516980.SH,证券公司先锋策略ETF,512880.SH,证券ETF,0.998004214291692,0.9258833592661464,1232
516980.SH,证券公司先锋策略ETF,510300.SH,沪深300ETF,0.9879409364120391,0.6782027555240905,1232
516980.SH,证券公司先锋策略ETF,159915.SZ,创业板ETF,0.9790374616104994,0.5771827088173359,1232
516980.SH,证券公司先锋策略ETF,511380.SH,可转债ETF,0.973168831225573,0.5103487707696621,1232
516980.SH,证券公司先锋策略ETF,159928.SZ,消费ETF,0.9692344584423321,0.4652799120245439,1232
516980.SH,证券公司先锋策略ETF,510500.SH,中证500ETF,0.9557839989596977,0.6178482080532486,1232
516980.SH,证券公司先锋策略ETF,516160.SH,新能源ETF,0.9514756426946245,0.4229410369186057,1232
516980.SH,证券公司先锋策略ETF,588000.SH,科创50ETF,0.9379580356148043,0.5037441371574021,1232
516980.SH,证券公司先锋策略ETF,159819.SZ,人工智能ETF,0.931882908597023,0.48687486623456366,1232
516980.SH,证券公司先锋策略ETF,512480.SH,半导体ETF,0.9233008607554821,0.41575944553662203,1232
516980.SH,证券公司先锋策略ETF,159920.SZ,恒生ETF,0.9106809171592118,0.4783409816537389,1232
516980.SH,证券公司先锋策略ETF,512660.SH,军工ETF,0.8996915239762837,0.4149452990221602,1232
516980.SH,证券公司先锋策略ETF,512100.SH,中证1000ETF,0.8955012284346135,0.5642916083037716,1230
516980.SH,证券公司先锋策略ETF,563300.SH,中证2000ETF,0.8226966077389759,0.5654333719675527,694
516980.SH,证券公司先锋策略ETF,161226.SZ,白银LOF,0.7207821317029997,0.10972163900389159,1228
516980.SH,证券公司先锋策略ETF,159941.SZ,纳指ETF,0.6870854553350287,0.1743800427572655,1232
516980.SH,证券公司先锋策略ETF,513880.SH,日经225ETF,0.6807954911622001,0.19916462771742302,1232
516980.SH,证券公司先锋策略ETF,513030.SH,欧洲ETF,0.679542769472358,0.17399207435092356,1230
516980.SH,证券公司先锋策略ETF,159980.SZ,有色金属期货ETF,0.6664475089091179,0.2562379951022997,1232
516980.SH,证券公司先锋策略ETF,513500.SH,标普500ETF,0.6076975469121266,0.1444751622286964,1230
516980.SH,证券公司先锋策略ETF,510880.SH,红利ETF,0.559054864684818,0.39585496192445735,1232
516980.SH,证券公司先锋策略ETF,518880.SH,黄金ETF,0.4335194458224042,0.03048799873539345,1232
516980.SH,证券公司先锋策略ETF,515220.SH,煤炭ETF,0.3843913692626792,0.2630740863187883,1232
516980.SH,证券公司先锋策略ETF,159981.SZ,能源化工期货ETF,0.2731492713984212,0.09854916398809915,1232
516980.SH,证券公司先锋策略ETF,162411.SZ,原油ETF,0.2722544289011263,0.07498780825715265,1232
516980.SH,证券公司先锋策略ETF,159985.SZ,豆粕ETF,0.20003309131119004,0.03411253277844631,1232
516980.SH,证券公司先锋策略ETF,511030.SH,信用债ETF,-0.2501652598239365,-0.026434853042670223,1232
516980.SH,证券公司先锋策略ETF,511010.SH,国债ETF,-0.5048319757561729,-0.15326883273837574,1232
