ts_code,511380.SH,511010.SH,511260.SH,511030.SH,511880.SH,510300.SH,510500.SH,512100.SH,563300.SH,159915.SZ,510880.SH,512480.SH,159819.SZ,516160.SH,588000.SH,512880.SH,512660.SH,159928.SZ,159920.SZ,161226.SZ,159941.SZ,513500.SH,513880.SH,513030.SH,518880.SH,159980.SZ,159981.SZ,159985.SZ,515220.SH,162411.SZ,511090.SH,513310.SH,516980.SH,520830.SH,520870.SH,562500.SH
511380.SH,1.0,-0.47857856373153485,-0.5487883584090032,-0.33455599414421144,-0.9532424282176954,0.9418462068542953,0.9963134093715731,0.9705857103725158,0.9252582411362233,0.98787094520734,0.4489067025774539,0.9793782257677923,0.9811081365444628,0.9887352907937726,0.9781388136518657,0.9643920068883904,0.9705120706629945,0.8963142201866938,0.8679996671247742,0.73475490825121,0.7032830134055309,0.6293984726809018,0.7045475394410243,0.6927012761589937,0.45846990581975927,0.6608109260046656,0.24244907521909878,0.16228889814423625,0.30857566941209585,0.24471404574484595,-0.5946915211160655,0.9608425595220329,0.9725419850967149,0.634876077598885,0.86213562130069,0.9564396200779952
511010.SH,-0.47857856373153485,1.0,0.9839354419527279,-0.3006563976592961,0.4736928830489562,-0.5137561261724063,-0.4976634181582234,-0.4671392953383331,-0.3967934867568921,-0.45252013809390346,-0.6415913110187884,-0.4397406703511151,-0.3838750177956591,-0.41081355613834397,-0.3776339316504223,-0.5353002459746816,-0.43141769266445984,-0.5244119582196078,-0.524241450074515,-0.2453312796011448,-0.32620798780042326,-0.3067895310704517,-0.30251014394306536,-0.37185118727064237,0.014004946156059737,-0.5270335919488837,-0.4488115472201104,-0.2715063835149975,-0.5820045941859974,-0.29067103258073745,0.9837172870470896,-0.3857905968690931,-0.503434683859976,-0.5414090160335414,-0.5300693861571406,-0.37937010776399993
511260.SH,-0.5487883584090032,0.9839354419527279,1.0,-0.12918837685162196,0.5035368180414546,-0.5509015757615779,-0.5688143624374006,-0.5449230624355869,-0.47145420576342273,-0.5006449307578318,-0.6994872975306026,-0.49999488651987467,-0.4458990063133614,-0.4717358399241973,-0.4335503337782181,-0.578355917125702,-0.5039478518552527,-0.5493909341402831,-0.5737499546878112,-0.3332179241300629,-0.39049589568902054,-0.38012007455135816,-0.37047950989638295,-0.4355911193220751,-0.07277776519739554,-0.6038870722101246,-0.5054450647006586,-0.3187394458020235,-0.6577746256318578,-0.3586816568753888,0.9888136998034858,-0.44927070145430414,-0.5515200071895873,-0.6099939198007086,-0.5817795024693123,-0.4464618462624107
511030.SH,-0.33455599414421144,-0.3006563976592961,-0.12918837685162196,1.0,0.14155633028903383,-0.19906829521573302,-0.321788750447372,-0.3349335848477511,-0.30900927230573455,-0.23283856895822796,-0.27478623888776416,-0.26220042461938103,-0.2931751101222874,-0.29169554917040286,-0.26899188223503956,-0.21685603361255373,-0.3198148836512929,-0.14630462528086008,-0.2534813958241686,-0.4915321925074556,-0.3251869286337295,-0.36837603489522086,-0.3462669115625287,-0.3126729933361676,-0.5217540482218068,-0.3573312572477119,-0.23946233512596252,-0.23420671683548208,-0.34971595868450656,-0.34282398389809227,-0.19325576226463623,-0.3072628917499695,-0.24922418758113335,-0.26945493890456357,-0.23189910222967566,-0.295564478037811
511880.SH,-0.9532424282176954,0.4736928830489562,0.5035368180414546,0.14155633028903383,1.0,-0.9721546767585935,-0.937580802380789,-0.8808701877096046,-0.8291319202113231,-0.979848043315544,-0.3978933264551377,-0.9322518098199711,-0.9428289805786182,-0.9460314918759153,-0.9410928348950337,-0.9695106219050202,-0.8876834862696542,-0.9477387179016606,-0.9237901255711086,-0.7450589057409785,-0.7777395316889332,-0.6965325711563771,-0.7743171791413939,-0.7660109534144995,-0.4596963508115281,-0.6525710820376606,-0.19656291441662302,-0.15080452813593337,-0.21556433330087993,-0.23485905139420152,0.5594278212780649,-0.965899916414693,-0.9668326905572207,-0.6773536090285336,-0.9200403930596821,-0.8893432913713287
510300.SH,0.9418462068542953,-0.5137561261724063,-0.5509015757615779,-0.19906829521573302,-0.9721546767585935,1.0,0.9191514098360691,0.8399736280838729,0.755679321083817,0.9591418487191344,0.5759664954421565,0.8816247197921363,0.8918172541725973,0.9138709688345955,0.8977332484381684,0.9945991374878048,0.8437388141794472,0.9928933594439205,0.948888707418753,0.7788675558826759,0.7319788685925002,0.6608993267554506,0.7243175532823892,0.7300235655073332,0.504850797560298,0.7284655691476104,0.33418075434523,0.276412171791939,0.402626002170392,0.34925287983707354,-0.580829400734598,0.90959567804114,0.9886762875340996,0.6593333195360552,0.9034501420602297,0.8228305982682061
510500.SH,0.9963134093715731,-0.4976634181582234,-0.5688143624374006,-0.321788750447372,-0.937580802380789,0.9191514098360691,1.0,0.9854155898111991,0.9476702794509997,0.9816659360991384,0.420982120122228,0.9879390738576778,0.983749875108766,0.9903658886893076,0.9806772403080678,0.9464611534325298,0.983874807348375,0.8679490535317864,0.838396563598828,0.7219213066579265,0.6727411772056918,0.6007746695627041,0.6755788868310281,0.6624630820425236,0.4546822078097766,0.6581409839888788,0.256413829782933,0.17244468106222258,0.29464619719796686,0.24685731635834218,-0.6185650316179071,0.9529932782879956,0.9545464899688428,0.6238176963529842,0.8410258118767545,0.9697905840546077
512100.SH,0.9705857103725158,-0.4671392953383331,-0.5449230624355869,-0.3349335848477511,-0.8808701877096046,0.8399736280838729,0.9854155898111991,1.0,0.9863095605585354,0.946318475663385,0.318293390823286,0.9883009363770381,0.9781462231760858,0.9774061227265921,0.9724757435882738,0.8805352042237964,0.9977506401992273,0.7726091150777008,0.744277325288211,0.6460105708541187,0.6061290895417577,0.5332782702273029,0.6129462136730687,0.5918590109367624,0.39061696815517544,0.5770321737889264,0.18783512276532263,0.09709033283913744,0.2124695935046021,0.1657987525362417,-0.6047958943383459,0.9249304239716433,0.8945003782522916,0.5640127949481327,0.767851647905621,0.9888845137954744
563300.SH,0.9252582411362233,-0.3967934867568921,-0.47145420576342273,-0.30900927230573455,-0.8291319202113231,0.755679321083817,0.9476702794509997,0.9863095605585354,1.0,0.9028579684351318,0.16769219555307377,0.9731837736162302,0.9617606243006205,0.9501538089915856,0.9536213269947459,0.803032788295784,0.9869898393136753,0.6753574124717703,0.6493149837564015,0.5637554696261416,0.5543841735116298,0.47720961508233417,0.5651334427345022,0.5330188604125702,0.32305157549225666,0.46920408707834316,0.07614871216500095,-0.006060184251213221,0.07061835956771415,0.0582518894277782,-0.5468069188453433,0.8964023321683104,0.8220010732094355,0.49780922928975324,0.6968100572417943,0.9909971998304377
159915.SZ,0.98787094520734,-0.45252013809390346,-0.5006449307578318,-0.23283856895822796,-0.979848043315544,0.9591418487191344,0.9816659360991384,0.946318475663385,0.9028579684351318,1.0,0.3885536348532343,0.9769745185402661,0.9818811754347252,0.9898502848229138,0.9850924487863757,0.9728778789409375,0.9538526633861185,0.9214322402238315,0.8709342680278831,0.7308029227507724,0.6913258167489048,0.6075045824793566,0.6918220598862675,0.676984620895636,0.46144489375634823,0.6365291099741783,0.20992461811435023,0.15239226722942886,0.22827549933245278,0.21989683123557172,-0.5591047692176848,0.9631118882678721,0.9778229479268358,0.6009765333190045,0.8610728701311673,0.9477291049387183
