date,asset_count,min_observations_required,included_assets,excluded_assets,exclusion_reasons
2016-04-01,0,60,,10年国债ETF|5年国债ETF|中证1000ETF|中证2000ETF|中证500ETF|人工智能ETF|信用债ETF|军工ETF|创业板ETF|半导体ETF|原油ETF|可转债ETF|恒生ETF|新能源ETF|日利ETF|日经225ETF|有色金属期货ETF|标普500ETF|欧洲ETF|沪深300ETF|消费ETF|煤炭ETF|白银LOF|科创50ETF|红利ETF|纳指ETF|能源化工期货ETF|证券ETF|豆粕ETF|黄金ETF,10年国债ETF:no_observations|5年国债ETF:insufficient_observations(51)|中证1000ETF:no_observations|中证2000ETF:no_observations|中证500ETF:insufficient_observations(51)|人工智能ETF:no_observations|信用债ETF:no_observations|军工ETF:no_observations|创业板ETF:insufficient_observations(51)|半导体ETF:no_observations|原油ETF:insufficient_observations(51)|可转债ETF:no_observations|恒生ETF:insufficient_observations(51)|新能源ETF:no_observations|日利ETF:insufficient_observations(51)|日经225ETF:no_observations|有色金属期货ETF:no_observations|标普500ETF:insufficient_observations(51)|欧洲ETF:insufficient_observations(51)|沪深300ETF:insufficient_observations(51)|消费ETF:insufficient_observations(51)|煤炭ETF:no_observations|白银LOF:insufficient_observations(51)|科创50ETF:no_observations|红利ETF:insufficient_observations(51)|纳指ETF:insufficient_observations(51)|能源化工期货ETF:no_observations|证券ETF:no_observations|豆粕ETF:no_observations|黄金ETF:insufficient_observations(51)
2016-04-08,0,60,,10年国债ETF|5年国债ETF|中证1000ETF|中证2000ETF|中证500ETF|人工智能ETF|信用债ETF|军工ETF|创业板ETF|半导体ETF|原油ETF|可转债ETF|恒生ETF|新能源ETF|日利ETF|日经225ETF|有色金属期货ETF|标普500ETF|欧洲ETF|沪深300ETF|消费ETF|煤炭ETF|白银LOF|科创50ETF|红利ETF|纳指ETF|能源化工期货ETF|证券ETF|豆粕ETF|黄金ETF,10年国债ETF:no_observations|5年国债ETF:insufficient_observations(55)|中证1000ETF:no_observations|中证2000ETF:no_observations|中证500ETF:insufficient_observations(55)|人工智能ETF:no_observations|信用债ETF:no_observations|军工ETF:no_observations|创业板ETF:insufficient_observations(55)|半导体ETF:no_observations|原油ETF:insufficient_observations(55)|可转债ETF:no_observations|恒生ETF:insufficient_observations(55)|新能源ETF:no_observations|日利ETF:insufficient_observations(55)|日经225ETF:no_observations|有色金属期货ETF:no_observations|标普500ETF:insufficient_observations(55)|欧洲ETF:insufficient_observations(55)|沪深300ETF:insufficient_observations(55)|消费ETF:insufficient_observations(55)|煤炭ETF:no_observations|白银LOF:insufficient_observations(55)|科创50ETF:no_observations|红利ETF:insufficient_observations(55)|纳指ETF:insufficient_observations(55)|能源化工期货ETF:no_observations|证券ETF:no_observations|豆粕ETF:no_observations|黄金ETF:insufficient_observations(55)
2016-04-15,14,60,5年国债ETF|日利ETF|沪深300ETF|中证500ETF|创业板ETF|红利ETF|消费ETF|恒生ETF|白银LOF|纳指ETF|标普500ETF|欧洲ETF|黄金ETF|原油ETF,10年国债ETF|中证1000ETF|中证2000ETF|人工智能ETF|信用债ETF|军工ETF|半导体ETF|可转债ETF|新能源ETF|日经225ETF|有色金属期货ETF|煤炭ETF|科创50ETF|能源化工期货ETF|证券ETF|豆粕ETF,10年国债ETF:no_observations|中证1000ETF:no_observations|中证2000ETF:no_observations|人工智能ETF:no_observations|信用债ETF:no_observations|军工ETF:no_observations|半导体ETF:no_observations|可转债ETF:no_observations|新能源ETF:no_observations|日经225ETF:no_observations|有色金属期货ETF:no_observations|煤炭ETF:no_observations|科创50ETF:no_observations|能源化工期货ETF:no_observations|证券ETF:no_observations|豆粕ETF:no_observations
2016-04-22,14,60,5年国债ETF|日利ETF|沪深300ETF|中证500ETF|创业板ETF|红利ETF|消费ETF|恒生ETF|白银LOF|纳指ETF|标普500ETF|欧洲ETF|黄金ETF|原油ETF,10年国债ETF|中证1000ETF|中证2000ETF|人工智能ETF|信用债ETF|军工ETF|半导体ETF|可转债ETF|新能源ETF|日经225ETF|有色金属期货ETF|煤炭ETF|科创50ETF|能源化工期货ETF|证券ETF|豆粕ETF,10年国债ETF:no_observations|中证1000ETF:no_observations|中证2000ETF:no_observations|人工智能ETF:no_observations|信用债ETF:no_observations|军工ETF:no_observations|半导体ETF:no_observations|可转债ETF:no_observations|新能源ETF:no_observations|日经225ETF:no_observations|有色金属期货ETF:no_observations|煤炭ETF:no_observations|科创50ETF:no_observations|能源化工期货ETF:no_observations|证券ETF:no_observations|豆粕ETF:no_observations
2016-04-29,14,60,5年国债ETF|日利ETF|沪深300ETF|中证500ETF|创业板ETF|红利ETF|消费ETF|恒生ETF|白银LOF|纳指ETF|标普500ETF|欧洲ETF|黄金ETF|原油ETF,10年国债ETF|中证1000ETF|中证2000ETF|人工智能ETF|信用债ETF|军工ETF|半导体ETF|可转债ETF|新能源ETF|日经225ETF|有色金属期货ETF|煤炭ETF|科创50ETF|能源化工期货ETF|证券ETF|豆粕ETF,10年国债ETF:no_observations|中证1000ETF:no_observations|中证2000ETF:no_observations|人工智能ETF:no_observations|信用债ETF:no_observations|军工ETF:no_observations|半导体ETF:no_observations|可转债ETF:no_observations|新能源ETF:no_observations|日经225ETF:no_observations|有色金属期货ETF:no_observations|煤炭ETF:no_observations|科创50ETF:no_observations|能源化工期货ETF:no_observations|证券ETF:no_observations|豆粕ETF:no_observations
2016-05-06,14,60,5年国债ETF|日利ETF|沪深300ETF|中证500ETF|创业板ETF|红利ETF|消费ETF|恒生ETF|白银LOF|纳指ETF|标普500ETF|欧洲ETF|黄金ETF|原油ETF,10年国债ETF|中证1000ETF|中证2000ETF|人工智能ETF|信用债ETF|军工ETF|半导体ETF|可转债ETF|新能源ETF|日经225ETF|有色金属期货ETF|煤炭ETF|科创50ETF|能源化工期货ETF|证券ETF|豆粕ETF,10年国债ETF:no_observations|中证1000ETF:no_observations|中证2000ETF:no_observations|人工智能ETF:no_observations|信用债ETF:no_observations|军工ETF:no_observations|半导体ETF:no_observations|可转债ETF:no_observations|新能源ETF:no_observations|日经225ETF:no_observations|有色金属期货ETF:no_observations|煤炭ETF:no_observations|科创50ETF:no_observations|能源化工期货ETF:no_observations|证券ETF:no_observations|豆粕ETF:no_observations
2016-05-13,14,60,5年国债ETF|日利ETF|沪深300ETF|中证500ETF|创业板ETF|红利ETF|消费ETF|恒生ETF|白银LOF|纳指ETF|标普500ETF|欧洲ETF|黄金ETF|原油ETF,10年国债ETF|中证1000ETF|中证2000ETF|人工智能ETF|信用债ETF|军工ETF|半导体ETF|可转债ETF|新能源ETF|日经225ETF|有色金属期货ETF|煤炭ETF|科创50ETF|能源化工期货ETF|证券ETF|豆粕ETF,10年国债ETF:no_observations|中证1000ETF:no_observations|中证2000ETF:no_observations|人工智能ETF:no_observations|信用债ETF:no_observations|军工ETF:no_observations|半导体ETF:no_observations|可转债ETF:no_observations|新能源ETF:no_observations|日经225ETF:no_observations|有色金属期货ETF:no_observations|煤炭ETF:no_observations|科创50ETF:no_observations|能源化工期货ETF:no_observations|证券ETF:no_observations|豆粕ETF:no_observations
2016-05-20,14,60,5年国债ETF|日利ETF|沪深300ETF|中证500ETF|创业板ETF|红利ETF|消费ETF|恒生ETF|白银LOF|纳指ETF|标普500ETF|欧洲ETF|黄金ETF|原油ETF,10年国债ETF|中证1000ETF|中证2000ETF|人工智能ETF|信用债ETF|军工ETF|半导体ETF|可转债ETF|新能源ETF|日经225ETF|有色金属期货ETF|煤炭ETF|科创50ETF|能源化工期货ETF|证券ETF|豆粕ETF,10年国债ETF:no_observations|中证1000ETF:no_observations|中证2000ETF:no_observations|人工智能ETF:no_observations|信用债ETF:no_observations|军工ETF:no_observations|半导体ETF:no_observations|可转债ETF:no_observations|新能源ETF:no_observations|日经225ETF:no_observations|有色金属期货ETF:no_observations|煤炭ETF:no_observations|科创50ETF:no_observations|能源化工期货ETF:no_observations|证券ETF:no_observations|豆粕ETF:no_observations
2016-05-27,14,60,5年国债ETF|日利ETF|沪深300ETF|中证500ETF|创业板ETF|红利ETF|消费ETF|恒生ETF|白银LOF|纳指ETF|标普500ETF|欧洲ETF|黄金ETF|原油ETF,10年国债ETF|中证1000ETF|中证2000ETF|人工智能ETF|信用债ETF|军工ETF|半导体ETF|可转债ETF|新能源ETF|日经225ETF|有色金属期货ETF|煤炭ETF|科创50ETF|能源化工期货ETF|证券ETF|豆粕ETF,10年国债ETF:no_observations|中证1000ETF:no_observations|中证2000ETF:no_observations|人工智能ETF:no_observations|信用债ETF:no_observations|军工ETF:no_observations|半导体ETF:no_observations|可转债ETF:no_observations|新能源ETF:no_observations|日经225ETF:no_observations|有色金属期货ETF:no_observations|煤炭ETF:no_observations|科创50ETF:no_observations|能源化工期货ETF:no_observations|证券ETF:no_observations|豆粕ETF:no_observations
2016-06-03,14,60,5年国债ETF|日利ETF|沪深300ETF|中证500ETF|创业板ETF|红利ETF|消费ETF|恒生ETF|白银LOF|纳指ETF|标普500ETF|欧洲ETF|黄金ETF|原油ETF,10年国债ETF|中证1000ETF|中证2000ETF|人工智能ETF|信用债ETF|军工ETF|半导体ETF|可转债ETF|新能源ETF|日经225ETF|有色金属期货ETF|煤炭ETF|科创50ETF|能源化工期货ETF|证券ETF|豆粕ETF,10年国债ETF:no_observations|中证1000ETF:no_observations|中证2000ETF:no_observations|人工智能ETF:no_observations|信用债ETF:no_observations|军工ETF:no_observations|半导体ETF:no_observations|可转债ETF:no_observations|新能源ETF:no_observations|日经225ETF:no_observations|有色金属期货ETF:no_observations|煤炭ETF:no_observations|科创50ETF:no_observations|能源化工期货ETF:no_observations|证券ETF:no_observations|豆粕ETF:no_observations
