asset,eligible_weeks,held_eligible_weeks,max_eligible_weight,ever_used
可转债ETF,316,98,0.03286992269872976,True
5年国债ETF,444,316,0.2574227560492271,True
10年国债ETF,444,305,0.1311268245693073,True
信用债ETF,369,230,0.20079669980804082,True
日利ETF,444,444,0.901674254877584,True
沪深300ETF,444,171,0.04215520640095494,True
中证500ETF,444,154,0.039368767735532655,True
中证1000ETF,444,159,0.05767127463345261,True
中证2000ETF,140,49,0.12388931738190319,True
创业板ETF,444,249,0.14769535062967715,True
红利ETF,444,180,0.0677207112234945,True
半导体ETF,359,195,0.1524400072472146,True
人工智能ETF,292,136,0.1786274974145626,True
新能源ETF,272,133,0.1382853860504532,True
科创50ETF,285,135,0.0643041100586871,True
证券ETF,444,194,0.18316775335340207,True
军工ETF,444,194,0.15488243890577175,True
消费ETF,444,255,0.19832721164252273,True
恒生ETF,444,178,0.1573743797739785,True
白银LOF,444,244,0.15848448098226,True
纳指ETF,444,292,0.16992829690298952,True
标普500ETF,444,260,0.10104514323240488,True
日经225ETF,357,178,0.1389285493363004,True
欧洲ETF,444,236,0.1887708357763084,True
黄金ETF,444,314,0.1552870987920098,True
有色金属期货ETF,331,142,0.08295843274906282,True
能源化工期货ETF,327,159,0.1304869993257254,True
豆粕ETF,333,166,0.16074568108363163,True
煤炭ETF,321,137,0.17647429188120278,True
原油ETF,444,222,0.12219761312057673,True
