model,gross_annual_return,net_annual_return,transaction_cost_drag,annualized_volatility,sharpe_ratio,turnover_adjusted_sharpe,sortino_ratio,max_drawdown,calmar_ratio,total_return,avg_monthly_turnover,annualized_turnover,cvar_95_daily_loss
Global RRP,0.025262303718827983,0.024825790226344013,0.00043651349248396976,0.004478583547527742,0.8635971569060276,5.543223647139126,1.322304160490594,-0.0031239006515507706,7.947048576599248,0.23630347550167619,0.11809244084388103,1.418229357538939,0.0005364435154943252
Convex Adaptive Global RRP,0.054214612611496404,0.05413007594966057,8.45366618358323e-05,0.04814400026772408,0.6901665942500029,1.1243368986508913,0.9863437571199911,-0.052824695458622006,1.024711557344634,0.5777550557777993,0.022232948155543924,0.26700624996411365,0.006761156406698621
Improved Convex Adaptive Global RRP,0.0585350325636278,0.058494703899306444,4.032866432135407e-05,0.05247482489504688,0.7161579499026233,1.1147193728859452,1.018043268710968,-0.062243495972598595,0.9397721478410775,0.6351674873101176,0.010567201012198383,0.1269066385233537,0.007424941010337276
HRP Benchmark,0.020643450603771596,0.020557192373784616,8.625822998697963e-05,0.0025635131274926986,-0.12299952196639,8.01914846985435,-0.18918374998616436,-0.001886650486941699,10.896131803993153,0.1924629007207488,0.0234378974602993,0.28147707016343004,0.00024891880671759593
HERC Benchmark,0.026588911915865543,0.026253524674320294,0.00033538724154524857,0.007158379308199168,0.7370749877318935,3.667523547438965,1.0699880551611924,-0.006800656642541925,3.8604396684416855,0.25128183419059913,0.0906192596469219,1.0882906092152942,0.0009454889853026368
Equal Weight,0.08387862006196523,0.08370655751055223,0.0001720625514129992,0.10556624494214782,0.618868306861242,0.7929291939523369,0.8900055168891688,-0.1256177823397714,0.6663591408113101,1.0044415639313273,0.044054435355959876,0.5290710658967727,0.014314463838208277
60/40 Benchmark,0.06706549003334161,0.06691198797230102,0.00015350206104058906,0.09792856980179471,0.49957835248883015,0.6832734115052372,0.7199168720530303,-0.1924977118564143,0.34759887443343357,0.7511289748519274,0.039901408502020445,0.47919535357500753,0.0130584348466592
