year,observations,net_period_return,max_drawdown,turnover,transaction_cost_sum
2018,243,0.0037212450908195027,-0.05036206329845361,5.058792023030715,0.0015176376069090261
2019,244,0.1423196630044865,-0.04303401359487802,13.491424381564883,0.004047427314468193
2020,243,0.22873727257033272,-0.07161968374798833,15.602633978021146,0.004680790193404926
2021,243,0.10336812519787753,-0.03374384613310222,13.7025021414628,0.004110750642438285
2022,242,-0.013945621963226351,-0.03191131391572566,7.42274816263216,0.002226824448789096
2023,242,0.03960030508221002,-0.017577429068459494,8.094034793670147,0.002428210438100654
2024,242,0.12572344742650277,-0.06946139182616817,13.237833602666822,0.003971350080799203
2025,243,0.15815628931463865,-0.033445787784959324,16.343116557850465,0.004902934967353968
2026,160,0.1536667230392359,-0.04692575500333829,7.678474602314878,0.0023035423806942
