date,constraint,component,lhs,rhs,slack,dual,binding
2018-01-05,asset_lower,5年国债ETF,0.0,0.150597064000112,0.150597064000112,8.010983086768573e-13,False
2018-01-05,asset_lower,10年国债ETF,0.0,0.0980270788842723,0.0980270788842723,1.0474973683923656e-12,False
2018-01-05,asset_lower,日利ETF,0.0,0.15281273359897846,0.15281273359897846,7.611749332254755e-13,False
2018-01-05,asset_lower,沪深300ETF,0.0,0.0293105319539689,0.0293105319539689,2.7251407085750674e-12,False
2018-01-05,asset_lower,中证500ETF,0.0,0.02082932291520951,0.02082932291520951,5.0806252500791436e-12,False
2018-01-05,asset_lower,中证1000ETF,0.0,0.0035749376012894824,0.0035749376012894824,2.3952880801048853e-10,False
2018-01-05,asset_lower,创业板ETF,0.0,0.015245804002752593,0.015245804002752593,8.868798172736691e-12,False
2018-01-05,asset_lower,红利ETF,0.0,0.031147970413648057,0.031147970413648057,2.641949429611942e-12,False
2018-01-05,asset_lower,证券ETF,0.0,0.01824472373582456,0.01824472373582456,6.998252440918981e-12,False
2018-01-05,asset_lower,军工ETF,0.0,0.014365845477559631,0.014365845477559631,1.0814281397396416e-11,False
2018-01-05,asset_lower,消费ETF,0.0,0.05890281564417403,0.05890281564417403,7.549982006411292e-13,False
2018-01-05,asset_lower,恒生ETF,0.0,0.086355245241221,0.086355245241221,1.1124897329491747e-12,False
2018-01-05,asset_lower,白银LOF,0.0,0.04409481796545624,0.04409481796545624,2.3251107578646798e-12,False
2018-01-05,asset_lower,纳指ETF,0.0,0.02270333865287963,0.02270333865287963,5.1795901356306314e-12,False
2018-01-05,asset_lower,标普500ETF,0.0,0.05466302999612218,0.05466302999612218,1.3730263748091652e-12,False
2018-01-05,asset_lower,欧洲ETF,0.0,0.05322229458998449,0.05322229458998449,1.4133704691783553e-12,False
2018-01-05,asset_lower,黄金ETF,0.0,0.09475491710054573,0.09475491710054573,9.470384111865071e-13,False
2018-01-05,asset_lower,原油ETF,0.0,0.05114752822599933,0.05114752822599933,1.5116746638008732e-12,False
2018-01-05,budget,,0.9999999999999981,1.0,1.887379141862766e-15,0.00025710193099593267,True
2018-01-05,asset_upper,5年国债ETF,0.150597064000112,0.4,0.24940293599988803,4.292632818630644e-13,False
2018-01-05,asset_upper,10年国债ETF,0.0980270788842723,0.4,0.3019729211157277,3.3064344612385166e-13,False
2018-01-05,asset_upper,日利ETF,0.15281273359897846,0.4,0.24718726640102157,4.3731950933627207e-13,False
2018-01-05,asset_upper,沪深300ETF,0.0293105319539689,0.4,0.37068946804603115,3.072133152553641e-13,False
2018-01-05,asset_upper,中证500ETF,0.02082932291520951,0.4,0.3791706770847905,3.0150049921408564e-13,False
2018-01-05,asset_upper,中证1000ETF,0.0035749376012894824,0.4,0.39642506239871056,2.86928524151427e-13,False
2018-01-05,asset_upper,创业板ETF,0.015245804002752593,0.4,0.3847541959972474,2.974394384368147e-13,False
2018-01-05,asset_upper,红利ETF,0.031147970413648057,0.4,0.368852029586352,3.0169123049561694e-13,False
2018-01-05,asset_upper,证券ETF,0.01824472373582456,0.4,0.3817552762641755,2.9515247066505284e-13,False
2018-01-05,asset_upper,军工ETF,0.014365845477559631,0.4,0.3856341545224404,2.901758880931477e-13,False
2018-01-05,asset_upper,消费ETF,0.05890281564417403,0.4,0.341097184355826,3.377414723079216e-13,False
2018-01-05,asset_upper,恒生ETF,0.086355245241221,0.4,0.313644754758779,3.506529600507494e-13,False
2018-01-05,asset_upper,白银LOF,0.04409481796545624,0.4,0.3559051820345438,2.9852017953675474e-13,False
2018-01-05,asset_upper,纳指ETF,0.02270333865287963,0.4,0.37729666134712037,2.8791844246788273e-13,False
2018-01-05,asset_upper,标普500ETF,0.05466302999612218,0.4,0.34533697000387786,3.2124604913516193e-13,False
2018-01-05,asset_upper,欧洲ETF,0.05322229458998449,0.4,0.3467777054100155,3.195835390536152e-13,False
2018-01-05,asset_upper,黄金ETF,0.09475491710054573,0.4,0.3052450828994543,3.553725017770627e-13,False
2018-01-05,asset_upper,原油ETF,0.05114752822599933,0.4,0.3488524717740007,3.1633998478102137e-13,False
2018-01-05,turnover_upper,,1.0378439344906065e-09,0.8,0.7999999989621561,3.2378103195731985e-12,False
2018-01-05,group_cash_lower,,0.0,0.15281273359897846,0.15281273359897846,7.611749332254755e-13,False
2018-01-05,group_cash_upper,,0.15281273359897846,0.3,0.14718726640102153,6.86929413211989e-13,False
2018-01-05,group_bond_lower,,0.0,0.24862414288438428,0.24862414288438428,4.56723549201912e-13,False
2018-01-05,group_bond_upper,,0.24862414288438428,0.7,0.4513758571156157,2.650549273000794e-13,False
2018-01-05,group_defensive_lower,,0.0,0.031147970413648057,0.031147970413648057,2.641949429611942e-12,False
2018-01-05,group_defensive_upper,,0.031147970413648057,0.25,0.21885202958635194,4.954321424641632e-13,False
2018-01-05,group_commodity_gold_lower,,0.0,0.18999726329200128,0.18999726329200128,5.345717472595501e-13,False
2018-01-05,group_commodity_gold_upper,,0.18999726329200128,0.4,0.21000273670799874,5.535260209563692e-13,False
2018-01-05,group_equity_lower,,0.0,0.377417889810986,0.377417889810986,2.8220984266924393e-13,False
2018-01-05,group_equity_upper,,0.377417889810986,0.7,0.32258211018901395,3.534862061597392e-13,False
2018-01-12,asset_lower,5年国债ETF,0.0,0.14969898037023938,0.14969898037023938,1.2088079073121851e-10,False
2018-01-12,asset_lower,10年国债ETF,0.0,0.09703826736679914,0.09703826736679914,1.636209631617515e-10,False
2018-01-12,asset_lower,日利ETF,0.0,0.15187099418256797,0.15187099418256797,1.1451341682531217e-10,False
2018-01-12,asset_lower,沪深300ETF,0.0,0.029691100834958295,0.029691100834958295,3.9186164915181736e-10,False
2018-01-12,asset_lower,中证500ETF,0.0,0.020765886964051468,0.020765886964051468,7.786307688233332e-10,False
2018-01-12,asset_lower,中证1000ETF,0.0,0.0035625220860313446,0.0035625220860313446,3.973165318134641e-08,False
2018-01-12,asset_lower,创业板ETF,0.0,0.015228304924766777,0.015228304924766777,1.3885827135488336e-09,False
2018-01-12,asset_lower,红利ETF,0.0,0.03150434607491741,0.03150434607491741,3.8564269323532616e-10,False
2018-01-12,asset_lower,证券ETF,0.0,0.01830464800176853,0.01830464800176853,1.0642589141038596e-09,False
2018-01-12,asset_lower,军工ETF,0.0,0.014115025574317529,0.014115025574317529,1.7384621348482712e-09,False
2018-01-12,asset_lower,消费ETF,0.0,0.06090739889051581,0.06090739889051581,9.326629864228929e-11,False
2018-01-12,asset_lower,恒生ETF,0.0,0.08696608210877166,0.08696608210877166,1.6641069210349817e-10,False
2018-01-12,asset_lower,白银LOF,0.0,0.04378556808538915,0.04378556808538915,3.912443604397132e-10,False
2018-01-12,asset_lower,纳指ETF,0.0,0.02297138432118097,0.02297138432118097,7.935124317719318e-10,False
2018-01-12,asset_lower,标普500ETF,0.0,0.05497385281344655,0.05497385281344655,2.0285054389438646e-10,False
2018-01-12,asset_lower,欧洲ETF,0.0,0.05304638880360491,0.05304638880360491,2.1072666927842994e-10,False
2018-01-12,asset_lower,黄金ETF,0.0,0.09472070520735537,0.09472070520735537,1.420345410976094e-10,False
2018-01-12,asset_lower,原油ETF,0.0,0.0508485433893175,0.0508485433893175,2.2714212490622792e-10,False
2018-01-12,budget,,0.9999999999999998,1.0,2.220446049250313e-16,-0.00042683179024524676,True
2018-01-12,asset_upper,5年国债ETF,0.14969898037023938,0.4,0.25030101962976065,6.408007882550695e-11,False
2018-01-12,asset_upper,10年国债ETF,0.09703826736679914,0.4,0.30296173263320086,4.815787424808973e-11,False
2018-01-12,asset_upper,日利ETF,0.15187099418256797,0.4,0.24812900581743205,6.502838991354372e-11,False
2018-01-12,asset_upper,沪深300ETF,0.029691100834958295,0.4,0.3703088991650417,4.6011936110128924e-11,False
2018-01-12,asset_upper,中证500ETF,0.020765886964051468,0.4,0.37923411303594856,4.5070348177252837e-11,False
2018-01-12,asset_upper,中证1000ETF,0.0035625220860313446,0.4,0.39643747791396866,4.289130326256386e-11,False
2018-01-12,asset_upper,创业板ETF,0.015228304924766777,0.4,0.38477169507523323,4.444623290950036e-11,False
2018-01-12,asset_upper,红利ETF,0.03150434607491741,0.4,0.3684956539250826,4.5044976841520555e-11,False
2018-01-12,asset_upper,证券ETF,0.01830464800176853,0.4,0.3816953519982315,4.411468017914702e-11,False
2018-01-12,asset_upper,军工ETF,0.014115025574317529,0.4,0.3858849744256825,4.324453287896194e-11,False
2018-01-12,asset_upper,消费ETF,0.06090739889051581,0.4,0.3390926011094842,5.1998130409781335e-11,False
2018-01-12,asset_upper,恒生ETF,0.08696608210877166,0.4,0.31303391789122836,5.252891204003731e-11,False
2018-01-12,asset_upper,白银LOF,0.04378556808538915,0.4,0.3562144319146109,4.395013603825557e-11,False
2018-01-12,asset_upper,纳指ETF,0.02297138432118097,0.4,0.37702861567881907,4.296787056989862e-11,False
2018-01-12,asset_upper,标普500ETF,0.05497385281344655,0.4,0.34502614718655344,4.799995371100743e-11,False
2018-01-12,asset_upper,欧洲ETF,0.05304638880360491,0.4,0.3469536111963951,4.7670140447323583e-11,False
2018-01-12,asset_upper,黄金ETF,0.09472070520735537,0.4,0.30527929479264465,5.293028816462045e-11,False
2018-01-12,asset_upper,原油ETF,0.0508485433893175,0.4,0.34915145661068253,4.710098852824751e-11,False
2018-01-12,turnover_upper,,4.3921374970725194e-07,0.8,0.7999995607862503,5.170549945582781e-10,False
2018-01-12,group_cash_lower,,0.0,0.15187099418256797,0.15187099418256797,1.1451341682531217e-10,False
2018-01-12,group_cash_upper,,0.15187099418256797,0.3,0.14812900581743202,1.0281741135297943e-10,False
2018-01-12,group_bond_lower,,0.0,0.24673724773703853,0.24673724773703853,6.971531832399759e-11,False
2018-01-12,group_bond_upper,,0.24673724773703853,0.7,0.4532627522629614,3.945090554397307e-11,False
